App,Package,Start Time,Duration,Filename
"System",,"Dec 30, 2019 @ 10:42:33 AM","8 min 18 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
5,100,5,1,1,1138300,4,1,4,485443,5,200000,5,38,6,30,10,3,0,960000,1,2265600,3,0,4,0,1,32,3,26,3,0,4,0,4,0,,
39,100,39,1,186,1139072,189,1,190,1036042,191,200000,191,38,196,36,202,18,184,960000,186,2265600,188,960000,190,0,185,47,187,55,189,18,190,0,190,0,,
190,100,191,1,286,1136012,288,1,290,1688069,291,200000,291,38,292,33,295,17,285,2265600,286,2265600,287,960000,290,0,286,55,287,50,288,0,290,0,290,0,,
290,100,290,1,387,1135520,390,1,391,1576825,392,200000,392,38,394,52,396,26,385,2265600,387,2265600,389,0,391,0,387,44,389,54,389,0,391,0,391,0,,
391,100,392,1,487,1135768,488,1,489,1211310,489,200000,489,38,490,38,493,17,485,2265600,487,2265600,488,0,488,0,486,45,488,30,488,0,489,0,489,0,,
489,100,489,1,587,1135852,589,1,590,1576825,590,200000,591,38,592,47,595,23,586,2265600,587,2265600,588,0,589,0,587,44,588,54,589,0,589,0,590,0,,
590,100,590,1,687,1135976,689,1,689,1386122,690,200000,690,38,691,45,693,22,686,2265600,687,2265600,688,0,689,0,687,45,688,41,688,0,689,0,689,0,,
689,100,689,1,788,1135976,790,1,790,1031119,791,200000,791,38,793,44,797,23,786,2265600,788,1574400,789,0,790,0,787,44,789,44,789,0,790,0,790,0,,
790,100,790,1,891,1135852,893,1,894,840332,895,200000,895,38,896,36,899,13,887,2265600,891,960000,892,0,893,0,890,50,892,12,893,0,894,0,894,0,,
894,100,894,1,992,1135976,995,1,996,813349,997,200000,998,41,998,50,1001,18,987,1958400,993,960000,994,0,995,0,988,63,994,30,994,0,995,0,995,0,,
996,100,996,1,1090,1135852,1093,1,1094,972726,1095,200000,1095,41,1096,52,1100,20,1088,960000,1090,2265600,1092,0,1093,0,1089,50,1092,53,1093,0,1094,0,1094,0,,
1094,100,1094,1,1142,1136100,1145,1,1146,108518,1146,200000,1147,41,1149,22,1154,4,1140,960000,1143,2265600,1144,0,1145,0,1141,40,1144,0,1144,0,1145,0,1146,0,,
1146,100,1146,1,1243,1136092,1253,1,1257,270830,1259,200000,1260,41,1262,56,1268,14,1241,960000,1244,960000,1249,0,1254,0,1242,60,1247,54,1252,0,1255,0,1255,0,,
1257,100,1257,1,1342,1136216,1344,1,1345,1322349,1345,200000,1346,41,1346,65,1349,21,1341,2265600,1342,960000,1343,0,1344,0,1342,75,1343,50,1343,0,1344,0,1344,0,,
1345,100,1345,1,1454,1136216,1465,1,1467,220349,1470,200000,1471,41,1472,42,1478,12,1443,1190400,1455,300000,1457,0,1465,0,1452,54,1456,30,1457,0,1466,0,1466,0,,
1468,100,1469,1,1544,1136224,1547,1,1549,1045610,1550,200000,1551,41,1552,50,1556,15,1542,1190400,1544,2265600,1546,0,1548,0,1543,62,1546,50,1547,0,1548,0,1549,0,,
1549,100,1549,1,1644,1136208,1646,1,1647,990770,1647,200000,1648,41,1649,45,1651,17,1642,2265600,1644,960000,1645,0,1646,0,1644,58,1645,22,1646,0,1646,0,1647,0,,
1647,100,1647,1,1744,1136456,1746,1,1746,808302,1747,200000,1747,41,1748,39,1751,14,1742,2265600,1744,960000,1745,0,1746,0,1743,45,1745,33,1745,0,1746,0,1746,0,,
