test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
1;632.668946575429;430516;26.18;1111559.29;9.44
19;491.9398121147507;481339;22.98;1139743.37;8.45
13;450.74156404538144;496247;22.23;1130756.52;8.19
16;464.64261237319187;490352;22.51;1142617.17;8.40
25;436.5925554256062;523500;21.64;1146116.90;7.95
24;451.55176981200725;503206;22.15;1143649.12;8.10
18;486.9168607224167;484191;22.89;1137080.75;8.45
8;432.7828943128949;525325;21.60;1121229.22;7.89
4;474.27916293425693;487616;22.63;1115907.90;8.31
11;427.12920200892665;538138;21.52;1128021.39;7.76
17;485.66098634384355;482405;22.94;1138026.67;8.51
7;435.46100070418873;519310;21.72;1122916.75;7.99
3;509.94796378640103;471393;23.50;1123127.77;8.69
15;463.5467691633184;492504;22.44;1134724.49;8.21
22;502.9051771150617;474441;23.36;1141179.90;8.51
10;419.0818292767665;544066;21.19;1133235.37;7.69
14;457.18851394348667;493223;22.35;1131604.15;8.26
5;463.0925380719225;494268;22.42;1119998.54;8.38
23;466.05600888083615;489624;22.53;1150247.84;8.27
12;452.081962581317;504203;22.17;1129260.10;8.15
6;450.2761692509981;501229;22.19;1117728.01;8.15
21;491.0428054737737;482658;22.99;1141460.34;8.46
9;426.196728536628;536463;21.40;1126104.40;7.72
20;486.4931554763227;480321;22.98;1137957.30;8.52
2;573.2620840343636;445032;25.06;1111076.96;9.08
average;473.261562919;494862.8;22.6228;1131013.2088;0
