App,Package,Start Time,Duration,Filename
"System",,"Dec 30, 2019 @ 02:46:04 PM","9 min 49 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
1,100,0,1,65,1111076,68,1,69,588973,70,320000,70,0,72,40,79,2,62,960000,66,1958400,67,0,69,0,64,41,67,43,68,0,69,0,69,0,,
69,100,70,1,169,1111188,174,1,181,225674,182,320000,183,0,184,44,186,11,163,960000,170,1190400,173,0,180,0,168,41,171,36,173,0,180,0,181,0,,
181,100,181,1,265,1108444,267,1,268,366002,269,320000,269,0,270,25,273,4,263,960000,265,1958400,266,0,267,0,264,50,266,22,267,0,268,0,268,0,,
268,100,268,1,365,1108760,367,1,368,464370,369,320000,369,0,370,21,373,7,363,1958400,365,1958400,367,0,368,0,364,30,366,10,367,0,368,0,368,0,,
368,100,369,1,465,1108884,467,1,468,614620,469,320000,469,0,470,27,474,11,463,1958400,465,1958400,467,0,467,0,464,33,466,20,467,0,468,0,468,0,,
468,100,468,1,566,1109268,569,1,570,407594,570,320000,571,0,572,22,577,9,564,1958400,566,960000,568,0,569,0,565,33,568,11,568,0,569,0,569,0,,
570,100,570,1,671,1109756,676,1,677,623815,678,320000,679,0,680,38,684,12,664,1958400,672,960000,674,0,676,0,670,50,674,20,675,0,676,0,677,0,,
677,100,678,1,767,1109984,771,1,773,761326,774,320000,775,0,776,45,780,15,765,1958400,768,960000,770,0,772,0,766,60,769,30,770,0,772,0,773,0,,
773,100,773,1,867,1110232,870,1,871,153325,872,320000,872,0,873,11,877,3,865,1958400,867,960000,869,0,870,0,866,11,868,11,870,0,871,0,871,0,,
871,100,871,1,968,1110480,971,1,973,91992,974,320000,975,0,977,16,981,3,965,960000,969,960000,971,0,972,0,967,11,970,30,971,0,972,0,973,0,,
973,100,974,1,1075,1110728,1077,1,1078,333861,1079,320000,1080,0,1080,15,1083,3,1070,960000,1076,1958400,1077,0,1078,0,1075,9,1076,27,1077,0,1078,0,1078,0,,
1079,100,1079,1,1117,1110852,1119,1,1120,689617,1120,320000,1121,0,1121,50,1123,16,1116,960000,1118,1958400,1119,0,1119,0,1117,50,1118,50,1119,0,1120,0,1120,0,,
1120,100,1120,1,1218,1111100,1219,1,1220,585598,1220,320000,1221,0,1221,43,1224,14,1216,960000,1218,1958400,1219,0,1220,0,1217,50,1219,41,1219,0,1220,0,1220,0,,
1220,100,1220,1,1318,1111348,1321,1,1322,232035,1323,320000,1323,0,1324,21,1327,5,1317,960000,1319,1958400,1320,0,1321,0,1318,10,1319,18,1320,0,1322,0,1322,0,,
1322,100,1322,1,1419,1111716,1421,1,1422,707082,1423,320000,1423,0,1424,31,1426,9,1417,1958400,1419,1958400,1420,0,1421,0,1418,50,1420,11,1421,0,1422,0,1422,0,,
1422,100,1422,1,1520,1111964,1522,1,1523,61284,1525,320000,1526,0,1528,14,1530,5,1517,1958400,1520,960000,1521,0,1523,0,1519,0,1521,27,1522,0,1523,0,1523,0,,
1524,100,1524,1,1619,1112316,1621,1,1621,287039,1622,320000,1622,0,1623,25,1625,7,1618,960000,1619,1958400,1620,0,1621,0,1619,14,1620,22,1621,0,1621,0,1621,0,,
1621,100,1621,1,1720,1111444,1722,1,1724,390618,1726,320000,1727,0,1729,45,1736,13,1718,960000,1720,1497600,1721,0,1723,0,1719,50,1721,44,1721,0,1723,0,1724,0,,
1724,100,1725,1,1821,1111564,1825,1,1827,166568,1829,320000,1830,0,1831,38,1837,8,1818,960000,1822,960000,1824,0,1826,0,1820,25,1823,50,1825,0,1827,0,1827,0,,
1828,100,1828,1,1922,1111564,1926,1,1927,449268,1928,320000,1928,0,1929,30,1935,7,1920,960000,1923,1958400,1925,0,1926,0,1921,30,1924,33,1925,0,1926,0,1927,0,,
1927,100,1927,1,2027,1111564,2031,1,2032,584221,2033,320000,2034,0,2036,45,2039,7,2023,422400,2029,1958400,2031,0,2032,0,2027,30,2030,50,2031,0,2032,0,2032,0,,
2033,100,2033,1,2123,1111688,2126,1,2127,340441,2128,320000,2129,0,2129,16,2132,5,2121,960000,2124,1958400,2125,0,2126,0,2123,12,2125,27,2125,0,2126,0,2126,0,,
2127,100,2128,1,2224,1111688,2229,1,2231,44243,2232,320000,2233,0,2235,40,2240,7,2221,960000,2226,300000,2228,0,2230,0,2224,20,2227,53,2229,0,2230,0,2231,0,,
2231,100,2232,1,2325,1111688,2329,1,2331,681013,2332,320000,2332,0,2334,38,2337,9,2322,960000,2326,1958400,2328,0,2330,0,2325,25,2328,54,2329,0,2330,0,2330,0,,
2331,100,2331,1,2424,1111812,2426,1,2427,299018,2428,320000,2428,0,2429,21,2431,6,2422,960000,2424,1958400,2425,0,2426,0,2423,30,2425,20,2426,0,2427,0,2427,0,,
2427,100,2427,1,2524,1111812,2526,1,2527,2063,2528,320000,2528,0,2529,0,2531,0,2523,960000,2524,1958400,2526,0,2526,0,2523,0,2525,0,2526,0,2527,0,2527,0,,
2527,100,2527,1,2624,1111812,2626,1,2627,56898,2628,320000,2629,0,2629,11,2631,2,2623,960000,2625,1958400,2626,0,2627,0,2624,25,2625,0,2626,0,2627,0,2627,0,,
2628,100,2628,1,2731,1111796,2740,1,2743,60648,2746,320000,2749,0,2752,27,2765,6,2725,960000,2733,300000,2738,0,2741,0,2729,27,2736,20,2739,0,2742,0,2742,0,,
2744,100,2745,1,2829,1111920,2834,1,2835,382066,2836,320000,2836,0,2837,35,2840,7,2825,1958400,2830,300000,2833,0,2834,0,2828,33,2833,44,2833,0,2834,0,2834,0,,
2835,100,2835,1,2928,1111920,2932,1,2935,9713,2936,320000,2936,0,2938,15,2941,4,2925,652800,2929,960000,2931,0,2933,0,2926,10,2931,0,2932,0,2934,0,2934,0,,
2935,100,2935,1,3027,1111920,3030,1,3030,497102,3032,320000,3033,0,3034,31,3037,9,3025,1958400,3027,960000,3029,0,3030,0,3026,36,3028,36,3029,0,3030,0,3030,0,,
3031,100,3031,1,3128,1112044,3133,1,3135,64844,3136,320000,3137,0,3138,11,3142,3,3126,1190400,3129,960000,3132,0,3133,0,3128,11,3131,10,3132,0,3134,0,3134,0,,
3135,100,3135,1,3229,1112044,3232,1,3234,455849,3235,320000,3235,0,3237,31,3240,8,3226,1958400,3229,960000,3231,0,3233,0,3228,33,3231,33,3232,0,3233,0,3233,0,,
3234,100,3234,1,3329,1112920,3333,1,3334,758373,3336,320000,3338,0,3341,61,3352,17,3327,1958400,3330,960000,3331,0,3333,0,3329,55,3331,55,3331,0,3334,0,3334,0,,
3334,100,3335,1,3428,1113376,3430,1,3430,1735716,3431,320000,3431,0,3431,75,3434,29,3427,1958400,3428,1958400,3429,0,3430,0,3428,100,3429,50,3429,0,3430,0,3430,0,,
3430,100,3430,1,3529,1113728,3532,1,3534,1446774,3535,320000,3536,0,3537,62,3541,26,3527,1958400,3529,1958400,3531,0,3532,0,3528,100,3530,25,3531,0,3533,0,3533,0,,
3535,100,3535,1,3629,1113976,3630,1,3631,1677928,3631,320000,3632,0,3632,71,3634,31,3627,1958400,3629,1958400,3630,0,3630,0,3628,100,3630,45,3630,0,3631,0,3631,0,,
3631,100,3631,1,3729,1114400,3731,1,3731,1354313,3732,320000,3732,0,3733,57,3735,22,3728,1958400,3729,1958400,3730,0,3731,0,3729,54,3730,63,3730,0,3731,0,3731,0,,
3731,100,3731,1,3829,1114400,3831,1,3831,1539236,3832,320000,3833,0,3833,68,3836,28,3828,1958400,3830,1958400,3830,0,3831,0,3829,100,3830,33,3831,0,3831,0,3831,0,,
3831,100,3832,1,3930,1115188,3932,1,3934,1239526,3935,320000,3937,0,3938,63,3945,26,3928,1958400,3930,1190400,3932,0,3933,0,3930,100,3931,22,3932,0,3934,0,3934,0,,
3934,100,3934,1,4030,1116392,4031,1,4032,1851293,4033,320000,4034,0,4035,77,4037,32,4029,1958400,4030,1958400,4031,0,4032,0,4029,100,4031,60,4031,0,4032,0,4016,1,started,
4033,100,4033,1,4130,1116392,4132,1,4133,903563,4133,320000,4134,0,4135,36,4137,14,4129,1958400,4130,1958400,4131,0,4132,0,4130,45,4131,33,4132,0,4133,0,4032,1,started,
