App,Package,Start Time,Duration,Filename
"System",,"Dec 31, 2019 @ 12:21:48 AM","7 min 43 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
4,100,4,1,2,1082312,3,1,4,792853,5,320000,5,0,5,29,8,0,0,960000,2,2265600,3,0,4,0,1,20,3,47,3,0,4,0,4,0,,
23,100,23,1,141,1082608,142,1,143,1035040,143,320000,144,0,144,35,146,14,139,2265600,141,2265600,142,0,142,0,140,30,142,35,142,0,143,0,143,0,,
143,100,143,1,241,1083112,244,1,246,1352880,247,320000,248,0,249,38,254,18,239,2265600,241,2265600,243,0,245,0,241,50,243,35,244,0,245,0,246,0,,
246,100,246,1,342,1079704,346,1,347,443230,348,320000,349,0,351,22,354,8,340,2265600,343,960000,345,0,346,0,341,25,344,20,345,0,347,0,347,0,,
347,100,348,1,443,1080076,446,1,448,522690,449,320000,450,0,451,28,455,11,440,2265600,443,960000,445,0,446,0,442,30,445,20,446,0,447,0,448,0,,
448,100,448,1,542,1080428,543,1,544,812553,544,320000,545,0,545,27,548,9,540,2265600,542,2265600,543,0,543,0,541,11,543,40,543,0,544,0,544,0,,
544,100,544,1,642,1080676,645,1,646,1003256,647,320000,647,0,648,31,651,15,641,2265600,642,2265600,644,0,645,0,642,27,643,36,645,0,646,0,646,0,,
646,100,646,1,742,1081168,744,1,745,1035040,746,320000,746,0,747,31,749,15,741,2265600,742,2265600,743,0,744,0,742,40,743,25,744,0,745,0,745,0,,
745,100,745,1,843,1081292,844,1,845,374357,845,320000,846,0,846,19,848,8,841,1728000,843,1958400,844,0,844,0,842,28,844,11,844,0,845,0,845,0,,
845,100,845,1,944,1081540,947,1,949,81782,950,320000,951,0,953,20,957,6,942,960000,944,1036800,946,0,948,0,943,0,946,30,947,0,949,0,949,0,,
949,100,950,1,1045,1081788,1049,1,1051,100766,1052,320000,1053,0,1054,21,1059,4,1042,960000,1046,960000,1048,0,1050,0,1044,25,1047,20,1049,0,1050,0,1050,0,,
1051,100,1051,1,1145,1081912,1149,1,1151,105152,1152,320000,1153,0,1155,27,1165,5,1142,960000,1146,960000,1148,0,1149,0,1144,25,1147,22,1148,0,1150,0,1150,0,,
1151,100,1151,1,1245,1082284,1249,1,1251,568751,1253,320000,1253,0,1254,33,1258,9,1243,960000,1246,2265600,1248,0,1250,0,1245,41,1247,30,1248,0,1250,0,1251,0,,
1251,100,1251,1,1344,1082528,1347,1,1347,226784,1348,320000,1349,0,1349,16,1352,5,1343,960000,1345,2265600,1346,0,1347,0,1344,30,1346,10,1346,0,1347,0,1347,0,,
1348,100,1348,1,1445,1082776,1447,1,1448,187303,1448,320000,1449,0,1450,11,1452,3,1443,960000,1445,2265600,1446,0,1447,0,1444,12,1446,10,1447,0,1447,0,1448,0,,
1448,100,1448,1,1545,1083024,1546,1,1547,816442,1547,320000,1548,0,1548,40,1550,15,1543,960000,1545,2265600,1546,0,1546,0,1544,38,1546,46,1546,0,1547,0,1547,0,,
1547,100,1547,1,1645,1083148,1647,1,1648,242676,1649,320000,1650,0,1651,21,1653,5,1644,960000,1646,2265600,1647,0,1648,0,1645,30,1646,11,1647,0,1648,0,1648,0,,
