App,Package,Start Time,Duration,Filename
"System",,"Dec 30, 2019 @ 11:47:35 PM","7 min 15 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
5,98,5,1,2,1077296,4,1,5,848669,5,320000,6,0,7,27,9,1,0,1958400,2,2265600,4,0,4,0,1,21,3,38,4,0,5,0,5,0,,
24,98,24,1,176,1077944,177,1,178,511763,178,320000,179,0,179,31,181,12,174,960000,176,2265600,177,0,178,0,175,44,177,26,177,0,178,0,178,0,,
178,98,178,1,277,1075192,280,1,281,651042,282,320000,282,0,283,35,287,10,275,2265600,277,1267200,279,0,280,0,276,30,278,40,279,0,280,0,281,0,,
281,98,281,1,378,1075440,381,1,382,375813,384,320000,384,0,386,23,389,9,375,2265600,378,960000,380,0,381,0,377,22,379,11,381,0,382,0,382,0,,
383,98,383,1,478,1075564,480,1,481,367080,483,320000,483,0,485,21,488,6,476,2265600,478,960000,479,0,480,0,477,18,479,36,480,0,481,0,481,0,,
482,98,482,1,578,1075812,580,1,581,588492,582,320000,582,0,583,39,587,11,576,2265600,578,960000,580,0,581,0,577,30,579,50,580,0,581,0,581,0,,
581,98,581,1,677,1076060,679,1,680,701309,681,320000,681,0,682,23,684,11,676,2265600,677,2265600,678,0,679,0,677,22,678,22,679,0,680,0,680,0,,
680,98,680,1,778,1076292,780,1,781,383470,782,320000,782,0,783,12,785,6,776,2265600,778,2265600,779,0,780,0,777,12,779,12,780,0,781,0,781,0,,
781,98,781,1,878,1076416,880,1,881,764877,882,320000,882,0,883,22,885,11,877,2265600,878,2265600,879,0,880,0,878,18,879,30,880,0,881,0,881,0,,
881,98,881,1,978,1076664,980,1,980,351686,981,320000,981,0,981,11,983,5,977,2265600,978,2265600,979,0,980,0,978,11,979,11,979,0,980,0,980,0,,
980,98,980,1,1084,1076912,1098,1,1104,40812,1107,320000,1109,0,1112,35,1126,9,1079,960000,1086,300000,1094,0,1099,0,1083,18,1091,23,1096,0,1100,0,1101,0,,
1104,98,1105,1,1180,1077140,1184,1,1186,1235137,1187,320000,1188,0,1189,56,1193,16,1178,960000,1182,2265600,1183,0,1184,0,1180,55,1183,70,1184,0,1185,0,1185,0,,
1186,98,1186,1,1281,1077396,1283,1,1283,490368,1283,320000,1284,0,1284,20,1287,9,1279,960000,1281,2265600,1282,0,1283,0,1281,27,1282,27,1282,0,1283,0,1283,0,,
1283,98,1283,1,1380,1077644,1382,1,1383,363770,1384,320000,1384,0,1386,23,1389,6,1379,960000,1381,2265600,1382,0,1383,0,1380,20,1381,20,1382,0,1383,0,1383,0,,
1383,98,1384,1,1481,1077892,1484,1,1492,45118,1497,320000,1501,0,1505,18,1532,4,1479,960000,1482,1267200,1484,0,1487,0,1481,0,1483,10,1484,0,1490,0,1491,0,,
1494,98,1495,1,1581,1078012,1583,1,1584,2195154,1585,320000,1585,0,1586,66,1588,25,1579,2265600,1581,2265600,1582,0,1583,0,1580,63,1582,75,1582,0,1583,0,1584,0,,
1584,98,1584,1,1681,1078384,1683,1,1684,1050932,1685,320000,1685,0,1686,28,1688,14,1680,2265600,1682,2265600,1683,0,1683,0,1681,36,1682,30,1683,0,1684,0,1684,0,,
1684,98,1684,1,1781,1078508,1783,1,1784,431146,1785,320000,1786,0,1787,15,1790,6,1780,2265600,1782,2265600,1783,0,1784,0,1781,27,1783,0,1783,0,1784,0,1784,0,,
1784,98,1785,1,1833,1078756,1837,1,1838,76330,1839,320000,1840,0,1841,10,1845,2,1831,1190400,1834,2265600,1836,0,1837,0,1832,20,1835,0,1836,0,1838,0,1838,0,,
1838,98,1839,1,1933,1079004,1936,1,1937,120506,1937,320000,1938,0,1939,28,1941,5,1931,960000,1933,2265600,1935,0,1936,0,1932,54,1934,0,1935,0,1936,0,1936,0,,
1937,98,1937,1,2033,1079240,2035,1,2036,892315,2037,320000,2037,0,2038,33,2041,13,2031,1728000,2033,2265600,2035,0,2036,0,2032,20,2034,45,2035,0,2036,0,2036,0,,
2036,98,2037,1,2134,1079484,2144,1,2148,50317,2150,320000,2150,0,2151,15,2153,4,2132,960000,2136,2265600,2141,0,2144,0,2133,22,2139,0,2142,0,2146,0,2147,0,,
2148,98,2149,1,2236,1079780,2238,1,2239,1042738,2240,320000,2240,0,2241,35,2245,11,2232,2265600,2236,960000,2238,0,2239,0,2235,63,2237,18,2238,0,2239,0,2239,0,,
2239,98,2239,1,2335,1080028,2339,1,2340,45931,2341,320000,2343,0,2345,15,2349,2,2333,2265600,2336,960000,2338,0,2340,0,2335,0,2338,20,2339,0,2340,0,2340,0,,
2340,98,2341,1,2435,1080276,2438,1,2439,185373,2439,320000,2440,0,2441,17,2445,6,2433,1497600,2435,960000,2437,0,2438,0,2434,22,2436,20,2437,0,2438,0,2438,0,,
2439,98,2439,1,2539,1080524,2543,1,2549,88207,2552,320000,2553,0,2555,50,2560,7,2535,300000,2539,960000,2542,0,2544,0,2537,50,2541,40,2542,0,2547,0,2547,0,,
2550,98,2550,1,2636,1080768,2639,1,2640,1066327,2641,320000,2642,0,2644,38,2648,9,2634,2265600,2636,960000,2638,0,2639,0,2635,62,2638,36,2638,0,2640,0,2640,0,,
2640,98,2640,1,2736,1081140,2739,1,2740,363770,2740,320000,2741,0,2743,21,2747,7,2734,2265600,2737,960000,2738,0,2739,0,2736,20,2738,20,2739,0,2740,0,2740,0,,
2740,98,2740,1,2837,1081388,2840,1,2842,217065,2843,320000,2844,0,2845,26,2850,7,2835,1497600,2838,960000,2839,0,2841,0,2836,27,2839,20,2840,0,2842,0,2842,0,,
2843,98,2843,1,2944,1081636,2956,1,2962,42114,2966,320000,2969,0,2973,30,2988,5,2936,1190400,2946,300000,2953,0,2958,0,2941,11,2951,25,2955,0,2960,0,2961,0,,
2963,98,2964,1,3037,1081884,3040,1,3041,1988558,3042,320000,3043,0,3044,46,3046,21,3035,2265600,3037,2265600,3039,0,3041,0,3037,50,3039,75,3040,0,3041,0,3041,0,,
3041,98,3042,1,3138,1082132,3156,1,3157,176874,3157,320000,3158,0,3159,14,3161,6,3136,2265600,3138,2265600,3155,0,3156,0,3137,11,3145,0,3155,0,3157,0,3157,0,,
3157,98,3157,1,3238,1080976,3240,1,3240,589511,3241,320000,3242,0,3242,20,3244,7,3236,2265600,3238,1497600,3239,0,3240,0,3237,25,3239,30,3239,0,3240,0,3240,0,,
3241,98,3241,1,3338,1081496,3339,1,3340,473440,3340,320000,3341,0,3341,47,3343,14,3336,2265600,3338,960000,3339,0,3339,0,3337,20,3339,70,3339,0,3340,0,3340,0,,
3340,98,3340,1,3439,1081816,3443,1,3444,1670979,3445,320000,3446,0,3447,68,3450,30,3437,1036800,3440,2265600,3442,0,3443,0,3438,30,3441,100,3442,0,3443,0,3444,0,,
3444,98,3444,1,3546,1082292,3552,1,3553,1678995,3553,320000,3554,0,3554,70,3556,29,3538,960000,3547,2265600,3548,0,3552,0,3543,40,3547,100,3548,0,3553,0,3553,0,,
3553,98,3553,1,3639,1082512,3640,1,3640,1940882,3641,320000,3641,0,3642,58,3644,25,3637,2265600,3639,2265600,3640,0,3640,0,3638,100,3639,22,3640,0,3640,0,3640,0,,
3641,98,3641,1,3739,1082880,3741,1,3743,1909098,3744,320000,3744,0,3745,63,3751,31,3738,2265600,3740,2265600,3741,0,3742,0,3739,100,3740,20,3741,0,3742,0,3742,0,,
3743,98,3743,1,3839,1082988,3841,1,3842,1846908,3842,320000,3843,0,3843,63,3847,31,3838,2265600,3840,1574400,3841,0,3841,0,3839,100,3840,36,3841,0,3842,0,3842,0,,
3842,98,3842,1,3941,1084176,3943,1,3944,1663641,3945,320000,3947,0,3949,71,3952,29,3938,2265600,3941,960000,3942,0,3943,0,3940,100,3942,33,3943,0,3944,0,3944,0,,
3944,98,3944,1,4040,1085048,4041,1,4042,1232944,4042,320000,4043,0,4043,57,4047,21,4039,2265600,4040,960000,4041,0,4042,0,4039,70,4041,54,4041,0,4042,0,3987,1,started,
4042,98,4042,1,4140,1085048,4142,1,4142,958932,4143,320000,4143,0,4144,50,4146,18,4139,2265600,4140,960000,4141,0,4142,0,4140,54,4141,45,4142,0,4142,0,4042,1,started,
4142,98,4142,1,4242,1082048,4247,1,4250,141004,4251,320000,4252,0,4254,31,4259,11,4240,1036800,4243,960000,4246,0,4248,0,4242,30,4245,27,4247,0,4249,0,4142,1,started,
4250,98,4250,1,4342,1082752,4344,1,4347,1533422,4348,320000,4348,0,4349,70,4353,23,4340,1036800,4342,2265600,4344,0,4346,0,4342,50,4343,88,4344,0,4346,0,4249,1,started,
4347,98,4347,1,4445,1083124,4453,1,4457,1657061,4459,320000,4461,0,4464,68,4471,28,4443,960000,4447,2265600,4451,0,4454,0,4444,30,4450,100,4452,0,4454,0,4346,1,started,
4457,98,4457,1,4542,1083372,4543,1,4544,2449425,4544,320000,4545,0,4545,73,4547,35,4541,2265600,4542,2265600,4543,0,4544,0,4542,54,4543,100,4543,0,4544,0,4456,1,started,
4544,98,4544,1,4643,1083868,4648,1,4649,1617580,4652,320000,4653,0,4655,61,4664,29,4641,960000,4644,2265600,4646,0,4648,0,4643,12,4645,100,4646,0,4649,0,4544,1,started,
4651,98,4651,1,4743,1083868,4744,1,4745,2385857,4745,320000,4745,0,4746,75,4748,33,4741,2265600,4743,2265600,4744,0,4744,0,4742,50,4743,100,4744,0,4744,0,4649,1,started,
4745,98,4745,1,4844,1084412,4846,1,4847,1657061,4848,320000,4848,0,4849,65,4853,29,4842,960000,4844,2265600,4846,0,4847,0,4843,30,4845,100,4846,0,4847,0,4745,1,started,
4847,98,4847,1,4943,1085872,4945,1,4946,2179262,4946,320000,4947,0,4947,70,4950,31,4942,2265600,4943,2265600,4945,0,4946,0,4943,60,4944,77,4945,0,4946,0,4847,1,started,
4946,98,4946,1,5044,1088372,5047,1,5048,3228132,5048,320000,5049,0,5050,87,5055,42,5042,2265600,5044,2265600,5045,2265600,5047,0,5043,81,5045,90,5046,32,5048,0,4946,1,started,
5048,98,5048,1,5145,1088416,5147,1,5148,2385857,5148,320000,5149,0,5149,48,5152,34,5143,2265600,5145,2265600,5146,2265600,5148,0,5144,44,5146,69,5147,37,5148,0,5048,1,started,
5148,98,5148,1,5245,1087916,5249,1,5251,362957,5252,320000,5253,0,5254,10,5258,7,5243,1497600,5246,1267200,5248,2265600,5250,0,5244,0,5247,10,5249,20,5250,0,5148,1,started,
5251,98,5251,1,5345,1085520,5348,1,5348,332741,5349,320000,5349,0,5350,46,5353,11,5344,1497600,5346,1267200,5347,0,5348,0,5345,25,5347,40,5347,0,5348,0,5251,1,started,
5348,98,5349,1,5445,1085736,5447,1,5447,1877315,5448,320000,5448,0,5449,57,5451,21,5444,2265600,5445,2265600,5446,0,5447,0,5445,63,5446,55,5446,0,5447,0,5348,1,started,
5447,98,5447,1,5545,1086108,5547,1,5548,1909098,5549,320000,5549,0,5550,60,5552,30,5544,2265600,5546,2265600,5546,0,5548,0,5545,100,5546,20,5547,0,5548,0,5447,1,started,
5548,98,5548,1,5646,1086356,5647,1,5648,1988558,5648,320000,5648,0,5649,66,5651,30,5644,2265600,5646,2265600,5647,0,5647,0,5645,100,5646,25,5647,0,5647,0,5548,1,started,
5648,98,5648,1,5748,1086852,5751,1,5753,1988558,5754,320000,5755,0,5757,62,5761,32,5745,2265600,5748,2265600,5751,0,5752,0,5746,100,5750,25,5751,0,5753,0,5647,1,started,
5753,98,5753,1,5846,1086852,5848,1,5848,2068018,5849,320000,5849,0,5849,63,5852,25,5845,2265600,5846,2265600,5847,0,5848,0,5846,40,5847,90,5847,0,5848,0,5753,1,started,
5848,98,5848,1,5947,1088096,5948,1,5949,2068018,5950,320000,5951,0,5952,65,5958,32,5945,2265600,5947,2265600,5948,0,5948,0,5946,30,5947,100,5948,0,5948,0,5848,1,started,
5949,98,5949,1,6047,1088788,6049,1,6050,1261371,6050,320000,6051,0,6051,50,6054,23,6046,1728000,6047,2265600,6048,0,6049,0,6047,44,6048,55,6049,0,6049,0,5949,1,started,
