App,Package,Start Time,Duration,Filename
"System",,"Dec 31, 2019 @ 03:08:50 AM","7 min 43 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
5,100,5,1,1,1139612,4,1,5,1019148,5,320000,5,0,6,28,8,0,0,2265600,2,2265600,3,0,4,0,1,20,3,44,3,0,4,0,5,0,,
23,100,23,1,148,1139768,149,1,150,828445,150,320000,151,0,151,20,153,10,145,2265600,148,2265600,149,0,150,0,147,38,149,14,149,0,150,0,150,0,,
150,100,150,1,247,1136712,250,1,252,820788,253,320000,253,0,255,36,259,16,245,2265600,248,960000,249,0,251,0,247,50,249,11,250,0,252,0,252,0,,
252,100,252,1,347,1137184,349,1,349,669525,349,320000,350,0,350,15,352,5,345,2265600,347,2265600,348,0,349,0,346,12,348,30,348,0,349,0,349,0,,
349,100,349,1,447,1137468,449,1,450,590065,451,320000,451,0,452,20,454,9,446,2265600,447,2265600,448,0,449,0,447,10,448,27,449,0,450,0,450,0,,
450,100,450,1,547,1137840,549,1,550,764877,551,320000,551,0,552,27,561,12,546,2265600,547,2265600,548,0,549,0,547,38,548,10,549,0,550,0,550,0,,
550,100,550,1,647,1137876,649,1,649,1591259,650,320000,650,0,651,50,653,25,646,2265600,648,2265600,649,0,649,0,647,60,648,40,649,0,649,0,649,0,,
650,100,650,1,748,1137876,749,1,750,796661,750,320000,751,0,751,27,753,11,746,2265600,748,2265600,749,0,750,0,747,50,749,0,749,0,750,0,750,0,,
750,100,750,1,848,1137876,849,1,850,351686,850,320000,851,0,851,11,853,6,847,2265600,848,2265600,849,0,850,0,848,22,849,0,849,0,850,0,850,0,,
850,100,850,1,948,1137876,950,1,950,288118,951,320000,951,0,951,10,954,4,947,2265600,948,2265600,949,0,950,0,948,18,949,0,949,0,950,0,950,0,,
950,100,950,1,1050,1137752,1054,1,1056,236080,1057,320000,1058,0,1059,27,1063,8,1048,1497600,1051,960000,1053,0,1055,0,1049,30,1052,20,1054,0,1055,0,1056,0,,
1056,100,1056,1,1156,1137752,1165,1,1169,9589,1172,320000,1175,0,1177,63,1179,7,1149,300000,1157,422400,1162,0,1166,0,1153,50,1161,64,1164,0,1168,0,1168,0,,
1170,100,1170,1,1250,1137752,1252,1,1252,1575367,1253,320000,1253,0,1254,35,1256,15,1248,2265600,1250,2265600,1251,0,1252,0,1249,55,1251,44,1251,0,1252,0,1252,0,,
1252,100,1252,1,1351,1137752,1355,1,1356,145090,1356,320000,1356,0,1357,9,1360,2,1349,2265600,1352,2265600,1354,0,1355,0,1351,0,1353,9,1355,0,1355,0,1355,0,,
1356,100,1356,1,1450,1137752,1452,1,1453,192766,1454,320000,1456,0,1457,5,1461,2,1449,2265600,1451,2265600,1452,0,1452,0,1450,0,1451,12,1452,0,1453,0,1453,0,,
1453,100,1453,1,1550,1137752,1552,1,1552,61284,1553,320000,1553,0,1554,11,1561,4,1549,960000,1551,2265600,1552,0,1552,0,1550,27,1551,0,1552,0,1552,0,1552,0,,
1553,100,1553,1,1652,1137752,1655,1,1656,509529,1657,320000,1658,0,1658,26,1662,6,1650,960000,1652,2265600,1654,0,1655,0,1651,14,1653,30,1654,0,1655,0,1656,0,,
1656,100,1656,1,1753,1137868,1758,1,1760,261879,1761,320000,1762,0,1764,30,1769,7,1750,960000,1753,2265600,1756,0,1758,0,1752,46,1755,10,1757,0,1759,0,1759,0,,
1760,100,1760,1,1853,1137868,1856,1,1858,111733,1858,320000,1859,0,1861,27,1865,4,1851,960000,1853,883200,1855,0,1857,0,1852,50,1855,0,1856,0,1857,0,1857,0,,
1858,100,1858,1,1963,1137956,1975,1,1978,40589,1978,320000,1979,0,1980,30,1982,5,1953,300000,1965,960000,1971,0,1977,0,1961,30,1970,18,1973,0,1977,0,1977,0,,
1978,100,1978,1,2053,1137956,2055,1,2055,1225744,2056,320000,2056,0,2056,31,2059,12,2052,2265600,2053,2265600,2054,0,2055,0,2053,33,2054,44,2054,0,2055,0,2055,0,,
2055,100,2055,1,2154,1137956,2157,1,2158,415254,2158,320000,2159,0,2160,9,2163,4,2152,2265600,2155,2265600,2156,0,2157,0,2153,10,2155,16,2157,0,2157,0,2157,0,,
2158,100,2158,1,2254,1138080,2256,1,2257,154311,2258,320000,2258,0,2259,30,2262,9,2252,2265600,2255,1190400,2256,0,2257,0,2253,0,2256,41,2256,0,2257,0,2257,0,,
2257,100,2258,1,2354,1138080,2356,1,2356,379124,2357,320000,2358,0,2359,23,2362,8,2353,2265600,2355,960000,2355,0,2356,0,2354,20,2355,27,2356,0,2356,0,2356,0,,
2356,100,2357,1,2455,1138080,2456,1,2457,475014,2457,320000,2457,0,2458,20,2460,7,2453,2265600,2455,960000,2456,0,2456,0,2454,27,2455,20,2456,0,2456,0,2457,0,,
2457,100,2457,1,2555,1138204,2556,1,2557,351686,2557,320000,2557,0,2558,11,2560,5,2553,2265600,2555,960000,2556,0,2556,0,2554,22,2556,0,2556,0,2557,0,2557,0,,
2557,100,2557,1,2656,1138204,2659,1,2660,182916,2662,320000,2662,0,2664,10,2667,4,2654,2265600,2656,960000,2658,0,2659,0,2656,10,2658,10,2658,0,2660,0,2660,0,,
2661,100,2661,1,2756,1138324,2759,1,2760,503528,2760,320000,2761,0,2762,28,2765,9,2755,2265600,2757,960000,2758,0,2759,0,2756,27,2758,33,2759,0,2759,0,2760,0,,
2760,100,2760,1,2861,1138324,2873,1,2877,917,2878,320000,2879,0,2879,27,2881,5,2856,1497600,2863,300000,2870,0,2874,0,2859,0,2869,36,2872,0,2876,0,2877,0,,
