App,Package,Start Time,Duration,Filename
"System",,"May 9, 2020 @ 09:11:24 PM","8 min 3 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,57,1251940,60,1,61,765313,61,320000,62,0,63,39,66,12,55,1267200,58,1958400,59,0,60,0,57,35,59,53,59,0,60,0,60,0,,
61,100,61,1,158,1252304,163,1,164,155518,165,320000,166,0,167,11,172,3,156,960000,159,1958400,162,0,163,0,158,12,161,11,163,0,164,0,164,0,,
164,100,164,1,258,1249176,260,1,260,479779,261,320000,261,0,262,17,265,9,256,1958400,258,1728000,259,0,260,0,257,33,259,11,259,0,260,0,260,0,,
260,100,260,1,359,1249524,361,1,363,129197,363,320000,364,0,365,11,368,2,357,1958400,359,1958400,361,0,361,0,358,11,360,0,361,0,362,0,362,0,,
363,100,363,1,459,1249884,461,1,463,464370,463,320000,464,0,465,21,467,8,457,1958400,459,960000,460,0,462,0,458,40,460,0,461,0,462,0,462,0,,
463,100,463,1,559,1250248,561,1,561,926678,562,320000,562,0,563,42,565,14,557,1958400,559,1958400,560,0,561,0,558,30,560,50,560,0,561,0,561,0,,
561,100,561,1,659,1250372,662,1,663,700774,664,320000,664,0,666,36,668,15,658,1728000,660,1958400,661,0,662,0,659,27,661,40,661,0,663,0,663,0,,
663,100,663,1,759,1250720,761,1,763,359982,764,320000,764,0,765,15,769,5,758,1497600,760,1958400,761,0,762,0,759,20,761,20,761,0,763,0,763,0,,
763,100,763,1,861,1250968,864,1,865,89573,866,320000,866,0,868,10,871,3,858,960000,861,1497600,863,0,864,0,860,11,863,10,864,0,865,0,865,0,,
865,100,865,1,971,1251092,979,1,980,0,982,320000,983,0,985,36,990,4,961,300000,974,300000,978,0,979,0,968,27,977,40,978,0,980,0,980,0,,
981,100,981,1,1063,1251336,1065,1,1066,372161,1067,320000,1068,0,1069,26,1072,8,1060,960000,1063,1958400,1065,0,1066,0,1062,37,1064,25,1065,0,1066,0,1066,0,,
1067,100,1067,1,1165,1251584,1168,1,1169,190022,1170,320000,1171,0,1172,19,1175,5,1161,960000,1165,1958400,1167,0,1168,0,1164,33,1166,10,1167,0,1169,0,1169,0,,
1169,100,1169,1,1263,1251956,1265,1,1266,444457,1267,320000,1267,0,1268,31,1275,10,1261,1958400,1263,1036800,1264,0,1265,0,1262,30,1264,36,1265,0,1266,0,1266,0,,
1266,100,1266,1,1364,1251260,1366,1,1367,397048,1368,320000,1368,0,1369,27,1373,9,1361,1958400,1364,960000,1365,0,1366,0,1363,30,1365,22,1366,0,1367,0,1367,0,,
1367,100,1367,1,1463,1251320,1465,1,1466,423365,1466,320000,1467,0,1467,25,1469,10,1462,1497600,1464,1958400,1465,0,1465,0,1463,30,1464,20,1465,0,1466,0,1466,0,,
1466,100,1466,1,1567,1251320,1573,1,1575,50317,1576,320000,1577,0,1578,21,1583,4,1563,960000,1568,652800,1571,0,1573,0,1566,22,1570,0,1572,0,1574,0,1575,0,,
1575,100,1576,1,1666,1251320,1669,1,1670,427334,1671,320000,1672,0,1674,21,1677,6,1663,1958400,1666,960000,1668,0,1669,0,1665,33,1667,20,1668,0,1670,0,1670,0,,
1670,100,1671,1,1766,1251444,1769,1,1771,25490,1774,320000,1776,0,1780,22,1792,6,1764,300000,1766,960000,1768,0,1769,0,1765,22,1768,11,1769,0,1770,0,1770,0,,
1771,100,1771,1,1866,1251444,1869,1,1870,689617,1870,320000,1871,0,1872,44,1876,11,1864,1958400,1867,960000,1868,0,1869,0,1866,50,1868,50,1868,0,1869,0,1869,0,,
1870,100,1870,1,1967,1251568,1971,1,1972,315132,1973,320000,1975,0,1977,26,1984,7,1964,1958400,1967,960000,1970,0,1971,0,1966,25,1969,11,1970,0,1971,0,1972,0,,
1973,100,1973,1,2067,1251568,2070,1,2071,142965,2073,320000,2074,0,2075,33,2079,8,2065,883200,2068,960000,2069,0,2071,0,2067,30,2069,40,2070,0,2071,0,2071,0,,
2071,100,2072,1,2169,1251568,2173,1,2175,22946,2177,320000,2177,0,2179,21,2183,4,2166,960000,2170,300000,2172,0,2174,0,2168,10,2171,33,2172,0,2175,0,2175,0,,
2176,100,2176,1,2268,1251568,2270,1,2273,184032,2274,320000,2274,0,2275,12,2279,2,2266,960000,2268,1958400,2270,0,2271,0,2267,25,2269,11,2270,0,2272,0,2272,0,,
2273,100,2273,1,2368,1251568,2372,1,2374,161508,2376,320000,2376,0,2378,15,2382,4,2366,960000,2369,1958400,2371,0,2373,0,2368,20,2370,10,2371,0,2374,0,2374,0,,
2374,100,2375,1,2469,1251584,2471,1,2472,192254,2473,320000,2474,0,2475,40,2479,10,2466,960000,2469,1036800,2471,0,2472,0,2468,54,2470,27,2471,0,2472,0,2472,0,,
2473,100,2473,1,2569,1251692,2573,1,2575,37816,2576,320000,2577,0,2578,16,2583,3,2567,652800,2570,1036800,2572,0,2573,0,2568,12,2571,10,2572,0,2574,0,2574,0,,
2575,100,2575,1,2669,1251692,2672,1,2673,697926,2673,320000,2674,0,2675,36,2679,9,2667,1958400,2670,1036800,2671,0,2672,0,2669,54,2671,27,2671,0,2673,0,2673,0,,
2673,100,2673,1,2770,1251816,2773,1,2774,26190,2775,320000,2776,0,2777,11,2781,3,2768,1958400,2770,960000,2771,0,2773,0,2769,0,2771,11,2772,0,2774,0,2774,0,,
2774,100,2775,1,2870,1251816,2874,1,2875,149559,2875,320000,2876,0,2877,17,2881,4,2868,1190400,2871,960000,2873,0,2874,0,2870,22,2872,30,2873,0,2874,0,2874,0,,
2875,100,2875,1,2977,1251816,2986,1,2988,0,2989,320000,2990,0,2992,38,2999,4,2970,300000,2981,300000,2985,0,2987,0,2974,40,2984,30,2985,0,2987,0,2988,0,,
2988,100,2989,1,3073,1251940,3076,1,3077,125686,3078,320000,3079,0,3079,50,3082,6,3070,960000,3074,300000,3076,0,3077,0,3072,57,3075,44,3076,0,3077,0,3077,0,,
3078,100,3078,1,3172,1251940,3174,1,3175,707082,3175,320000,3176,0,3176,31,3179,10,3170,1958400,3172,1958400,3173,0,3174,0,3171,20,3173,41,3173,0,3174,0,3174,0,,
3175,100,3175,1,3273,1252660,3277,1,3279,344068,3281,320000,3282,0,3283,38,3289,13,3271,960000,3274,1958400,3276,0,3278,0,3273,40,3275,22,3277,0,3279,0,3279,0,,
3280,100,3280,1,3373,1253464,3376,1,3377,1256535,3378,320000,3378,0,3379,66,3383,25,3371,960000,3374,1958400,3375,0,3376,0,3373,45,3375,100,3376,0,3377,0,3377,0,,
3377,100,3377,1,3474,1253848,3475,1,3476,1342755,3476,320000,3477,0,3478,60,3480,17,3473,1958400,3474,1958400,3475,0,3476,0,3473,72,3475,44,3475,0,3476,0,3476,0,,
3476,100,3476,1,3575,1254068,3577,1,3578,1273409,3579,320000,3580,0,3581,55,3583,23,3573,1958400,3575,1958400,3577,0,3578,0,3574,10,3576,100,3577,0,3578,0,3578,0,,
3579,100,3579,1,3675,1254252,3678,1,3678,1290698,3679,320000,3679,0,3680,75,3684,29,3673,1036800,3676,1958400,3677,0,3678,0,3675,50,3677,100,3677,0,3678,0,3678,0,,
3678,100,3679,1,3726,1254648,3729,1,3731,1201700,3732,320000,3733,0,3734,66,3737,25,3724,960000,3727,1958400,3728,0,3730,0,3725,20,3728,100,3729,0,3730,0,3731,0,,
3731,100,3731,1,3825,1254772,3827,1,3827,1885966,3828,320000,3828,0,3829,78,3831,27,3824,1958400,3825,1958400,3826,0,3827,0,3825,63,3826,100,3826,0,3827,0,3827,0,,
3827,100,3827,1,3925,1255428,3927,1,3927,1712601,3928,320000,3928,0,3929,73,3931,32,3924,1958400,3926,1958400,3926,0,3927,0,3925,60,3926,88,3927,0,3927,0,3927,0,,
3927,100,3928,1,4026,1256620,4028,1,4028,1333411,4029,320000,4029,0,4030,65,4034,28,4024,1574400,4026,1958400,4027,0,4028,0,4025,41,4027,90,4027,0,4028,0,4011,1,started,
4028,100,4028,1,4126,1256744,4128,1,4128,787986,4129,320000,4129,0,4129,35,4132,14,4125,1958400,4126,1958400,4127,0,4128,0,4126,28,4127,40,4127,0,4128,0,4028,1,started,
4128,100,4128,1,4227,1256744,4229,1,4230,41544,4231,320000,4233,0,4236,17,4246,6,4225,960000,4227,1958400,4229,0,4230,0,4226,18,4228,0,4229,0,4230,0,4128,1,started,
4231,100,4231,1,4327,1253868,4328,1,4329,1573909,4329,320000,4330,0,4330,68,4333,27,4325,1958400,4327,1958400,4328,0,4328,0,4326,66,4328,70,4328,0,4329,0,4230,1,started,
4329,100,4329,1,4427,1254252,4430,1,4430,1194966,4431,320000,4431,0,4435,59,4441,25,4426,1958400,4428,1190400,4429,0,4430,0,4427,100,4429,10,4429,0,4430,0,4329,1,started,
4431,100,4431,1,4527,1254492,4529,1,4529,1446774,4530,320000,4530,0,4531,60,4533,18,4526,1958400,4527,1958400,4528,0,4529,0,4527,37,4528,88,4529,0,4529,0,4430,1,started,
4529,100,4530,1,4678,1254884,4679,1,4680,1204063,4680,320000,4681,0,4681,51,4683,21,4676,1958400,4678,1958400,4679,0,4679,0,4677,64,4679,40,4679,0,4680,0,4529,1,started,
4680,100,4680,1,4778,1253672,4780,1,4780,1770390,4781,320000,4781,0,4782,76,4784,33,4777,1958400,4778,1958400,4779,0,4780,0,4778,66,4779,87,4779,0,4780,0,4680,1,started,
4780,100,4780,1,4878,1253672,4880,1,4880,1273409,4881,320000,4881,0,4882,57,4884,22,4877,1958400,4879,1958400,4879,0,4880,0,4878,100,4879,10,4880,0,4880,0,4780,1,started,
4881,100,4881,1,4979,1253848,4980,1,4981,1504563,4981,320000,4982,0,4982,63,4985,26,4977,1958400,4979,1958400,4980,0,4980,0,4978,40,4980,90,4980,0,4981,0,4880,1,started,
4981,100,4981,1,5080,1254996,5082,1,5084,1284598,5085,320000,5086,0,5087,60,5091,25,5078,1958400,5080,1497600,5081,0,5083,0,5079,100,5081,20,5082,0,5083,0,4981,1,started,
5084,100,5084,1,5181,1255716,5183,1,5184,1026377,5184,320000,5185,0,5185,57,5189,20,5179,1958400,5181,1267200,5182,0,5183,0,5180,70,5182,50,5183,0,5183,0,5084,1,started,
5184,100,5184,1,5281,1259916,5284,1,5285,1023201,5286,320000,5286,0,5287,63,5290,22,5280,1958400,5281,1267200,5283,0,5284,0,5281,66,5283,60,5283,0,5285,0,5184,1,started,
5285,100,5286,1,5387,1260164,5392,1,5395,314120,5395,320000,5397,0,5399,19,5405,7,5381,1958400,5387,1267200,5389,0,5393,0,5385,27,5389,0,5391,0,5393,0,5285,1,started,
5395,100,5395,1,5481,1257240,5483,1,5484,996910,5484,320000,5485,0,5485,63,5487,20,5480,1958400,5482,1267200,5483,0,5484,0,5481,60,5483,70,5483,0,5484,0,5393,1,started,
5484,100,5484,1,5582,1257620,5584,1,5584,1504563,5585,320000,5585,0,5586,65,5588,25,5580,1958400,5582,1958400,5583,0,5584,0,5581,30,5583,100,5583,0,5584,0,5484,1,started,
5584,100,5584,1,5682,1258048,5684,1,5685,1539236,5685,320000,5685,0,5686,68,5688,27,5681,1958400,5683,1958400,5684,0,5684,0,5682,33,5683,100,5684,0,5684,0,5584,1,started,
5685,100,5685,1,5785,1258248,5790,1,5792,1400543,5793,320000,5795,0,5797,63,5803,27,5781,1958400,5785,1958400,5789,0,5791,0,5783,81,5787,40,5790,0,5792,0,5684,1,started,
5793,100,5793,1,5883,1258732,5884,1,5885,1828178,5885,320000,5886,0,5886,75,5888,31,5881,1958400,5883,1958400,5884,0,5885,0,5883,58,5884,100,5884,0,5885,0,5792,1,started,
5885,100,5885,1,5983,1258732,5987,1,5989,1469890,5991,320000,5992,0,5994,65,6000,28,5982,1958400,5983,1958400,5985,0,5987,0,5983,27,5984,100,5986,0,5988,0,5885,1,started,
5989,100,5989,1,6084,1259588,6086,1,6086,1299914,6087,320000,6087,0,6088,64,6092,26,6082,1267200,6084,1958400,6085,0,6086,0,6083,33,6085,100,6086,0,6086,0,5989,1,started,
6087,100,6087,1,6184,1260640,6188,1,6190,1127678,6191,320000,6191,0,6192,68,6196,25,6183,1267200,6184,1958400,6186,0,6189,0,6184,44,6185,81,6186,0,6189,0,6086,1,started,
6190,100,6190,1,6285,1260748,6287,1,6288,411330,6289,320000,6289,0,6290,22,6293,6,6283,1267200,6285,1958400,6286,0,6287,0,6284,36,6286,22,6287,0,6287,0,6190,1,started,
6288,100,6288,1,6385,1252080,6387,1,6389,712288,6390,320000,6391,0,6392,36,6395,15,6383,1267200,6385,1958400,6386,0,6387,0,6384,20,6386,54,6387,0,6387,0,6287,1,started,
6389,100,6389,1,6485,1252712,6487,1,6488,1110456,6488,320000,6489,0,6491,65,6494,22,6484,1267200,6485,1958400,6487,0,6487,0,6485,40,6486,81,6487,0,6488,0,6387,1,started,
6488,100,6488,1,6586,1253312,6588,1,6588,1265470,6589,320000,6589,0,6590,66,6594,25,6584,1267200,6586,1958400,6587,0,6588,0,6585,25,6587,100,6587,0,6588,0,6488,1,started,
6588,100,6588,1,6686,1253644,6688,1,6689,1312830,6689,320000,6693,0,6694,69,6702,27,6684,1267200,6686,1958400,6687,0,6688,0,6685,36,6687,100,6688,0,6689,0,6588,1,started,
6689,100,6689,1,6786,1253856,6787,1,6788,1620140,6788,320000,6789,0,6789,66,6792,27,6784,1958400,6786,1958400,6787,0,6788,0,6785,40,6787,100,6787,0,6788,0,6689,1,started,
6788,100,6788,1,6886,1254488,6889,1,6889,1299914,6890,320000,6891,0,6893,71,6904,28,6885,1267200,6887,1958400,6888,0,6889,0,6886,33,6888,100,6888,0,6889,0,6788,1,started,
6889,100,6889,1,6986,1254612,6988,1,6989,1735716,6989,320000,6989,0,6990,70,6993,30,6985,1958400,6987,1958400,6988,0,6988,0,6986,50,6987,100,6988,0,6988,0,6889,1,started,
6989,100,6989,1,7087,1256300,7090,1,7091,1334358,7092,320000,7092,0,7093,70,7097,29,7085,1267200,7088,1958400,7089,0,7090,0,7087,41,7089,100,7089,0,7090,0,6988,1,started,
7091,100,7091,1,7188,1256916,7190,1,7192,940938,7192,320000,7193,0,7193,52,7196,18,7186,1267200,7188,1958400,7189,0,7190,0,7187,57,7189,60,7189,0,7192,0,7091,1,started,
7192,100,7192,1,7288,1257004,7290,1,7290,248923,7291,320000,7291,0,7292,18,7295,7,7286,1267200,7288,1728000,7289,0,7290,0,7287,37,7289,10,7289,0,7290,0,7192,1,started,
7290,100,7290,1,7339,1257252,7341,1,7342,88173,7343,320000,7344,0,7345,18,7349,2,7337,1267200,7339,1267200,7340,0,7341,0,7338,0,7340,20,7341,0,7342,0,7290,1,started,
7342,100,7343,1,7440,1254492,7442,1,7443,667630,7444,320000,7445,0,7447,55,7450,16,7438,1958400,7440,1267200,7441,0,7443,0,7439,33,7441,66,7442,0,7443,0,7342,1,started,
