App,Package,Start Time,Duration,Filename
"System",,"May 9, 2020 @ 11:11:52 PM","8 min 4 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
9,100,9,1,2,1272620,5,1,6,1146274,10,320000,10,0,11,40,13,0,0,1958400,3,1958400,4,0,5,0,1,31,4,68,4,0,5,0,6,0,,
28,100,28,1,133,1272664,135,1,136,645943,137,320000,137,0,138,32,141,12,132,1958400,134,1497600,135,0,136,0,133,42,134,25,135,0,136,0,136,0,,
136,100,136,1,234,1273140,236,1,240,481522,241,320000,241,0,242,30,245,12,232,1958400,234,1497600,235,0,236,0,233,36,235,10,235,0,236,0,240,0,,
240,100,240,1,334,1269916,335,1,336,637736,336,320000,337,0,337,17,339,7,332,1958400,334,1958400,335,0,335,0,333,33,335,22,335,0,336,0,336,0,,
336,100,336,1,434,1270628,436,1,436,291005,437,320000,437,0,438,11,445,5,432,1958400,434,960000,435,0,436,0,433,25,435,0,435,0,436,0,436,0,,
436,100,436,1,534,1270984,536,1,537,497102,537,320000,537,0,538,36,542,11,533,1958400,535,960000,536,0,536,0,534,36,535,36,536,0,536,0,537,0,,
537,100,537,1,635,1271232,636,1,637,490522,638,320000,639,0,639,35,643,11,633,1958400,635,960000,636,0,637,0,634,36,636,33,636,0,637,0,637,0,,
637,100,638,1,735,1271480,737,1,738,369120,739,320000,739,0,740,17,743,9,734,1574400,736,1958400,737,0,737,0,735,11,736,25,737,0,738,0,738,0,,
738,100,738,1,836,1271728,839,1,840,403628,841,320000,841,0,843,31,846,9,834,960000,837,1958400,839,0,840,0,836,25,838,30,839,0,840,0,840,0,,
840,100,840,1,937,1271976,941,1,943,21803,943,320000,944,0,945,5,950,0,934,960000,938,1958400,940,0,942,0,937,9,939,0,940,0,942,0,943,0,,
943,100,943,1,1037,1272220,1039,1,1040,379501,1041,320000,1042,0,1043,27,1046,8,1035,960000,1037,1958400,1039,0,1040,0,1036,14,1038,30,1039,0,1040,0,1040,0,,
1041,100,1041,1,1142,1272344,1147,1,1149,87605,1150,320000,1151,0,1152,21,1157,5,1137,960000,1143,960000,1145,0,1147,0,1141,30,1145,9,1146,0,1148,0,1148,0,,
1149,100,1149,1,1237,1272344,1242,1,1244,545526,1245,320000,1245,0,1247,31,1250,9,1235,1958400,1239,960000,1241,0,1242,0,1237,40,1240,37,1241,0,1243,0,1243,0,,
1244,100,1244,1,1339,1272588,1345,1,1348,74620,1352,320000,1353,0,1355,24,1360,6,1336,883200,1339,960000,1343,0,1346,0,1338,10,1342,25,1343,0,1347,0,1348,0,,
1349,100,1351,1,1438,1272836,1443,1,1444,369967,1445,320000,1446,0,1447,25,1451,4,1436,960000,1439,1958400,1442,0,1443,0,1438,36,1441,25,1442,0,1444,0,1444,0,,
1445,100,1445,1,1540,1273084,1549,1,1554,81025,1556,320000,1556,0,1558,22,1562,4,1537,960000,1541,652800,1546,0,1552,0,1539,36,1544,0,1547,0,1553,0,1553,0,,
1555,100,1555,1,1639,1273332,1642,1,1643,604075,1644,320000,1644,0,1645,27,1649,9,1637,1958400,1639,960000,1641,0,1642,0,1638,50,1641,11,1642,0,1643,0,1643,0,,
1643,100,1643,1,1740,1273456,1744,1,1746,81025,1748,320000,1749,0,1750,21,1755,5,1737,1036800,1740,960000,1743,0,1745,0,1739,0,1742,36,1744,0,1746,0,1746,0,,
1747,100,1747,1,1840,1273704,1844,1,1845,153407,1846,320000,1847,0,1849,29,1853,5,1838,960000,1841,960000,1843,0,1844,0,1840,44,1843,25,1844,0,1845,0,1845,0,,
1845,100,1846,1,1947,1273952,1950,1,1951,61284,1953,320000,1954,0,1956,21,1960,4,1938,960000,1947,960000,1949,0,1950,0,1944,0,1949,27,1950,0,1951,0,1951,0,,
1952,100,1952,1,2040,1274320,2044,1,2044,445303,2045,320000,2046,0,2047,35,2051,10,2038,960000,2041,1958400,2043,0,2044,0,2040,44,2042,30,2043,0,2044,0,2044,0,,
2045,100,2045,1,2142,1274568,2145,1,2146,149950,2147,320000,2148,0,2150,14,2153,4,2139,960000,2142,1958400,2144,0,2145,0,2141,20,2144,9,2144,0,2145,0,2146,0,,
2146,100,2147,1,2240,1274816,2243,1,2244,452813,2245,320000,2245,0,2246,21,2249,8,2239,1958400,2241,1958400,2242,0,2243,0,2240,27,2242,12,2243,0,2244,0,2244,0,,
2244,100,2244,1,2342,1275060,2346,1,2349,78832,2349,320000,2350,0,2352,23,2356,8,2339,960000,2343,960000,2345,0,2346,0,2342,25,2345,10,2345,0,2348,0,2348,0,,
2349,100,2349,1,2442,1275308,2445,1,2446,503851,2446,320000,2447,0,2448,16,2452,5,2440,1958400,2442,960000,2444,0,2445,0,2441,40,2444,18,2444,0,2446,0,2446,0,,
2446,100,2446,1,2541,1275556,2543,1,2544,299018,2545,320000,2546,0,2547,26,2550,10,2540,960000,2542,1958400,2543,0,2544,0,2541,30,2542,20,2543,0,2544,0,2544,0,,
2545,100,2545,1,2642,1275928,2643,1,2644,117639,2644,320000,2645,0,2645,5,2648,2,2640,1958400,2642,1958400,2643,0,2643,0,2641,0,2643,10,2643,0,2644,0,2644,0,,
2644,100,2644,1,2743,1276176,2748,1,2750,140247,2752,320000,2753,0,2754,36,2760,12,2741,960000,2744,960000,2747,0,2749,0,2742,30,2745,33,2747,0,2749,0,2750,0,,
2750,100,2751,1,2844,1276420,2848,1,2849,111733,2851,320000,2852,0,2853,22,2858,4,2841,960000,2844,960000,2846,0,2848,0,2843,30,2845,20,2846,0,2849,0,2849,0,,
2850,100,2850,1,2954,1276668,2963,1,2968,153,2971,320000,2973,0,2977,34,2988,5,2943,300000,2955,300000,2960,0,2964,0,2948,40,2959,20,2962,0,2966,0,2967,0,,
2968,100,2969,1,3045,1277040,3048,1,3050,620271,3050,320000,3051,0,3052,46,3057,14,3043,1958400,3045,960000,3047,0,3049,0,3044,44,3047,50,3048,0,3049,0,3049,0,,
3050,100,3050,1,3145,1275984,3148,1,3149,852606,3151,320000,3152,0,3153,50,3157,18,3143,1958400,3145,960000,3147,0,3148,0,3144,66,3147,40,3147,0,3148,0,3149,0,,
3149,100,3149,1,3245,1275984,3248,1,3249,370727,3249,320000,3250,0,3252,15,3255,5,3243,1958400,3246,960000,3247,0,3248,0,3244,30,3247,10,3247,0,3248,0,3249,0,,
3249,100,3249,1,3346,1276536,3349,1,3350,343175,3361,320000,3362,0,3363,60,3365,16,3344,1267200,3346,960000,3348,0,3349,0,3345,40,3348,77,3349,0,3350,0,3350,0,,
3352,100,3361,1,3445,1276948,3447,1,3447,1273409,3447,320000,3448,0,3449,52,3452,23,3444,1958400,3445,1958400,3446,0,3447,0,3445,30,3446,80,3446,0,3447,0,3447,0,,
3447,100,3447,1,3546,1277320,3548,1,3549,1206087,3550,320000,3551,0,3552,66,3555,26,3544,960000,3546,1958400,3548,0,3549,0,3545,22,3547,100,3548,0,3549,0,3549,0,,
3549,100,3549,1,3645,1277440,3647,1,3648,1354313,3648,320000,3649,0,3649,52,3651,23,3644,1958400,3646,1958400,3647,0,3647,0,3645,77,3647,40,3647,0,3648,0,3648,0,,
3648,100,3648,1,3746,1277808,3748,1,3749,1227860,3750,320000,3751,0,3752,71,3754,29,3745,1728000,3746,1728000,3748,0,3749,0,3746,40,3747,100,3748,0,3749,0,3749,0,,
3750,100,3750,1,3846,1277808,3848,1,3848,1284966,3849,320000,3849,0,3850,52,3854,21,3845,1958400,3846,1958400,3847,0,3848,0,3846,11,3847,100,3847,0,3848,0,3848,0,,
3848,100,3848,1,3948,1278428,3951,1,3952,1324934,3953,320000,3955,0,3956,73,3960,30,3945,1190400,3948,1958400,3950,0,3951,0,3947,45,3949,100,3950,0,3952,0,3952,0,,
