test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;388.2487213861174;468013;19.91;1280285.26;0.00
16;383.2510540751487;472854;19.80;1273648.23;0.00
1;593.307528091133;385140;24.68;1233385.33;0.00
9;388.7339688962798;469063;19.90;1255049.13;0.00
13;383.78152054031153;472523;19.80;1266052.83;0.00
24;389.67036245240513;468217;19.97;1284924.33;0.00
4;402.91641702636747;459494;20.15;1243087.74;0.00
3;435.3897228704462;441774;21.03;1252680.45;0.00
14;389.2795081038545;469792;19.90;1266336.97;0.00
23;386.9940989638625;468528;19.92;1285702.05;0.00
19;388.05382063123335;468455;19.90;1279646.04;0.00
6;389.96413168052953;467468;19.91;1248342.42;0.00
11;386.1928077674653;468324;19.90;1259234.35;0.00
8;387.30453246490157;469246;19.87;1252921.71;0.00
12;383.7978333387927;473054;19.79;1263197.49;0.00
25;388.82103101991515;468877;19.97;1290101.87;0.00
5;396.89049171445185;466781;20.05;1244898.76;0.00
20;387.2302150511876;467978;19.97;1281651.46;0.00
17;384.27387090958473;472019;19.84;1272646.19;0.00
7;386.63685433695315;466813;19.94;1249894.99;0.00
10;383.0984581397965;472035;19.79;1255010.73;0.00
2;510.85076036857583;406069;22.90;1248372.49;0.00
15;383.47728544305005;473176;19.76;1268685.91;0.00
22;388.00628254578004;469399;19.97;1282511.14;0.00
18;388.58874306571016;468170;19.95;1275085.42;0.00
average;402.990400835;462130.48;20.2628;1264534.1316;0
