App,Package,Start Time,Duration,Filename
"System",,"Jun 5, 2016 @ 11:24:07 PM","8 min 7 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
29,100,29,1,24,1077052,27,1,29,152755,0,30,320000,31,0,32,20,35,6,4,1267200,25,1267200,26,0,28,0,23,27,26,8,27,0,28,0,29,0,,
113,100,113,1,107,1077052,112,1,113,837606,677345,114,320000,114,0,116,41,119,13,105,1958400,108,1267200,111,0,112,0,106,60,111,33,111,0,112,0,113,0,,
211,100,211,1,207,1077316,210,1,211,411086,250825,211,320000,212,0,213,45,216,13,205,1267200,208,1267200,209,0,210,0,207,40,209,55,209,0,210,0,210,0,,
310,100,310,1,307,1077932,309,1,310,1238736,1078475,310,320000,311,0,312,55,314,23,305,1958400,307,1958400,308,0,309,0,306,41,308,66,308,0,309,0,309,0,,
413,100,413,1,408,1078508,411,1,413,23997,0,414,320000,415,0,416,5,419,2,406,1958400,408,960000,410,0,412,0,407,0,410,10,411,0,412,0,412,0,,
511,100,511,1,508,1078880,510,1,511,591505,431244,512,320000,512,0,513,27,516,12,506,1958400,508,1958400,509,0,510,0,507,33,509,18,510,0,511,0,511,0,,
615,100,615,1,609,1079252,613,1,614,665659,505398,615,320000,616,0,618,33,620,13,607,1958400,610,960000,612,0,613,0,608,54,611,18,612,0,614,0,614,0,,
710,100,710,1,708,1079500,710,1,710,637736,477475,711,320000,711,0,712,29,714,10,707,1958400,708,1958400,709,0,710,0,708,30,709,25,709,0,710,0,710,0,,
812,100,812,1,809,1079728,811,1,812,224861,64600,813,320000,813,0,816,23,819,8,807,1958400,809,1036800,811,0,812,0,808,11,810,36,811,0,812,0,812,0,,
912,100,912,1,908,1080096,910,1,911,418139,257878,912,320000,913,0,913,20,916,7,907,1958400,909,1958400,910,0,911,0,908,0,909,36,910,0,911,0,911,0,,
1012,100,1013,1,1009,1080220,1011,1,1012,183442,23181,1013,320000,1013,0,1014,19,1017,5,1007,960000,1009,1958400,1011,0,1012,0,1009,30,1010,10,1011,0,1012,0,1012,0,,
1113,100,1113,1,1109,1080468,1111,1,1112,183442,23181,1113,320000,1114,0,1114,21,1117,5,1108,960000,1110,1958400,1111,0,1112,0,1109,30,1110,10,1111,0,1112,0,1112,0,,
1229,100,1230,1,1215,1080716,1224,1,1228,45358,0,1232,320000,1234,0,1238,26,1251,6,1209,960000,1216,300000,1221,0,1225,0,1213,20,1219,18,1222,0,1227,0,1228,0,,
1322,100,1322,1,1316,1081084,1321,1,1322,578546,418285,1323,320000,1324,0,1325,37,1329,7,1310,1958400,1317,300000,1319,0,1321,0,1314,50,1319,44,1320,0,1321,0,1322,0,,
1421,100,1421,1,1413,1081332,1418,1,1421,99397,0,1421,320000,1422,0,1423,15,1426,3,1410,1574400,1414,960000,1416,0,1418,0,1412,10,1416,12,1417,0,1419,0,1420,0,,
1513,100,1514,1,1511,1081580,1513,1,1513,300200,139939,1514,320000,1514,0,1515,17,1520,6,1510,1958400,1511,960000,1512,0,1513,0,1511,22,1512,20,1513,0,1513,0,1513,0,,
1618,100,1618,1,1613,1081828,1616,1,1618,348793,188532,1619,320000,1620,0,1621,19,1624,6,1610,1958400,1613,960000,1615,0,1617,0,1612,30,1614,0,1616,0,1617,0,1617,0,,
1716,100,1717,1,1713,1082072,1715,1,1716,312179,151918,1717,320000,1718,0,1719,30,1723,8,1711,1958400,1713,960000,1715,0,1716,0,1712,20,1714,36,1715,0,1716,0,1716,0,,
1821,100,1821,1,1815,1082320,1819,1,1821,26190,0,1822,320000,1823,0,1824,5,1829,1,1811,883200,1815,960000,1818,0,1819,0,1814,0,1817,11,1818,0,1820,0,1820,0,,
1922,100,1922,1,1914,1082692,1919,1,1922,210436,50175,1923,320000,1924,0,1925,47,1930,9,1912,960000,1915,960000,1918,0,1920,0,1913,50,1917,45,1918,0,1920,0,1921,0,,
2018,100,2018,1,2014,1081596,2016,1,2017,955866,795605,2019,320000,2019,0,2020,65,2024,17,2012,1958400,2014,960000,2016,0,2017,0,2013,70,2015,66,2016,0,2017,0,2017,0,,
