test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
1;545.1142232296226;386573;23.31;1058226.04;0.00
19;443.6931211054156;420922;21.05;1086445.91;0.00
13;375.04431141214656;460352;19.35;1078489.66;0.00
16;404.3323467131614;442729;20.03;1085315.87;0.00
25;375.6262965195131;460496;19.34;1094078.94;0.00
24;383.07525588752725;455267;19.50;1095769.42;0.00
18;441.7999614791813;423076;20.96;1088004.56;0.00
8;370.6915122832163;460362;19.26;1073361.45;0.00
4;415.32643199704995;436475;20.35;1067009.28;0.00
11;361.5207597584706;470404;18.94;1074737.44;0.00
17;423.1189492938033;433112;20.48;1084149.95;0.00
7;376.0932397959231;459006;19.37;1068671.02;0.00
3;477.12367305890047;402358;22.00;1061573.24;0.00
15;387.6785198177241;451536;19.59;1080276.05;0.00
22;431.178335082383;429851;20.61;1093846.19;0.00
10;369.9974333549216;463761;19.18;1077103.36;0.00
14;379.5730175322121;456795;19.46;1082448.69;0.00
5;389.2163840326909;449524;19.68;1066285.63;0.00
23;392.14763935963003;449921;19.72;1091785.54;0.00
12;371.3230118175221;460427;19.33;1079932.54;0.00
6;379.90920971347765;456042;19.43;1070654.91;0.00
21;437.59146919527507;424699;20.80;1089692.84;0.00
9;372.12461198015495;461878;19.24;1073037.96;0.00
20;448.5124014637945;417344;21.19;1090972.14;0.00
2;487.09615582413613;401033;22.13;1062021.12;0.00
average;409.556330868;441357.72;20.172;1078955.59;0
