App,Package,Start Time,Duration,Filename
"System",,"Jun 5, 2016 @ 11:44:07 PM","8 min 17 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
38,100,39,1,33,1079752,37,1,38,144144,6454,39,320000,40,0,41,20,44,5,14,1267200,34,1267200,36,0,37,0,32,25,35,8,36,0,38,0,38,0,,
123,100,123,1,116,1080080,120,1,122,816750,679060,123,320000,124,0,125,52,129,18,114,1958400,118,1267200,119,0,121,0,115,50,119,55,120,0,121,0,122,0,,
218,100,218,1,216,1080372,217,1,218,843255,705565,218,320000,219,0,220,58,222,21,214,1958400,216,1267200,217,0,218,0,215,40,217,88,217,0,218,0,218,0,,
318,100,318,1,316,1080496,318,1,318,880447,742757,319,320000,319,0,320,40,323,14,315,1958400,316,1958400,317,0,318,0,316,36,317,40,318,0,318,0,318,0,,
420,100,420,1,417,1080852,419,1,420,256332,118642,421,320000,421,0,422,10,425,4,415,1958400,417,1958400,418,0,419,0,416,10,418,12,419,0,420,0,420,0,,
519,100,519,1,517,1081348,518,1,519,579947,442257,519,320000,520,0,521,30,524,11,515,1958400,517,1958400,518,0,518,0,516,12,518,38,518,0,519,0,519,0,,
619,100,619,1,617,1081588,618,1,619,614620,476930,619,320000,620,0,621,26,623,11,615,1958400,617,1958400,618,0,619,0,616,20,618,33,618,0,619,0,619,0,,
720,100,720,1,717,1081836,719,1,720,567686,429996,720,320000,720,0,721,27,723,10,716,1728000,717,1958400,718,0,719,0,717,25,718,30,719,0,719,0,719,0,,
822,100,823,1,818,1082080,821,1,822,56898,0,823,320000,824,0,825,13,829,3,816,960000,819,1958400,821,0,822,0,818,25,820,0,821,0,822,0,822,0,,
924,100,924,1,919,1082436,923,1,924,63298,0,925,320000,926,0,927,23,931,5,917,960000,920,729600,922,0,923,0,918,12,922,33,923,0,924,0,924,0,,
