App,Package,Start Time,Duration,Filename
"System",,"May 10, 2020 @ 09:25:22 AM","7 min 18 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,41,1134700,44,1,45,797778,45,320000,45,0,46,27,49,0,40,2265600,41,2265600,43,960000,44,0,41,34,42,14,44,15,44,0,45,0,,
45,100,45,1,143,1135592,148,1,149,201002,150,320000,151,0,155,9,159,5,140,2265600,144,960000,145,960000,149,0,142,11,145,11,148,0,149,0,149,0,,
149,100,150,1,243,1132464,247,1,248,478324,248,320000,249,0,250,20,253,11,241,2265600,243,960000,245,960000,247,0,242,25,245,36,246,0,247,0,248,0,,
248,100,248,1,342,1132712,344,1,345,510605,345,320000,346,0,346,10,349,5,341,2265600,342,2265600,344,960000,345,0,342,22,343,10,344,0,345,0,345,0,,
345,100,345,1,443,1132856,445,1,446,383470,447,320000,447,0,448,8,450,5,441,2265600,443,2265600,444,0,445,0,442,12,444,12,445,0,446,0,446,0,,
446,100,446,1,543,1133400,544,1,545,1352880,545,320000,546,0,546,45,549,20,541,2265600,543,2265600,544,0,544,0,542,40,544,45,544,0,545,0,545,0,,
545,100,545,1,643,1133648,645,1,645,860229,645,320000,646,0,646,25,649,13,642,2265600,643,2265600,644,0,645,0,643,44,644,10,644,0,645,0,645,0,,
645,100,645,1,743,1133896,745,1,745,176874,746,320000,746,0,747,5,749,2,742,2265600,744,960000,744,0,745,0,743,11,744,0,745,0,745,0,745,0,,
746,100,746,1,844,1134144,845,1,846,351686,846,320000,846,0,847,11,849,5,842,2265600,844,960000,845,0,845,0,843,22,844,0,845,0,846,0,846,0,,
846,100,846,1,944,1134392,946,1,947,176874,947,320000,947,0,948,5,950,2,943,2265600,945,960000,946,0,946,0,944,11,945,0,946,0,946,0,947,0,,
947,100,947,1,1044,1134624,1046,1,1046,659675,1047,320000,1047,0,1048,25,1051,11,1043,2265600,1045,960000,1046,0,1046,0,1044,40,1045,10,1046,0,1046,0,1046,0,,
1047,100,1047,1,1146,1134828,1149,1,1151,23329,1152,320000,1153,0,1155,15,1159,4,1144,883200,1147,960000,1149,0,1150,0,1145,12,1148,0,1149,0,1151,0,1151,0,,
1151,100,1152,1,1259,1135076,1261,1,1261,822,1262,320000,1262,0,1263,18,1265,3,1249,300000,1260,300000,1261,0,1261,0,1259,30,1260,9,1261,0,1261,0,1261,0,,
1262,100,1262,1,1346,1135324,1348,1,1348,971472,1349,320000,1349,0,1349,25,1352,8,1345,2265600,1346,2265600,1347,0,1348,0,1346,11,1347,50,1347,0,1348,0,1348,0,,
