App,Package,Start Time,Duration,Filename
"System",,"May 10, 2020 @ 08:09:16 AM","7 min 23 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,47,1123432,48,1,49,492561,49,320000,50,0,50,27,57,0,45,2265600,47,960000,48,0,49,0,46,27,48,28,48,0,49,0,49,0,,
49,100,49,1,98,1123556,102,1,104,1065251,105,320000,106,0,107,53,111,18,96,2265600,99,960000,101,0,102,0,97,60,100,50,101,0,103,0,103,0,,
104,100,104,1,198,1123836,201,1,202,550625,203,320000,203,0,204,17,208,9,196,2265600,199,960000,200,0,201,0,198,33,200,11,201,0,202,0,202,0,,
202,100,202,1,299,1120432,302,1,304,659675,305,320000,305,0,307,28,310,11,297,2265600,299,960000,301,0,303,0,298,40,301,10,302,0,303,0,303,0,,
304,100,304,1,399,1120520,403,1,404,26190,405,320000,406,0,408,5,411,1,397,2265600,400,960000,402,0,403,0,399,0,401,11,402,0,404,0,404,0,,
405,100,405,1,500,1120768,503,1,505,760531,506,320000,507,0,508,38,512,15,497,2265600,500,960000,502,0,504,0,499,44,502,27,503,0,504,0,504,0,,
505,100,505,1,600,1120768,603,1,605,888205,606,320000,607,0,608,40,612,16,598,2265600,600,960000,602,0,604,0,599,53,602,20,603,0,604,0,605,0,,
605,100,605,1,700,1120768,703,1,705,661869,706,320000,707,0,708,22,711,8,698,2265600,701,960000,702,0,704,0,699,40,702,11,703,0,704,0,705,0,,
705,100,705,1,801,1120892,805,1,806,113747,807,320000,808,0,809,10,813,3,799,1728000,802,960000,804,0,805,0,800,10,803,11,804,0,806,0,806,0,,
806,100,807,1,900,1120892,901,1,902,637741,902,320000,902,0,903,16,905,7,898,1728000,900,2265600,901,0,901,0,899,0,900,40,901,0,901,0,901,0,,
902,100,902,1,1001,1121016,1003,1,1005,144632,1006,320000,1006,0,1007,27,1011,9,999,960000,1001,1267200,1002,0,1004,0,1000,12,1002,27,1003,0,1004,0,1004,0,,
1005,100,1005,1,1101,1121016,1103,1,1104,143821,1105,320000,1106,0,1107,28,1111,6,1099,960000,1101,1267200,1103,0,1104,0,1100,45,1102,10,1103,0,1104,0,1104,0,,
1105,100,1105,1,1202,1121016,1211,1,1217,24885,1219,320000,1219,0,1220,36,1222,3,1200,300000,1203,960000,1207,0,1212,0,1201,41,1206,11,1209,0,1215,0,1216,0,,
1217,100,1218,1,1301,1121260,1303,1,1304,1019148,1305,320000,1305,0,1306,17,1308,9,1300,2265600,1301,2265600,1302,0,1303,0,1301,44,1302,20,1303,0,1304,0,1304,0,,
1304,100,1304,1,1401,1121260,1403,1,1404,198116,1405,320000,1406,0,1406,14,1408,6,1400,1190400,1402,2265600,1403,0,1404,0,1401,10,1403,10,1403,0,1404,0,1404,0,,
1405,100,1405,1,1502,1121260,1503,1,1504,828445,1504,320000,1504,0,1505,28,1507,12,1500,2265600,1502,2265600,1503,0,1503,0,1501,41,1502,11,1503,0,1503,0,1503,0,,
1504,100,1504,1,1602,1121380,1604,1,1606,335794,1607,320000,1607,0,1608,5,1612,3,1601,2265600,1602,2265600,1603,0,1605,0,1602,9,1603,12,1604,0,1605,0,1605,0,,
1606,100,1606,1,1705,1121380,1709,1,1711,56898,1712,320000,1713,0,1715,14,1718,3,1702,960000,1706,960000,1708,0,1710,0,1704,0,1707,25,1709,0,1710,0,1711,0,,
1711,100,1712,1,1803,1121504,1805,1,1807,574173,1808,320000,1809,0,1810,17,1813,5,1801,2265600,1803,2265600,1804,0,1806,0,1802,25,1804,11,1805,0,1806,0,1807,0,,
1807,100,1807,1,1904,1121504,1908,1,1909,331986,1911,320000,1911,0,1912,15,1916,6,1902,2265600,1905,960000,1907,0,1908,0,1904,18,1906,20,1907,0,1909,0,1909,0,,
1910,100,1910,1,2005,1121504,2008,1,2009,266479,2010,320000,2010,0,2011,25,2015,9,2003,1497600,2005,1190400,2007,0,2008,0,2004,30,2006,20,2007,0,2008,0,2009,0,,
2009,100,2009,1,2115,1121624,2120,1,2121,2780,2121,320000,2122,0,2122,39,2125,6,2104,422400,2118,300000,2120,0,2120,0,2111,18,2119,58,2120,0,2120,0,2121,0,,
2121,100,2121,1,2205,1121624,2207,1,2208,490522,2209,320000,2209,0,2210,35,2212,12,2203,960000,2205,1958400,2206,0,2207,0,2204,33,2206,36,2207,0,2207,0,2208,0,,
2208,100,2208,1,2307,1121748,2311,1,2312,85412,2314,320000,2315,0,2316,26,2321,8,2304,960000,2307,960000,2309,0,2311,0,2306,11,2309,27,2310,0,2312,0,2312,0,,
2313,100,2313,1,2407,1121764,2411,1,2413,133667,2414,320000,2415,0,2417,26,2419,5,2405,960000,2408,960000,2410,0,2412,0,2406,40,2409,20,2411,0,2412,0,2413,0,,
