test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;546.5130040498633;427662;23.25;1149881.43;0.00
16;540.5194181818458;427849;23.21;1138032.49;0.00
1;649.36745118014;401701;25.46;1105079.91;0.00
9;543.4586341305285;426952;23.25;1123089.28;0.00
13;541.7127284774828;428850;23.19;1133291.23;0.00
24;551.3724195991002;425873;23.39;1152612.22;0.00
4;572.2465493027322;420362;23.86;1107096.86;0.00
3;632.7691408353835;408444;25.01;1118596.61;0.00
14;542.7734796888559;429168;23.11;1133946.58;0.00
23;551.1202972544652;424772;23.46;1152719.37;0.00
19;541.7416847968058;428663;23.20;1144980.05;0.00
6;542.9769495007464;427759;23.19;1112999.59;0.00
11;541.9846096314863;426997;23.27;1127873.03;0.00
8;546.1340087663381;429760;23.19;1118311.00;0.00
12;541.1421923431055;428504;23.22;1127805.38;0.00
25;554.0169130746385;427207;23.38;1159335.91;0.00
5;550.8992865209783;424553;23.46;1112618.75;0.00
20;542.0200358928408;427855;23.18;1145675.75;0.00
17;542.0590031780417;427809;23.23;1141588.68;0.00
7;543.0297294136742;427577;23.28;1118387.74;0.00
10;542.4315244617428;429819;23.08;1122705.82;0.00
2;651.0372341543626;402403;25.40;1113701.06;0.00
15;542.2865238302685;428146;23.22;1137427.70;0.00
22;546.6094259223631;425383;23.33;1148856.26;0.00
18;544.6805249887401;428476;23.22;1141912.94;0.00
average;557.796110767;424501.76;23.5216;1131541.0256;0
