App,Package,Start Time,Duration,Filename
"System",,"May 10, 2020 @ 03:00:14 PM","6 min 44 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
6,100,6,1,1,1273612,5,1,6,1082716,6,200000,7,36,10,30,14,1,0,2265600,2,2265600,5,0,5,0,1,23,4,45,5,0,6,0,6,0,,
31,100,31,1,169,1273872,172,1,173,714071,174,200000,174,36,175,41,178,17,168,1728000,170,1574400,171,0,172,0,169,47,171,40,172,0,173,0,173,0,,
173,100,173,1,270,1270592,277,1,278,678884,278,200000,279,36,280,36,283,14,268,2265600,271,960000,275,0,277,0,269,37,274,33,275,0,277,0,277,0,,
278,100,278,1,369,1270796,372,1,373,1019692,373,200000,374,36,375,29,378,14,368,2265600,370,2265600,371,0,372,0,369,33,370,30,371,0,372,0,373,0,,
373,100,373,1,470,1271472,472,1,473,1385208,473,200000,474,36,475,43,477,21,468,2265600,470,2265600,471,0,472,0,469,50,471,36,471,0,472,0,472,0,,
473,100,473,1,570,1271596,572,1,572,1544127,573,200000,573,36,573,45,576,22,569,2265600,570,2265600,571,0,572,0,570,60,571,36,572,0,572,0,572,0,,
572,100,572,1,670,1271844,672,1,672,1544127,673,200000,673,36,674,50,676,25,669,2265600,671,2265600,671,0,672,0,670,46,671,50,672,0,672,0,672,0,,
672,100,673,1,771,1272124,772,1,773,1528235,774,200000,775,36,775,47,778,23,769,2265600,771,2265600,772,0,773,0,770,50,772,45,772,0,773,0,773,0,,
774,100,774,1,871,1272356,873,1,874,1019692,874,200000,875,36,876,30,878,15,870,2265600,871,2265600,872,0,873,0,871,33,872,30,873,0,873,0,874,0,,
874,100,874,1,973,1272604,977,1,979,221696,980,200000,981,40,983,42,989,13,970,1190400,974,960000,976,0,978,0,972,37,975,30,977,0,978,0,979,0,,
979,100,980,1,1073,1272848,1075,1,1076,831974,1078,200000,1079,40,1080,40,1084,13,1071,2265600,1073,960000,1075,0,1076,0,1072,45,1074,44,1075,0,1076,0,1076,0,,
1077,100,1077,1,1178,1272856,1191,1,1192,65741,1193,200000,1193,40,1194,50,1197,10,1174,729600,1179,422400,1183,0,1191,0,1177,37,1182,44,1187,0,1192,0,1192,0,,
1192,100,1193,1,1273,1272988,1275,1,1275,1514170,1276,200000,1276,40,1277,30,1279,13,1272,2265600,1273,2265600,1274,0,1275,0,1273,57,1274,37,1274,0,1275,0,1275,0,,
1275,100,1275,1,1373,1273360,1375,1,1376,521212,1376,200000,1377,40,1377,30,1380,10,1372,960000,1374,2265600,1375,0,1375,0,1373,11,1374,30,1375,0,1375,0,1375,0,,
1376,100,1376,1,1474,1273608,1475,1,1476,867068,1476,200000,1477,40,1477,47,1479,16,1472,960000,1474,2265600,1475,0,1475,0,1473,60,1475,45,1475,0,1476,0,1476,0,,
