App,Package,Start Time,Duration,Filename
"System",,"May 10, 2020 @ 04:49:53 PM","6 min 43 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,49,1309736,51,1,52,860229,52,200000,52,33,53,30,58,0,48,2265600,49,2265600,50,0,51,0,49,36,50,18,51,0,51,0,52,0,,
52,100,52,1,150,1309948,152,1,155,734503,156,200000,157,33,157,33,160,19,148,2265600,150,1190400,152,0,152,0,149,40,151,22,152,0,154,0,154,0,,
156,100,156,1,201,1310424,205,1,206,1447406,207,200000,208,33,215,53,221,18,199,2265600,202,2265600,203,0,205,0,201,40,203,50,204,0,206,0,206,0,,
207,100,207,1,300,1306720,303,1,304,1606326,305,200000,305,33,306,45,309,22,299,2265600,301,2265600,302,0,303,0,300,50,301,50,302,0,303,0,304,0,,
304,100,304,1,400,1307404,402,1,403,963032,403,200000,404,33,405,45,410,20,399,2265600,401,960000,402,0,402,0,400,54,401,40,402,0,402,0,402,0,,
403,100,403,1,501,1307652,505,1,506,356019,507,200000,508,33,509,42,512,15,500,1574400,502,960000,503,0,505,0,501,40,503,25,503,0,506,0,506,0,,
506,100,507,1,601,1307948,603,1,604,1354121,605,200000,606,33,607,52,611,21,600,1574400,602,2265600,603,0,603,0,601,54,602,60,603,0,604,0,604,0,,
604,100,604,1,701,1308072,703,1,703,1320271,704,200000,704,33,705,40,708,15,700,2265600,702,2265600,702,0,703,0,701,55,702,27,703,0,703,0,703,0,,
703,100,704,1,802,1308440,803,1,804,884110,804,200000,805,38,806,40,809,17,800,2265600,802,960000,803,0,804,0,801,50,803,33,803,0,804,0,804,0,,
804,100,804,1,902,1308440,905,1,907,412904,909,200000,910,38,912,26,918,9,901,2265600,902,960000,903,0,905,0,902,22,903,20,903,0,907,0,907,0,,
907,100,909,1,1003,1308936,1005,1,1006,555811,1007,200000,1007,38,1008,41,1011,14,1001,1728000,1003,960000,1004,0,1005,0,1002,55,1004,25,1004,0,1005,0,1005,0,,
1006,100,1006,1,1112,1308936,1138,1,1147,67610,1152,200000,1153,38,1155,46,1160,10,1103,652800,1119,652800,1130,0,1139,0,1109,33,1128,30,1136,0,1146,0,1147,0,,
1149,100,1149,1,1204,1309336,1207,1,1208,1287582,1209,200000,1210,38,1211,63,1214,22,1203,2265600,1204,960000,1205,0,1207,0,1204,70,1205,71,1206,0,1208,0,1208,0,,
