test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;575.6353516096119;389310;23.70;1312805.93;0.00
16;580.016441224823;392600;23.59;1305199.74;0.00
1;571.9081825825734;392464;23.32;1284768.33;0.00
9;580.7117837548054;390995;23.64;1296657.29;0.03
13;577.7466669614528;389710;23.72;1296835.45;0.00
24;579.2826233919743;391326;23.67;1317413.71;0.00
4;578.6309815958318;389858;23.70;1284304.37;0.00
3;577.595598050413;391070;23.59;1290034.61;0.00
14;577.5449061166623;391203;23.66;1299329.47;0.01
23;579.8668414915561;390317;23.74;1316106.62;0.00
19;578.2869688943472;391062;23.59;1309035.95;0.00
6;581.1738127043834;391406;23.66;1280907.73;0.00
11;579.2443957253076;392122;23.61;1292191.98;0.00
8;579.7417502099862;391107;23.68;1286561.28;0.01
12;581.8620561272195;390852;23.71;1294870.96;0.00
25;577.4806677324522;391878;23.62;1328118.97;0.00
5;578.4278889812589;391217;23.60;1278855.43;0.00
20;579.9933485218459;392862;23.54;1311137.46;0.00
17;577.8456404475536;390318;23.69;1315376.93;0.00
7;578.4124083137383;391180;23.63;1282795.42;0.00
10;579.1157155785357;391314;23.61;1290133.51;0.02
2;577.7738601985567;391267;23.55;1287870.14;0.00
15;578.9106495108881;392491;23.59;1301887.55;0.00
22;576.1832557182107;390436;23.67;1313963.65;0.00
18;579.9642628705561;391452;23.68;1307702.06;0.00
average;578.534242333;391192.68;23.6304;1299394.5816;0
