App,Package,Start Time,Duration,Filename
"System",,"Dec 31, 2019 @ 08:12:58 AM","7 min 7 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,70,1094360,72,1,73,802629,73,320000,73,0,74,28,76,1,69,1497600,71,2265600,72,0,72,0,70,21,71,42,72,0,73,0,73,0,,
73,100,73,1,171,1094844,172,1,173,637741,173,320000,173,0,174,21,176,8,169,2265600,171,2265600,172,0,172,0,170,20,171,20,172,0,172,0,172,0,,
173,100,173,1,221,1095008,223,1,224,487486,225,320000,225,0,227,33,231,14,220,2265600,221,1958400,222,0,223,0,221,0,222,42,223,0,224,0,224,0,,
224,100,224,1,322,1092436,326,1,327,551204,328,320000,329,0,330,22,335,7,320,2265600,323,960000,325,0,326,0,321,30,324,33,325,0,327,0,327,0,,
328,100,328,1,423,1092808,426,1,427,522690,427,320000,428,0,429,25,433,9,420,2265600,424,960000,425,0,426,0,422,30,425,20,425,0,426,0,427,0,,
427,100,427,1,523,1092932,527,1,528,565979,529,320000,530,0,531,26,535,11,521,2265600,524,960000,526,0,527,0,522,33,525,18,526,0,528,0,528,0,,
528,100,529,1,624,1093156,627,1,629,840529,630,320000,631,0,632,36,636,14,621,2265600,624,960000,626,0,628,0,623,50,626,20,627,0,628,0,628,0,,
629,100,629,1,724,1093404,727,1,727,570365,728,320000,729,0,730,22,733,8,722,2265600,724,960000,726,0,727,0,723,33,726,20,726,0,727,0,727,0,,
728,100,728,1,825,1093776,828,1,830,161508,831,320000,831,0,833,15,837,5,822,1958400,825,960000,827,0,829,0,824,10,826,20,828,0,829,0,829,0,,
830,100,830,1,925,1094024,928,1,929,570365,930,320000,931,0,932,25,936,7,922,2265600,925,960000,927,0,928,0,924,33,926,20,927,0,929,0,929,0,,
930,100,930,1,1026,1094272,1029,1,1031,40589,1032,320000,1033,0,1034,30,1038,9,1023,300000,1026,960000,1028,0,1030,0,1025,30,1028,18,1029,0,1030,0,1030,0,,
1031,100,1031,1,1126,1094520,1129,1,1130,592300,1132,320000,1132,0,1133,23,1138,11,1123,2265600,1126,960000,1128,0,1129,0,1125,33,1127,30,1128,0,1130,0,1130,0,,
1131,100,1131,1,1226,1094768,1229,1,1229,252175,1230,320000,1231,0,1231,25,1234,6,1224,1497600,1227,960000,1228,0,1229,0,1226,36,1228,10,1228,0,1229,0,1229,0,,
1230,100,1230,1,1325,1095140,1326,1,1327,598880,1327,320000,1328,0,1328,33,1330,11,1324,2265600,1325,960000,1326,0,1326,0,1324,33,1326,33,1326,0,1327,0,1327,0,,
