App,Package,Start Time,Duration,Filename
"System",,"Dec 31, 2019 @ 08:53:54 AM","7 min 4 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,52,1114132,55,1,56,581871,57,320000,58,0,59,29,63,0,50,2265600,52,960000,54,0,55,0,51,34,53,18,54,0,56,0,56,0,,
56,100,56,1,152,1114696,156,1,157,373620,158,320000,159,0,160,20,164,6,150,2265600,153,960000,155,0,156,0,152,22,154,10,155,0,157,0,157,0,,
158,100,158,1,252,1111800,255,1,256,743522,256,320000,257,0,258,26,263,10,250,2265600,253,960000,254,0,255,0,252,45,254,12,254,0,255,0,255,0,,
256,100,256,1,352,1112252,353,1,354,780769,354,320000,355,0,355,26,357,10,351,2265600,352,2265600,353,0,354,0,351,27,353,22,353,0,354,0,354,0,,
354,100,354,1,452,1112716,454,1,454,812553,455,320000,455,0,456,27,458,12,451,2265600,452,2265600,453,0,454,0,452,10,453,41,453,0,454,0,454,0,,
454,100,454,1,553,1112956,554,1,555,701309,555,320000,555,0,556,22,558,10,551,2265600,553,2265600,554,0,554,0,552,11,553,33,554,0,554,0,555,0,,
555,100,555,1,653,1113184,654,1,655,860225,655,320000,656,0,657,31,659,15,651,1958400,653,2265600,654,0,654,0,652,33,654,30,654,0,655,0,655,0,,
655,100,655,1,753,1112720,754,1,755,1050932,755,320000,756,0,756,31,758,15,752,2265600,753,2265600,754,0,755,0,753,36,754,30,754,0,755,0,755,0,,
755,100,755,1,853,1112720,855,1,855,733093,856,320000,856,0,857,25,859,11,852,2265600,854,2265600,854,0,855,0,853,10,854,36,855,0,855,0,855,0,,
855,100,855,1,954,1112816,955,1,956,288118,956,320000,956,0,957,9,959,4,952,2265600,954,2265600,955,0,955,0,953,0,954,18,955,0,955,0,956,0,,
956,100,956,1,1054,1112816,1055,1,1056,113464,1056,320000,1057,0,1057,15,1060,4,1053,2265600,1054,1190400,1055,0,1056,0,1054,0,1055,30,1055,0,1056,0,1056,0,,
1056,100,1056,1,1156,1112816,1160,1,1161,50317,1162,320000,1163,0,1165,20,1170,4,1153,960000,1156,960000,1158,0,1160,0,1155,11,1158,11,1159,0,1161,0,1161,0,,
1161,100,1162,1,1254,1112816,1256,1,1257,828445,1257,320000,1257,0,1258,17,1260,8,1253,2265600,1255,2265600,1256,0,1256,0,1254,22,1255,30,1256,0,1256,0,1256,0,,
1257,100,1257,1,1355,1112816,1358,1,1359,717201,1360,320000,1360,0,1361,26,1364,12,1354,2265600,1356,2265600,1357,0,1358,0,1355,27,1357,18,1357,0,1358,0,1359,0,,
1359,100,1360,1,1455,1112816,1457,1,1457,357839,1458,320000,1458,0,1458,10,1461,4,1454,2265600,1455,1497600,1456,0,1457,0,1455,18,1456,11,1457,0,1457,0,1457,0,,
1457,100,1457,1,1555,1112816,1557,1,1557,406521,1558,320000,1558,0,1559,25,1561,8,1554,2265600,1556,960000,1556,0,1557,0,1555,22,1556,25,1557,0,1557,0,1557,0,,
1557,100,1557,1,1656,1112816,1658,1,1658,180723,1659,320000,1659,0,1660,13,1664,5,1655,2265600,1657,960000,1657,0,1658,0,1656,10,1657,9,1658,0,1658,0,1658,0,,
1658,100,1659,1,1756,1112816,1758,1,1758,527076,1759,320000,1759,0,1760,22,1762,9,1755,2265600,1756,960000,1757,0,1758,0,1756,30,1757,22,1757,0,1758,0,1758,0,,
1758,100,1758,1,1857,1112816,1859,1,1860,327599,1860,320000,1861,0,1862,25,1864,7,1856,2265600,1858,960000,1859,0,1860,0,1857,18,1858,18,1859,0,1860,0,1860,0,,
1860,100,1860,1,1958,1112816,1959,1,1960,796661,1960,320000,1961,0,1961,25,1963,11,1956,2265600,1958,2265600,1959,0,1959,0,1957,20,1958,30,1959,0,1960,0,1960,0,,
1960,100,1960,1,2058,1112816,2060,1,2061,204312,2062,320000,2062,0,2063,14,2065,6,2057,2265600,2058,960000,2059,0,2061,0,2058,9,2059,27,2060,0,2061,0,2061,0,,
2061,100,2062,1,2158,1112816,2161,1,2161,335794,2162,320000,2162,0,2163,10,2165,4,2157,2265600,2159,2265600,2160,0,2161,0,2158,11,2160,10,2160,0,2161,0,2161,0,,
2162,100,2162,1,2259,1112816,2262,1,2263,150598,2264,320000,2265,0,2266,20,2269,8,2257,1190400,2260,2265600,2261,0,2263,0,2259,40,2261,0,2262,0,2263,0,2263,0,,
2264,100,2264,1,2364,1112816,2368,1,2373,60966,2376,320000,2378,0,2381,29,2392,6,2361,960000,2365,300000,2367,0,2369,0,2363,27,2367,10,2368,0,2371,0,2372,0,,
2374,100,2375,1,2461,1112940,2464,1,2466,1052090,2467,320000,2468,0,2469,43,2473,11,2458,960000,2461,2265600,2463,0,2465,0,2460,44,2462,60,2464,0,2465,0,2465,0,,
2466,100,2466,1,2561,1112940,2564,1,2564,406562,2565,320000,2566,0,2567,33,2570,9,2559,960000,2561,2265600,2563,0,2564,0,2560,54,2563,18,2563,0,2564,0,2564,0,,
2565,100,2565,1,2661,1113072,2663,1,2664,67865,2665,320000,2666,0,2666,15,2672,3,2659,960000,2661,2265600,2663,0,2664,0,2660,30,2662,0,2663,0,2664,0,2664,0,,
2664,100,2665,1,2761,1113072,2763,1,2764,437796,2764,320000,2765,0,2766,22,2768,8,2759,2265600,2761,1267200,2762,0,2763,0,2760,22,2762,20,2763,0,2764,0,2764,0,,
2764,100,2764,1,2863,1113196,2867,1,2869,131248,2871,320000,2872,0,2873,26,2877,7,2860,1497600,2863,960000,2866,0,2868,0,2861,10,2865,30,2867,0,2869,0,2869,0,,
2870,100,2870,1,2962,1113196,2965,1,2966,1047124,2967,320000,2967,0,2968,36,2972,9,2961,2265600,2963,960000,2964,0,2965,0,2962,63,2964,20,2965,0,2966,0,2966,0,,
2966,100,2966,1,3063,1113296,3067,1,3068,23997,3070,320000,3070,0,3072,14,3075,4,3061,2265600,3064,960000,3066,0,3067,0,3062,0,3065,10,3066,0,3068,0,3068,0,,
3069,100,3069,1,3163,1113296,3167,1,3168,598301,3169,320000,3170,0,3171,20,3175,7,3161,2265600,3164,960000,3166,0,3167,0,3163,36,3165,11,3166,0,3168,0,3168,0,,
3168,100,3169,1,3274,1113672,3275,1,3276,716501,3276,320000,3277,0,3277,36,3279,7,3263,300000,3274,2265600,3275,0,3275,0,3267,22,3275,45,3275,0,3276,0,3276,0,,
3276,100,3276,1,3363,1114656,3365,1,3365,2195154,3366,320000,3366,0,3367,68,3369,34,3362,2265600,3364,2265600,3364,0,3365,0,3363,72,3364,66,3365,0,3365,0,3365,0,,
3365,100,3365,1,3465,1115120,3467,1,3468,1635127,3468,320000,3469,0,3481,56,3485,25,3463,2265600,3465,960000,3466,0,3467,0,3464,100,3466,20,3467,0,3468,0,3468,0,,
3468,100,3468,1,3564,1115376,3566,1,3567,1909098,3568,320000,3568,0,3569,62,3571,24,3563,2265600,3565,2265600,3566,0,3566,0,3564,20,3565,100,3566,0,3567,0,3567,0,,
3567,100,3567,1,3665,1115796,3667,1,3667,2068018,3668,320000,3669,0,3669,65,3672,34,3663,2265600,3665,2265600,3666,0,3667,0,3664,30,3666,100,3666,0,3667,0,3667,0,,
3668,100,3668,1,3767,1116044,3772,1,3773,1909098,3774,320000,3775,0,3776,63,3779,30,3764,2265600,3767,2265600,3771,0,3772,0,3766,20,3770,100,3771,0,3773,0,3773,0,,
