test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;640.5733858498955;411631;24.91;1137316.35;0.00
16;640.4978011187751;411650;24.93;1127647.34;0.00
1;639.9761983985767;410866;24.91;1104265.29;0.00
9;643.7961364200495;413123;24.87;1112538.50;0.00
13;642.6276675217943;411073;24.94;1120224.02;0.00
24;645.0507569811328;413906;24.85;1144072.13;0.00
4;643.3396770063121;410843;25.00;1099993.51;0.00
3;638.7418843935839;410670;24.94;1106089.20;0.00
14;642.9610518058131;412143;24.96;1123305.77;0.00
23;644.5435671794662;411224;25.04;1141906.79;0.00
19;641.9250485354236;410556;25.00;1133754.04;0.00
6;641.7178007251647;413266;24.76;1103906.98;0.00
11;643.3192916840629;410510;25.01;1117801.29;0.00
8;644.6945961544671;411482;24.92;1109388.41;0.00
12;640.5921162539395;413334;24.84;1120007.30;0.00
25;645.1625962784167;412144;24.92;1145861.49;0.00
5;641.5879275876755;412573;24.83;1101466.10;0.00
20;642.1847653924186;412657;24.88;1135830.79;0.00
17;644.793807530998;411445;25.01;1129902.77;0.00
7;644.9790061888951;413005;24.90;1106310.54;0.00
10;643.774484511292;412879;24.86;1115362.36;0.00
2;639.5678348507904;410063;24.94;1103817.70;0.00
15;642.8211591675084;411687;24.93;1125482.61;0.00
22;642.171995351675;410850;24.97;1140431.15;0.00
18;642.8073435895969;412603;24.90;1131704.99;0.00
average;642.568316019;411847.32;24.9208;1121535.4968;0
