App,Package,Start Time,Duration,Filename
"System",,"Dec 31, 2019 @ 10:48:28 AM","7 min 5 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,78,1139756,80,1,81,450927,81,320000,82,0,82,27,84,1,77,2265600,79,960000,80,0,80,0,78,23,79,38,80,0,81,0,81,0,,
81,100,81,1,180,1140128,183,1,185,370727,186,320000,187,0,188,16,192,8,178,1958400,181,960000,183,0,184,0,179,30,182,10,183,0,184,0,185,0,,
185,100,185,1,231,1140260,235,1,236,595974,237,320000,238,0,240,54,244,11,228,1958400,232,960000,234,0,235,0,230,40,233,60,234,0,236,0,236,0,,
236,100,237,1,331,1137636,334,1,336,45931,337,320000,338,0,339,11,343,5,328,2265600,332,960000,333,0,335,0,330,0,333,20,334,0,335,0,336,0,,
336,100,336,1,432,1137616,435,1,437,470627,438,320000,439,0,440,23,444,7,429,2265600,432,960000,434,0,436,0,431,27,434,18,435,0,436,0,436,0,,
437,100,437,1,532,1138112,535,1,537,268418,538,320000,539,0,540,17,544,5,529,2265600,532,960000,534,0,535,0,531,14,533,20,535,0,536,0,536,0,,
537,100,537,1,631,1137940,634,1,634,544126,635,320000,636,0,636,41,640,12,629,2265600,632,960000,633,0,634,0,631,25,633,66,633,0,634,0,634,0,,
635,100,635,1,731,1137940,733,1,734,812553,735,320000,735,0,736,28,739,11,729,2265600,731,2265600,732,0,733,0,730,10,732,41,733,0,734,0,734,0,,
734,100,734,1,831,1137940,833,1,834,456754,835,320000,836,0,836,17,840,7,830,1728000,832,2265600,833,0,834,0,831,12,832,22,833,0,834,0,834,0,,
835,100,835,1,933,1137940,938,1,939,61284,941,320000,942,0,943,18,947,3,930,960000,934,2265600,936,0,938,0,932,27,936,0,937,0,939,0,939,0,,
939,100,940,1,1033,1137940,1036,1,1038,91766,1039,320000,1040,0,1042,11,1045,3,1030,960000,1033,1497600,1035,0,1037,0,1032,12,1035,10,1036,0,1037,0,1037,0,,
1038,100,1039,1,1132,1137940,1133,1,1134,701309,1134,320000,1134,0,1135,17,1137,4,1130,2265600,1132,960000,1133,0,1133,0,1131,44,1133,0,1133,0,1134,0,1134,0,,
1134,100,1134,1,1233,1137940,1234,1,1235,176874,1235,320000,1235,0,1236,5,1238,2,1231,2265600,1233,960000,1234,0,1234,0,1232,11,1234,0,1234,0,1235,0,1235,0,,
1235,100,1235,1,1333,1137904,1335,1,1335,387313,1336,320000,1336,0,1337,22,1340,10,1332,1728000,1333,960000,1334,0,1335,0,1333,44,1334,0,1335,0,1335,0,1335,0,,
