App,Package,Start Time,Duration,Filename
"System",,"Jan 1, 2020 @ 04:52:06 PM","6 min 34 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
8,100,8,1,3,1216132,7,1,8,465164,9,320000,9,0,11,27,14,1,0,2265600,3,960000,6,0,7,0,2,25,5,30,7,0,8,0,8,0,,
26,100,26,1,149,1216496,151,1,152,677801,153,320000,154,0,155,38,157,12,146,2265600,149,960000,151,0,152,0,148,37,150,40,151,0,152,0,152,0,,
152,100,153,1,248,1216032,250,1,251,367578,252,320000,253,0,254,16,257,8,247,2265600,249,2265600,250,0,251,0,248,12,250,11,250,0,251,0,251,0,,
252,100,252,1,350,1214020,353,1,354,214700,356,320000,356,0,357,11,359,4,347,2265600,351,960000,353,0,354,0,349,12,352,10,353,0,354,0,354,0,,
355,100,355,1,449,1214544,451,1,452,653633,452,320000,453,0,454,16,458,8,447,2265600,449,2265600,450,0,451,0,448,30,450,11,450,0,451,0,451,0,,
452,100,452,1,550,1214792,554,1,555,629547,556,320000,557,0,559,25,562,10,548,2265600,551,960000,553,0,554,0,549,37,552,18,553,0,555,0,555,0,,
556,100,556,1,650,1215040,654,1,656,458584,657,320000,658,0,659,27,663,9,648,2265600,651,960000,653,0,655,0,650,25,653,27,654,0,655,0,655,0,,
656,100,656,1,750,1215288,753,1,754,406521,755,320000,755,0,756,22,760,8,748,2265600,751,960000,752,0,753,0,750,22,752,25,753,0,754,0,754,0,,
754,100,754,1,852,1215412,858,1,860,81025,861,320000,861,0,862,19,865,7,849,960000,854,960000,857,0,858,0,851,9,857,27,858,0,860,0,860,0,,
860,100,860,1,950,1215660,952,1,952,527076,953,320000,953,0,954,25,956,8,949,960000,950,2265600,951,0,952,0,950,22,951,30,952,0,952,0,952,0,,
952,100,952,1,1051,1216032,1053,1,1055,288118,1057,320000,1058,0,1059,14,1063,5,1049,960000,1051,2265600,1052,0,1054,0,1050,0,1052,18,1053,0,1055,0,1055,0,,
1055,100,1057,1,1152,1216280,1155,1,1156,248127,1157,320000,1158,0,1159,33,1163,8,1150,960000,1152,1190400,1154,0,1155,0,1151,36,1154,45,1155,0,1156,0,1156,0,,
1156,100,1157,1,1254,1216528,1260,1,1262,61284,1263,320000,1264,0,1266,26,1270,4,1250,300000,1254,960000,1258,0,1261,0,1253,0,1257,27,1259,0,1261,0,1262,0,,
1262,100,1263,1,1353,1216776,1356,1,1358,192889,1360,320000,1361,0,1362,42,1367,7,1351,960000,1354,960000,1355,0,1357,0,1352,50,1355,37,1356,0,1357,0,1358,0,,
1358,100,1359,1,1454,1217024,1457,1,1458,188502,1459,320000,1459,0,1461,38,1465,6,1451,960000,1454,960000,1456,0,1457,0,1453,45,1455,40,1456,0,1457,0,1458,0,,
1458,100,1458,1,1556,1217148,1558,1,1559,430827,1560,320000,1561,0,1561,19,1563,4,1553,300000,1557,2265600,1558,0,1559,0,1555,10,1557,27,1558,0,1559,0,1559,0,,
1559,100,1560,1,1653,1217372,1657,1,1658,565979,1659,320000,1660,0,1661,25,1665,10,1651,2265600,1654,960000,1656,0,1657,0,1652,33,1655,18,1656,0,1658,0,1658,0,,
1659,100,1659,1,1755,1217632,1758,1,1760,188958,1761,320000,1762,0,1763,19,1767,5,1752,2265600,1755,960000,1757,0,1759,0,1754,9,1757,20,1758,0,1759,0,1760,0,,
1760,100,1760,1,1855,1218004,1858,1,1860,268418,1861,320000,1862,0,1863,21,1867,7,1853,2265600,1856,960000,1857,0,1859,0,1854,14,1857,20,1858,0,1859,0,1860,0,,
1860,100,1860,1,1957,1218252,1961,1,1963,124893,1964,320000,1965,0,1966,25,1971,6,1954,960000,1957,960000,1960,0,1961,0,1956,36,1959,20,1960,0,1962,0,1962,0,,
1963,100,1963,1,2056,1218376,2059,1,2061,661869,2062,320000,2063,0,2064,27,2068,8,2054,2265600,2057,960000,2059,0,2060,0,2055,40,2058,11,2059,0,2060,0,2061,0,,
2061,100,2062,1,2157,1218624,2184,1,2200,80707,2201,320000,2202,0,2204,41,2209,9,2154,300000,2158,960000,2171,0,2190,0,2156,10,2168,36,2182,0,2194,0,2199,0,,
2200,100,2201,1,2256,1217740,2257,1,2258,1813747,2259,320000,2259,0,2260,25,2262,12,2254,2265600,2256,2265600,2257,0,2257,0,2255,77,2256,37,2257,0,2258,0,2258,0,,
2258,100,2258,1,2358,1217740,2361,1,2362,574173,2364,320000,2364,0,2366,22,2370,9,2355,2265600,2358,960000,2360,0,2361,0,2357,36,2359,0,2360,0,2362,0,2362,0,,
2363,100,2363,1,2457,1217740,2459,1,2460,394741,2461,320000,2462,0,2462,11,2465,7,2455,1267200,2457,2265600,2458,0,2460,0,2456,10,2458,22,2459,0,2460,0,2460,0,,
2461,100,2461,1,2557,1217740,2558,1,2559,293123,2559,320000,2559,0,2560,21,2562,3,2555,1267200,2557,2265600,2558,0,2558,0,2556,27,2557,11,2558,0,2559,0,2559,0,,
2559,100,2559,1,2657,1217784,2659,1,2660,478821,2661,320000,2661,0,2662,15,2665,4,2656,2265600,2657,2265600,2658,0,2659,0,2657,30,2658,0,2659,0,2660,0,2660,0,,
2660,100,2660,1,2758,1217736,2762,1,2763,455273,2764,320000,2765,0,2766,22,2770,8,2756,2265600,2759,960000,2761,0,2762,0,2758,27,2760,11,2761,0,2763,0,2763,0,,
