App,Package,Start Time,Duration,Filename
"System",,"Jan 1, 2020 @ 05:22:42 PM","6 min 34 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,51,1220892,53,1,53,955580,54,320000,54,0,55,27,57,1,49,2265600,51,2265600,52,0,53,0,50,21,52,39,52,0,53,0,53,0,,
53,100,53,1,153,1221244,156,1,158,216355,159,320000,160,0,161,10,165,4,151,2265600,153,960000,155,0,157,0,152,11,155,18,156,0,157,0,157,0,,
158,100,158,1,254,1218404,256,1,257,436152,258,320000,259,0,260,39,264,10,251,2265600,254,960000,256,0,257,0,253,20,255,53,256,0,257,0,257,0,,
257,100,257,1,354,1218504,357,1,359,391167,360,320000,360,0,362,20,366,10,352,2265600,354,960000,356,0,358,0,353,22,356,18,357,0,358,0,358,0,,
359,100,359,1,455,1219000,458,1,460,633395,461,320000,462,0,463,33,467,10,452,2265600,456,960000,457,0,459,0,454,36,457,27,458,0,459,0,460,0,,
460,100,460,1,555,1219000,558,1,560,967665,561,320000,562,0,563,40,567,16,553,2265600,556,960000,557,0,559,0,554,58,557,20,558,0,559,0,560,0,,
560,100,560,1,654,1219248,656,1,656,1050932,657,320000,657,0,658,31,660,9,653,2265600,654,2265600,655,0,656,0,654,22,655,44,655,0,656,0,656,0,,
656,100,656,1,754,1219372,756,1,756,351686,757,320000,757,0,758,11,760,5,753,2265600,754,2265600,755,0,756,0,754,0,755,22,755,0,756,0,756,0,,
756,100,756,1,855,1219620,857,1,857,128829,858,320000,858,0,859,10,862,4,853,2265600,855,1497600,856,0,857,0,854,0,856,20,856,0,857,0,857,0,,
857,100,857,1,955,1219708,957,1,958,310052,959,320000,960,0,960,15,963,6,953,2265600,956,960000,957,0,958,0,955,18,956,10,957,0,958,0,958,0,,
958,100,959,1,1055,1219956,1057,1,1057,892013,1057,320000,1058,0,1058,28,1060,11,1054,2265600,1055,2265600,1056,0,1057,0,1055,20,1056,36,1056,0,1057,0,1057,0,,
1057,100,1057,1,1155,1220080,1158,1,1159,2063,1159,320000,1160,0,1161,0,1165,0,1154,2265600,1156,2265600,1157,0,1158,0,1155,0,1157,0,1157,0,1158,0,1158,0,,
1159,100,1159,1,1256,1220328,1259,1,1261,505413,1261,320000,1262,0,1264,27,1268,10,1254,1190400,1257,2265600,1258,0,1260,0,1256,20,1258,27,1259,0,1260,0,1260,0,,
1261,100,1261,1,1357,1220452,1362,1,1364,45931,1366,320000,1367,0,1368,10,1373,2,1355,960000,1358,2265600,1360,0,1362,0,1356,20,1360,0,1361,0,1363,0,1364,0,,
1364,100,1365,1,1458,1220700,1461,1,1462,178292,1463,320000,1464,0,1465,40,1469,9,1455,960000,1458,1036800,1460,0,1461,0,1457,44,1460,30,1460,0,1462,0,1462,0,,
1462,100,1462,1,1558,1220948,1562,1,1564,344029,1565,320000,1565,0,1567,11,1572,2,1556,960000,1559,2265600,1561,0,1562,0,1558,11,1560,20,1561,0,1563,0,1563,0,,
1564,100,1564,1,1658,1221072,1661,1,1661,518882,1662,320000,1663,0,1664,33,1668,11,1656,960000,1658,2265600,1660,0,1661,0,1657,40,1660,27,1660,0,1661,0,1661,0,,
1662,100,1662,1,1757,1221320,1759,1,1759,431146,1760,320000,1760,0,1761,10,1763,2,1756,2265600,1758,2265600,1758,0,1759,0,1757,27,1758,0,1759,0,1759,0,1759,0,,
1759,100,1760,1,1858,1221568,1859,1,1860,748985,1860,320000,1861,0,1861,25,1863,10,1856,2265600,1858,2265600,1859,0,1859,0,1857,11,1859,36,1859,0,1860,0,1860,0,,
1860,100,1860,1,1959,1221808,1963,1,1965,76330,1966,320000,1967,0,1968,15,1972,6,1957,1190400,1960,2265600,1962,0,1964,0,1958,20,1961,0,1962,0,1964,0,1965,0,,
1965,100,1966,1,2059,1222056,2062,1,2064,235250,2065,320000,2066,0,2067,15,2071,5,2057,1190400,2060,2265600,2061,0,2063,0,2059,20,2061,10,2062,0,2064,0,2064,0,,
2065,100,2065,1,2159,1222304,2162,1,2163,336373,2164,320000,2165,0,2166,20,2169,6,2158,960000,2160,2265600,2161,0,2162,0,2159,22,2161,18,2162,0,2163,0,2163,0,,
2164,100,2164,1,2262,1222428,2266,1,2269,185110,2270,320000,2272,0,2273,10,2279,6,2258,960000,2262,2265600,2265,0,2267,0,2261,11,2265,10,2266,0,2268,0,2268,0,,
2269,100,2269,1,2360,1222676,2364,1,2365,685996,2366,320000,2367,0,2368,31,2372,7,2358,960000,2361,2265600,2362,0,2364,0,2360,22,2362,40,2363,0,2365,0,2365,0,,
2365,100,2366,1,2463,1222924,2467,1,2469,85412,2470,320000,2471,0,2472,20,2476,8,2460,960000,2464,960000,2466,0,2468,0,2461,22,2466,16,2467,0,2468,0,2469,0,,
2469,100,2469,1,2562,1223168,2565,1,2566,427334,2568,320000,2568,0,2569,21,2573,4,2559,1958400,2562,960000,2564,0,2565,0,2561,33,2563,20,2564,0,2566,0,2566,0,,
2567,100,2567,1,2662,1223416,2665,1,2667,633395,2668,320000,2669,0,2670,31,2674,8,2660,2265600,2663,960000,2664,0,2666,0,2661,36,2664,27,2665,0,2666,0,2667,0,,
2667,100,2668,1,2762,1223664,2766,1,2768,551204,2769,320000,2770,0,2771,31,2775,11,2760,2265600,2763,960000,2765,0,2767,0,2761,30,2764,33,2765,0,2767,0,2768,0,,
2768,100,2768,1,2863,1223912,2867,1,2868,618041,2869,320000,2870,0,2871,31,2875,8,2860,2265600,2863,960000,2865,0,2867,0,2862,36,2865,20,2866,0,2868,0,2868,0,,
2868,100,2869,1,2963,1224176,2966,1,2968,522690,2969,320000,2970,0,2971,21,2975,7,2961,2265600,2964,960000,2965,0,2967,0,2962,30,2965,20,2966,0,2967,0,2968,0,,
2968,100,2969,1,3064,1224424,3069,1,3071,159988,3072,320000,3073,0,3075,40,3079,8,3061,960000,3065,960000,3067,0,3069,0,3064,36,3067,36,3068,0,3070,0,3070,0,,
3071,100,3071,1,3164,1224548,3167,1,3168,146827,3169,320000,3170,0,3171,30,3175,6,3161,960000,3164,960000,3166,0,3168,0,3163,36,3166,30,3167,0,3168,0,3168,0,,
