test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;541.7365255122721;383549;23.53;1232370.00;0.00
16;556.6783524164409;382236;23.70;1223991.58;0.00
1;572.3467815708643;378139;24.04;1208209.87;0.00
9;550.6813075333075;380552;23.67;1209715.35;0.00
13;543.353512718446;382236;23.53;1219240.61;0.00
24;543.5863729204432;381407;23.61;1236991.02;0.00
4;568.8688655258464;375014;24.28;1202378.39;0.00
3;570.2718526370969;376607;24.09;1212195.19;0.00
14;552.5401885097493;380483;23.79;1221195.31;0.00
23;547.2506320142801;380091;23.76;1234945.10;0.00
19;550.8924715010324;382263;23.66;1229350.19;0.00
6;570.9522406279009;374699;24.25;1203009.99;0.00
11;542.6649551118148;381982;23.52;1214187.03;0.00
8;562.1464225823815;379162;23.89;1208134.02;0.00
12;543.224646772135;385315;23.43;1216487.90;0.00
25;569.4748167341937;376976;24.08;1238003.55;0.00
5;568.0802697072924;376230;24.11;1200954.40;0.00
20;544.6587565774244;382466;23.56;1230965.36;0.00
17;553.6708237490071;381649;23.65;1225805.84;0.00
7;570.6904814288403;376286;24.10;1204885.20;0.00
10;545.5440206329317;379726;23.76;1212220.86;0.00
2;569.8382858365655;375442;24.16;1211103.43;0.00
15;556.2121815521588;379040;23.85;1222709.38;0.00
22;549.5695951516842;381684;23.69;1233891.38;0.00
18;560.6439188560604;379923;23.85;1227372.84;0.00
average;556.223131127;379726.28;23.8224;1219212.5516;0
