App,Package,Start Time,Duration,Filename
"System",,"Jun 8, 2016 @ 05:12:41 PM","7 min 4 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
71,100,71,1,59,1074148,70,1,71,69386,0,71,200000,72,0,73,87,75,9,75,2265600,59,0,61,0,70,0,59,88,60,0,61,0,70,0,71,0,,
82,100,83,1,77,1074388,81,1,82,1591259,1307757,83,200000,83,0,84,100,90,25,162,2265600,77,0,81,0,82,0,76,100,81,0,81,0,82,0,82,0,,
166,100,166,1,163,1075216,165,1,166,2433533,2150031,167,200000,167,0,170,78,172,16,262,2265600,164,2265600,165,0,166,0,163,66,164,87,165,0,166,0,166,0,,
267,100,267,1,264,1075628,266,1,267,478821,195319,268,320000,268,0,269,10,271,5,362,2265600,264,2265600,265,0,266,0,263,20,265,10,266,0,267,0,267,0,,
369,100,369,1,364,1076124,367,1,368,844337,560835,369,320000,370,0,370,26,373,12,463,2265600,364,2265600,365,0,367,0,363,20,365,33,367,0,368,0,368,0,,
470,100,470,1,465,1076320,469,1,469,1225744,942242,470,320000,471,0,472,39,474,19,563,2265600,466,2265600,468,0,469,0,464,36,467,41,468,0,469,0,469,0,,
566,100,566,1,564,1076568,566,1,566,701309,417807,567,320000,567,0,567,23,570,11,663,2265600,564,2265600,565,0,566,0,564,11,565,33,565,0,566,0,566,0,,
666,100,666,1,664,1076692,666,1,666,1003256,719754,667,320000,667,0,667,30,670,15,764,1728000,665,2265600,665,0,666,0,664,30,665,33,666,0,666,0,666,0,,
767,100,767,1,765,1076692,766,1,767,291000,7498,768,320000,768,0,769,17,771,6,864,2265600,765,2265600,766,0,766,0,764,33,766,0,766,0,767,0,767,0,,
868,100,868,1,865,1076800,867,1,868,844337,560835,869,320000,869,0,870,31,872,13,964,2265600,866,2265600,867,0,867,0,865,53,866,0,867,0,868,0,868,0,,
973,100,973,1,969,1076800,971,1,973,188145,0,974,320000,974,0,975,18,978,8,1065,1267200,969,1267200,970,0,972,0,968,9,970,10,971,0,972,0,972,0,,
1070,100,1070,1,1067,1076800,1069,1,1070,230255,0,1070,320000,1071,0,1072,16,1075,6,1165,1267200,1067,1267200,1068,0,1069,0,1066,33,1068,20,1069,0,1069,0,1070,0,,
1175,100,1175,1,1167,1076920,1173,1,1175,118311,0,1176,320000,1176,0,1177,19,1180,4,1265,1267200,1168,1267200,1170,0,1173,0,1167,0,1169,27,1171,0,1174,0,1174,0,,
1270,100,1270,1,1267,1076920,1269,1,1270,564932,281430,1270,320000,1271,0,1272,21,1275,7,1366,1267200,1267,2265600,1269,0,1269,0,1267,20,1268,30,1269,0,1270,0,1270,0,,
1372,100,1373,1,1368,1076920,1371,1,1372,564932,281430,1373,320000,1374,0,1375,32,1378,12,1467,1267200,1368,2265600,1370,0,1371,0,1367,20,1370,30,1370,0,1372,0,1372,0,,
1475,100,1475,1,1470,1076920,1474,1,1475,293123,9621,1476,320000,1477,0,1477,15,1483,3,1567,1267200,1471,2265600,1472,0,1474,0,1469,27,1472,11,1473,0,1475,0,1475,0,,
1571,100,1571,1,1568,1076924,1570,1,1571,88173,0,1572,320000,1572,0,1573,6,1576,3,1667,1267200,1569,1267200,1570,0,1571,0,1568,20,1570,0,1570,0,1571,0,1571,0,,
1678,100,1679,1,1671,1076924,1677,1,1678,45118,0,1679,320000,1680,0,1681,9,1684,1,1767,2265600,1672,1267200,1675,0,1677,0,1669,0,1674,10,1675,0,1677,0,1678,0,,
1773,100,1773,1,1769,1077048,1772,1,1773,660284,376782,1774,320000,1774,0,1775,30,1778,11,1868,1267200,1770,1267200,1771,0,1772,0,1768,36,1771,20,1771,0,1772,0,1773,0,,
1875,100,1875,1,1870,1077048,1873,1,1874,122617,0,1875,320000,1876,0,1877,18,1880,6,1968,2265600,1870,1267200,1872,0,1873,0,1869,10,1871,18,1872,0,1874,0,1874,0,,
1975,100,1975,1,1970,1077172,1973,1,1975,556321,272819,1975,320000,1976,0,1977,21,1980,8,2068,1267200,1971,1267200,1972,0,1974,0,1970,30,1972,18,1973,0,1974,0,1974,0,,
2075,100,2076,1,2070,1077172,2074,1,2075,135533,0,2076,320000,2077,0,2078,20,2081,7,2169,2265600,2071,1267200,2073,0,2074,0,2070,20,2072,11,2073,0,2075,0,2075,0,,
2175,100,2175,1,2171,1077172,2173,1,2174,521877,238375,2175,320000,2176,0,2177,15,2180,5,2269,1267200,2171,1267200,2172,0,2174,0,2170,30,2172,10,2173,0,2174,0,2174,0,,
2275,100,2276,1,2271,1077296,2274,1,2275,144144,0,2276,320000,2277,0,2278,16,2281,6,2369,1267200,2272,1267200,2273,0,2274,0,2270,22,2273,11,2274,0,2275,0,2275,0,,
2375,100,2375,1,2371,1078064,2374,1,2375,441225,157723,2376,320000,2376,0,2378,55,2381,15,2470,2265600,2372,1267200,2373,0,2374,0,2371,66,2373,36,2373,0,2374,0,2374,0,,
2473,100,2473,1,2471,1078496,2472,1,2473,2115694,1832192,2473,320000,2474,0,2474,65,2476,25,2570,2265600,2471,2265600,2472,0,2473,0,2471,45,2472,88,2472,0,2473,0,2473,0,,
2573,100,2574,1,2571,1078988,2573,1,2573,1956774,1673272,2574,320000,2574,0,2575,61,2577,30,2670,2265600,2571,2265600,2572,0,2573,0,2571,33,2572,90,2572,0,2573,0,2573,0,,
2674,100,2674,1,2671,1079236,2673,1,2674,2020342,1736840,2674,320000,2674,0,2675,63,2677,30,2771,2265600,2672,2265600,2673,0,2673,0,2671,27,2672,100,2673,0,2673,0,2673,0,,
2774,100,2774,1,2772,1079608,2773,1,2774,1877315,1593813,2774,320000,2775,0,2775,57,2777,29,2871,1958400,2772,2265600,2773,0,2773,0,2771,30,2773,88,2773,0,2774,0,2774,0,,
2874,100,2874,1,2872,1079608,2874,1,2874,1475671,1192169,2875,320000,2875,0,2875,55,2877,28,2971,2265600,2872,2265600,2873,0,2874,0,2872,100,2873,20,2873,0,2874,0,2874,0,,
2975,100,2975,1,2972,1081152,2974,1,2975,1940882,1657380,2975,320000,2975,0,2976,61,2978,29,3072,2265600,2973,2265600,2974,0,2974,0,2972,50,2973,72,2974,0,2974,0,2974,0,,
3076,100,3076,1,3073,1081624,3075,1,3076,1533465,1249963,3076,320000,3077,0,3077,55,3080,26,3172,2265600,3073,1958400,3074,0,3075,0,3072,60,3074,50,3074,0,3075,0,3002,1,started,
3178,100,3178,1,3174,1081712,3176,1,3178,254373,0,3178,320000,3179,0,3180,15,3183,5,3272,1497600,3174,1267200,3176,0,3177,0,3173,11,3175,18,3176,0,3177,0,3075,1,started,
3277,100,3277,1,3274,1078688,3276,1,3277,365265,81763,3277,320000,3278,0,3279,45,3281,14,3373,1497600,3274,960000,3276,0,3276,0,3274,40,3275,50,3276,0,3277,0,3177,1,started,
