App,Package,Start Time,Duration,Filename
"System",,"Jun 8, 2016 @ 05:37:09 PM","7 min 4 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
38,100,38,1,36,1072080,37,1,38,1591259,1175088,40,200000,40,0,41,100,43,22,35,2265600,36,0,37,0,37,0,36,100,37,0,37,0,37,0,37,0,,
147,100,148,1,137,1072692,143,1,146,1112908,696737,151,200000,153,0,157,80,165,16,135,2265600,137,300000,141,0,144,0,137,70,140,50,142,0,145,0,145,0,,
240,100,240,1,237,1073504,239,1,240,1368772,952601,240,320000,241,0,242,36,244,17,236,2265600,237,2265600,238,0,239,0,237,53,238,33,239,0,240,0,240,0,,
340,100,341,1,337,1073876,339,1,340,812553,396382,341,320000,341,0,342,27,344,12,336,2265600,338,2265600,339,0,340,0,337,41,338,10,339,0,340,0,340,0,,
441,100,441,1,438,1074496,440,1,441,796661,380490,441,320000,442,0,443,25,446,15,436,2265600,438,2265600,439,0,440,0,437,40,439,10,440,0,440,0,441,0,,
543,100,543,1,539,1074744,542,1,543,839716,423545,544,320000,544,0,545,31,549,11,537,2265600,539,1267200,541,0,542,0,538,50,540,10,541,0,542,0,543,0,,
643,100,643,1,639,1074868,641,1,643,526182,110011,644,320000,644,0,645,22,648,9,637,2265600,639,1267200,641,0,642,0,638,30,640,11,641,0,642,0,642,0,,
742,100,742,1,738,1075116,740,1,741,478821,62650,742,320000,743,0,744,15,746,4,737,2265600,739,2265600,740,0,741,0,738,0,739,30,740,0,741,0,741,0,,
842,100,842,1,839,1075488,841,1,842,288118,0,843,320000,844,0,844,10,847,4,837,1267200,839,2265600,841,0,841,0,839,0,840,18,841,0,842,0,842,0,,
942,100,942,1,939,1075736,941,1,942,224235,0,943,320000,944,0,944,11,947,4,938,1267200,940,2265600,941,0,942,0,939,11,941,11,941,0,942,0,942,0,,
