test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;492.1879906789237;409287;22.01;1086736.96;0.00
16;485.7912525541693;412905;21.77;1080313.24;0.00
1;688.3923278661308;481159;22.83;1036118.18;0.00
9;480.6945221076998;413885;21.70;1061778.23;0.00
13;479.7430936231987;413746;21.71;1071237.23;0.00
24;492.4113940496958;409531;21.99;1093890.05;0.00
4;505.4070112803613;407852;22.17;1051215.13;0.00
3;537.3272587220496;396230;22.99;1046051.32;0.00
14;483.9255641136149;414047;21.75;1075431.88;0.00
23;491.02386061543143;410860;21.92;1090199.97;0.00
19;490.2143018620237;410867;21.92;1083580.44;0.00
6;489.792450798287;410983;21.89;1055815.72;0.00
11;479.072325505698;412112;21.75;1066737.36;0.00
8;481.2502616265603;412509;21.79;1061325.62;0.00
12;477.98945530021484;413771;21.68;1070826.70;0.00
25;506.0572570058593;407137;22.21;1093543.01;0.00
5;489.22983885943546;408775;21.98;1051744.76;0.00
20;491.8169116145907;411344;21.89;1087121.85;0.00
17;486.17865804418943;412497;21.81;1079816.21;0.00
7;484.14177992875295;412007;21.79;1056572.97;0.00
10;467.4702293010205;418037;21.45;1065840.94;0.00
2;581.0398713738873;387687;23.93;1046771.18;0.00
15;484.7880989427388;411734;21.83;1075693.90;0.00
22;496.49132411493997;410038;22.01;1090377.38;0.00
18;485.556636704757;409829;21.91;1083417.95;0.00
average;501.119747064;412753.16;22.0272;1070486.3272;0
