App,Package,Start Time,Duration,Filename
"System",,"May 11, 2020 @ 10:02:09 PM","6 min 58 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
6,99,6,1,2,990944,4,1,6,383511,6,320000,7,0,7,26,10,1,0,960000,2,2265600,3,0,5,0,1,29,3,20,4,0,5,0,6,0,,
27,99,27,1,174,991312,176,1,177,1019148,177,320000,177,0,179,36,182,13,173,2265600,174,2265600,175,0,176,0,174,33,175,31,176,0,176,0,176,0,,
177,99,177,1,275,988564,277,1,277,827705,278,320000,278,0,279,36,282,16,273,2265600,275,1497600,276,0,277,0,274,36,276,40,276,0,277,0,277,0,,
277,99,278,1,375,988772,378,1,380,669340,381,320000,382,0,383,27,387,12,374,2265600,376,1497600,377,0,379,0,375,38,377,10,378,0,379,0,380,0,,
380,99,380,1,476,989144,480,1,487,596107,488,320000,489,0,490,27,494,11,474,2265600,477,960000,479,0,480,0,476,36,478,10,480,0,486,0,486,0,,
487,99,487,1,577,989384,580,1,582,855883,583,320000,584,0,585,31,589,13,574,2265600,577,960000,579,0,581,0,576,50,579,27,580,0,581,0,582,0,,
582,99,583,1,681,989740,683,1,683,633933,684,320000,684,0,685,22,687,8,675,2265600,681,960000,682,0,683,0,678,37,682,20,682,0,683,0,683,0,,
683,99,683,1,776,989988,778,1,779,176874,780,320000,781,0,782,15,787,6,775,2265600,776,960000,777,0,779,0,776,11,777,0,778,0,779,0,779,0,,
779,99,780,1,877,990236,879,1,879,337008,880,320000,880,0,881,19,883,8,875,1728000,877,960000,878,0,879,0,876,36,878,9,878,0,879,0,879,0,,
879,99,880,1,979,990484,985,1,987,25014,989,320000,991,0,991,19,994,5,976,652800,980,960000,983,0,985,0,978,30,982,0,984,0,986,0,987,0,,
