App,Package,Start Time,Duration,Filename
"System",,"May 12, 2020 @ 01:14:27 AM","7 min 17 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,58,1031672,61,1,62,458045,62,320000,63,0,64,27,67,1,54,2265600,58,960000,61,0,62,0,56,24,60,34,61,0,62,0,62,0,,
62,100,62,1,156,1032056,158,1,158,637741,159,320000,159,0,160,23,162,11,154,2265600,156,960000,157,0,158,0,155,40,157,0,157,0,158,0,158,0,,
158,100,159,1,256,1029232,258,1,258,780769,259,320000,259,0,259,21,262,8,255,2265600,256,2265600,257,0,258,0,255,22,257,27,257,0,258,0,258,0,,
258,100,258,1,356,1029232,359,1,360,351686,360,320000,361,0,362,11,364,5,355,2265600,357,2265600,358,0,359,0,356,11,358,11,358,0,359,0,359,0,,
360,100,360,1,457,1029424,460,1,461,574173,461,320000,462,0,463,19,465,9,455,2265600,457,2265600,459,0,460,0,456,25,459,11,459,0,460,0,460,0,,
461,100,461,1,557,1029768,559,1,559,1162176,560,320000,560,0,561,35,563,17,555,2265600,557,2265600,558,0,559,0,556,40,557,33,558,0,559,0,559,0,,
559,100,559,1,657,1029976,659,1,660,643248,661,320000,661,0,662,38,664,16,656,2265600,657,1497600,659,0,659,0,657,22,658,46,659,0,660,0,660,0,,
660,100,660,1,757,1030224,759,1,760,447038,760,320000,760,0,761,14,763,6,756,2265600,757,2265600,759,0,759,0,757,10,758,18,759,0,760,0,760,0,,
760,100,760,1,857,1030472,860,1,861,319902,862,320000,862,0,863,10,867,5,856,2265600,858,2265600,859,0,860,0,857,10,859,10,860,0,861,0,861,0,,
861,100,861,1,970,1030720,983,1,984,60329,985,320000,985,0,986,33,989,8,957,960000,973,300000,981,0,983,0,967,27,979,30,983,0,984,0,984,0,,
