App,Package,Start Time,Duration,Filename
"System",,"May 11, 2020 @ 09:54:08 PM","6 min 55 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
8,99,8,1,5,930032,7,1,8,661909,8,320000,9,0,9,44,10,0,0,960000,5,2265600,6,0,7,0,3,40,6,36,7,0,7,0,8,0,,
36,99,36,1,142,941820,144,1,144,1027963,145,320000,145,0,146,46,148,0,141,960000,142,2265600,143,0,144,0,142,33,143,60,144,0,144,0,144,0,,
144,99,144,1,242,942480,244,1,245,335794,245,320000,245,0,246,11,248,5,241,2265600,243,2265600,244,0,244,0,242,10,243,11,244,0,244,0,245,0,,
245,99,245,1,343,939484,345,1,346,192766,347,320000,347,0,348,6,351,3,341,2265600,343,1958400,344,0,345,0,342,12,344,0,345,0,346,0,346,0,,
346,99,346,1,443,939908,446,1,446,689750,447,320000,448,0,448,22,452,10,442,2265600,444,1958400,445,0,446,0,443,36,445,10,445,0,446,0,446,0,,
447,99,447,1,545,940280,548,1,550,661869,551,320000,552,0,554,35,558,13,542,2265600,545,960000,547,0,549,0,544,40,547,11,548,0,549,0,550,0,,
550,99,551,1,644,940876,646,1,646,884356,647,320000,647,0,648,27,650,13,643,2265600,644,960000,645,0,646,0,644,54,645,11,645,0,646,0,646,0,,
646,99,646,1,744,941248,745,1,746,796661,746,320000,747,0,747,25,749,12,743,2265600,744,960000,745,0,746,0,743,50,745,0,745,0,746,0,746,0,,
746,99,746,1,844,941496,846,1,846,2063,847,320000,847,0,848,0,850,0,843,2265600,844,960000,845,0,846,0,844,0,845,0,845,0,846,0,846,0,,
846,99,846,1,945,941744,946,1,947,574173,947,320000,947,0,948,19,951,9,943,2265600,945,960000,946,0,946,0,944,36,945,0,946,0,947,0,947,0,,
947,99,947,1,1046,941992,1049,1,1056,917,1058,320000,1062,0,1064,33,1067,7,1044,300000,1047,960000,1049,0,1050,0,1046,36,1048,0,1049,0,1055,0,1056,0,,
1056,99,1057,1,1145,942252,1147,1,1147,748985,1148,320000,1148,0,1149,0,1151,0,1144,2265600,1146,2265600,1146,0,1147,0,1145,25,1146,22,1147,0,1147,0,1147,0,,
1147,99,1147,1,1247,942496,1250,1,1252,45931,1253,320000,1254,0,1255,19,1259,6,1245,2265600,1247,960000,1249,0,1251,0,1246,0,1249,20,1250,0,1252,0,1252,0,,
1252,99,1253,1,1347,942744,1351,1,1352,475014,1353,320000,1354,0,1355,20,1359,7,1345,2265600,1348,960000,1350,0,1351,0,1347,27,1349,20,1350,0,1352,0,1352,0,,
1352,99,1353,1,1448,943116,1455,1,1459,84651,1463,320000,1464,0,1465,20,1467,5,1445,1036800,1449,960000,1452,0,1456,0,1447,22,1451,11,1454,0,1458,0,1458,0,,
1460,99,1461,1,1550,943364,1554,1,1555,323212,1555,320000,1556,0,1557,15,1562,2,1545,960000,1551,2265600,1553,0,1554,0,1549,16,1552,18,1553,0,1554,0,1555,0,,
1555,99,1555,1,1647,943612,1649,1,1649,699735,1650,320000,1650,0,1651,43,1653,12,1646,2265600,1647,960000,1648,0,1649,0,1647,37,1648,50,1648,0,1649,0,1649,0,,
1649,99,1649,1,1748,943980,1752,1,1753,335794,1755,320000,1756,0,1757,15,1761,6,1746,2265600,1748,2265600,1750,0,1752,0,1747,10,1750,11,1751,0,1753,0,1753,0,,
1754,99,1754,1,1848,943584,1850,1,1851,1273420,1851,320000,1852,0,1853,35,1855,17,1846,2265600,1848,2265600,1849,0,1850,0,1847,20,1849,60,1849,0,1851,0,1851,0,,
1851,99,1851,1,1948,943708,1951,1,1952,199732,1952,320000,1953,0,1954,14,1956,6,1947,2265600,1949,1267200,1950,0,1951,0,1948,10,1950,9,1950,0,1951,0,1951,0,,
1952,99,1952,1,2048,943724,2051,1,2052,590065,2052,320000,2053,0,2053,15,2056,6,2047,2265600,2049,2265600,2050,0,2051,0,2048,10,2050,27,2050,0,2051,0,2051,0,,
2052,99,2052,1,2149,943724,2152,1,2154,83757,2154,320000,2155,0,2156,11,2159,5,2148,1190400,2150,2265600,2151,0,2153,0,2149,22,2151,0,2152,0,2153,0,2153,0,,
2154,99,2154,1,2252,943848,2257,1,2259,187555,2260,320000,2261,0,2263,18,2266,6,2248,1036800,2252,2265600,2255,0,2257,0,2250,10,2254,10,2256,0,2258,0,2258,0,,
2259,99,2259,1,2350,943848,2352,1,2353,892013,2354,320000,2354,0,2355,21,2358,10,2348,2265600,2350,2265600,2352,0,2352,0,2349,36,2351,20,2352,0,2353,0,2353,0,,
2353,99,2354,1,2451,943972,2455,1,2457,463890,2458,320000,2459,0,2461,18,2463,9,2448,1728000,2451,2265600,2454,0,2456,0,2449,11,2453,23,2454,0,2456,0,2457,0,,
2457,99,2458,1,2551,943972,2555,1,2557,478821,2559,320000,2560,0,2561,20,2563,7,2549,2265600,2551,2265600,2553,0,2556,0,2550,30,2553,0,2554,0,2556,0,2557,0,,
2557,99,2558,1,2650,943972,2652,1,2652,526497,2653,320000,2653,0,2654,11,2656,6,2649,2265600,2651,2265600,2652,0,2652,0,2650,33,2651,0,2652,0,2652,0,2652,0,,
2653,99,2653,1,2751,944096,2753,1,2754,227823,2754,320000,2755,0,2755,10,2758,4,2749,1190400,2751,2265600,2752,0,2753,0,2750,18,2752,10,2752,0,2753,0,2754,0,,
2754,99,2754,1,2851,944096,2853,1,2854,764877,2854,320000,2855,0,2855,23,2857,11,2849,2265600,2851,2265600,2852,0,2853,0,2850,30,2852,18,2852,0,2853,0,2853,0,,
2854,99,2854,1,2951,944104,2953,1,2954,236096,2955,320000,2955,0,2956,20,2958,8,2950,960000,2952,2265600,2953,0,2953,0,2951,27,2952,11,2953,0,2954,0,2954,0,,
2954,99,2954,1,3051,944104,3053,1,3054,812553,3055,320000,3055,0,3056,26,3059,11,3050,2265600,3052,2265600,3053,0,3053,0,3051,33,3052,18,3053,0,3054,0,3054,0,,
3054,99,3054,1,3152,944104,3154,1,3155,354551,3156,320000,3156,0,3157,20,3159,8,3151,1036800,3152,2265600,3153,0,3154,0,3152,25,3153,18,3154,0,3155,0,3155,0,,
3155,99,3155,1,3252,944228,3254,1,3255,21803,3255,320000,3256,0,3257,5,3259,1,3250,960000,3252,2265600,3253,0,3254,0,3251,9,3253,0,3254,0,3254,0,3255,0,,
3255,99,3255,1,3353,945084,3355,1,3356,680036,3357,320000,3357,0,3358,52,3361,19,3351,2265600,3353,960000,3355,0,3356,0,3352,33,3354,70,3355,0,3356,0,3356,0,,
3356,99,3356,1,3452,945580,3454,1,3454,1638935,3455,320000,3455,0,3455,55,3457,28,3451,2265600,3452,2265600,3453,0,3454,0,3452,81,3453,22,3453,0,3454,0,3454,0,,
3454,99,3454,1,3553,945824,3555,1,3556,953732,3556,320000,3557,0,3559,60,3563,27,3551,2265600,3553,1497600,3554,0,3555,0,3552,20,3554,100,3554,0,3555,0,3556,0,,
3556,99,3556,1,3653,946196,3654,1,3655,1877315,3655,320000,3656,0,3656,64,3658,26,3652,2265600,3653,2265600,3654,0,3655,0,3652,28,3654,90,3654,0,3655,0,3655,0,,
3655,99,3655,1,3753,946444,3754,1,3755,877632,3755,320000,3756,0,3756,52,3758,22,3752,1728000,3753,2265600,3754,0,3755,0,3753,100,3754,0,3754,0,3755,0,3755,0,,
3755,99,3755,1,3853,946568,3855,1,3855,1845531,3856,320000,3856,0,3857,57,3859,28,3852,2265600,3854,2265600,3854,0,3855,0,3853,50,3854,66,3855,0,3855,0,3855,0,,
3855,99,3856,1,3954,948036,3955,1,3956,1603474,3956,320000,3956,0,3957,59,3959,28,3952,1497600,3954,2265600,3955,0,3955,0,3953,27,3955,90,3955,0,3956,0,3956,0,,
3956,99,3956,1,4054,948944,4055,1,4056,2226938,4057,320000,4057,0,4058,66,4063,31,4053,2265600,4054,2265600,4055,0,4056,0,4054,40,4055,100,4055,0,4056,0,4000,1,started,
4056,99,4056,1,4154,949164,4156,1,4156,767111,4156,320000,4157,0,4158,38,4161,17,4153,960000,4154,2265600,4155,0,4156,0,4154,30,4155,44,4155,0,4156,0,4056,1,started,
4156,99,4156,1,4254,944808,4256,1,4256,934845,4257,320000,4257,0,4258,57,4260,19,4253,960000,4255,2265600,4255,0,4256,0,4254,63,4255,50,4256,0,4256,0,4156,1,started,
4256,99,4256,1,4355,945252,4357,1,4358,1750179,4358,320000,4359,0,4360,55,4363,21,4353,2265600,4355,2265600,4356,0,4357,0,4354,100,4356,10,4357,0,4358,0,4256,1,started,
4358,99,4358,1,4456,945544,4458,1,4459,830761,4460,320000,4470,0,4471,63,4473,18,4454,2265600,4456,960000,4458,0,4459,0,4455,40,4457,88,4458,0,4459,0,4358,1,started,
4459,99,4459,1,4556,945792,4559,1,4560,1676476,4561,320000,4563,0,4565,64,4569,30,4554,1574400,4556,2265600,4558,0,4559,0,4555,12,4558,100,4558,0,4560,0,4459,1,started,
4561,99,4561,1,4655,946040,4657,1,4657,2068018,4658,320000,4658,0,4659,61,4661,30,4654,2265600,4656,2265600,4656,0,4657,0,4655,30,4656,100,4657,0,4657,0,4560,1,started,
4657,99,4657,1,4757,946412,4759,1,4759,1739795,4760,320000,4761,0,4762,72,4765,33,4755,1190400,4757,2265600,4758,0,4759,0,4756,40,4758,100,4758,0,4759,0,4657,1,started,
4760,99,4760,1,4859,946996,4866,1,4869,1630740,4871,320000,4872,0,4873,60,4878,27,4855,960000,4861,2265600,4865,0,4868,0,4857,18,4864,100,4866,0,4868,0,4759,1,started,
4870,99,4870,1,4956,948148,4958,1,4958,2131586,4959,320000,4959,0,4960,62,4962,27,4955,2265600,4957,2265600,4958,0,4958,0,4956,72,4957,62,4958,0,4958,0,4869,1,started,
4959,99,4959,1,5057,951524,5069,1,5070,2449425,5070,320000,5071,0,5071,80,5073,40,5056,2265600,5059,2265600,5069,0,5070,0,5057,77,5069,77,5069,0,5070,0,4958,1,started,
5070,99,5070,1,5158,952636,5169,1,5171,3228132,5171,320000,5171,0,5172,72,5175,35,5156,2265600,5159,2265600,5166,2265600,5170,0,5158,80,5160,60,5168,63,5170,0,5070,1,started,
5171,99,5171,1,5257,953408,5260,1,5261,2068018,5261,320000,5262,0,5262,38,5265,28,5256,2265600,5258,2265600,5259,2265600,5260,0,5257,63,5258,55,5259,12,5260,0,5170,1,started,
5261,99,5261,1,5358,953604,5360,1,5361,257295,5362,320000,5362,0,5363,7,5366,5,5357,1728000,5358,1267200,5359,2265600,5361,0,5357,11,5359,0,5360,10,5361,0,5260,1,started,
5361,99,5362,1,5458,950788,5460,1,5465,492122,5466,320000,5467,0,5468,22,5473,8,5457,1267200,5458,1267200,5460,2265600,5462,0,5458,20,5459,20,5460,20,5464,0,5361,1,started,
5465,99,5465,1,5558,950520,5560,1,5561,2385857,5562,320000,5562,0,5563,75,5565,30,5557,2265600,5559,2265600,5559,0,5560,0,5558,50,5559,100,5560,0,5561,0,5464,1,started,
5561,99,5561,1,5659,951160,5661,1,5662,1909098,5663,320000,5664,0,5666,60,5670,30,5658,2265600,5659,2265600,5661,0,5661,0,5659,20,5660,100,5661,0,5662,0,5561,1,started,
5662,99,5663,1,5759,951284,5761,1,5762,1880197,5762,320000,5763,0,5763,68,5766,32,5758,1728000,5760,2265600,5761,0,5762,0,5759,33,5761,100,5761,0,5762,0,5662,1,started,
5762,99,5762,1,5863,951904,5869,1,5873,1638620,5875,320000,5877,0,5879,61,5887,28,5858,1267200,5864,2265600,5868,0,5871,0,5862,11,5866,100,5868,0,5872,0,5762,1,started,
5873,99,5875,1,5959,951832,5962,1,5963,2592453,5964,320000,5964,0,5965,78,5967,37,5958,2265600,5960,2265600,5961,0,5962,0,5959,63,5961,100,5961,0,5962,0,5873,1,started,
5963,99,5963,1,6060,952924,6061,1,6062,1877315,6062,320000,6063,0,6063,57,6065,29,6059,2265600,6060,2265600,6061,0,6062,0,6060,18,6061,100,6061,0,6062,0,5962,1,started,
6062,99,6062,1,6161,954152,6165,1,6166,1669610,6167,320000,6167,0,6168,71,6171,33,6159,1497600,6163,2265600,6164,0,6165,0,6161,60,6164,81,6165,0,6166,0,6062,1,started,
6166,99,6166,1,6264,954036,6266,1,6267,131228,6268,320000,6268,0,6269,10,6271,3,6259,1267200,6265,2265600,6266,0,6266,0,6262,30,6265,0,6266,0,6267,0,6166,1,started,
6267,99,6267,1,6361,950860,6362,1,6363,844021,6363,320000,6363,0,6364,33,6366,14,6359,2265600,6361,1267200,6362,0,6362,0,6360,50,6362,11,6362,0,6363,0,6267,1,started,
6363,99,6363,1,6461,951048,6463,1,6463,2004450,6463,320000,6464,0,6464,61,6466,23,6460,2265600,6461,2265600,6462,0,6463,0,6461,36,6462,90,6462,0,6463,0,6363,1,started,
6463,99,6463,1,6565,951768,6572,1,6576,1668758,6577,320000,6577,0,6578,60,6581,29,6561,1267200,6566,2265600,6570,0,6572,0,6563,18,6569,100,6570,0,6575,0,6463,1,started,
6576,99,6576,1,6662,951892,6663,1,6664,2640129,6664,320000,6664,0,6665,80,6667,37,6660,2265600,6662,2265600,6663,0,6663,0,6661,66,6663,100,6663,0,6664,0,6576,1,started,
6664,99,6664,1,6762,951492,6764,1,6765,2068018,6765,320000,6766,0,6767,65,6769,32,6761,2265600,6762,2265600,6763,0,6764,0,6761,100,6763,30,6764,0,6764,0,6664,1,started,
6765,99,6765,1,6862,948340,6864,1,6865,1940882,6866,320000,6866,0,6867,63,6869,30,6861,2265600,6863,2265600,6864,0,6865,0,6862,100,6864,22,6864,0,6865,0,6765,1,started,
6865,99,6866,1,6965,948772,6972,1,6973,1677369,6974,320000,6975,0,6976,63,6981,30,6961,2265600,6967,1267200,6970,0,6972,0,6964,100,6969,20,6971,0,6972,0,6865,1,started,
6973,99,6974,1,7063,949996,7065,1,7067,2195154,7068,320000,7069,0,7070,64,7072,34,7061,2265600,7063,2265600,7064,0,7066,0,7062,88,7064,50,7064,0,7067,0,6973,1,started,
7067,99,7067,1,7163,950820,7169,1,7173,2862616,7175,320000,7176,0,7178,84,7204,45,7162,2265600,7163,2265600,7164,960000,7173,0,7163,90,7164,90,7169,0,7173,0,7067,1,started,
7174,99,7174,1,7264,951564,7266,1,7266,2530622,7267,320000,7267,0,7268,72,7271,41,7262,2265600,7264,2265600,7265,960000,7266,0,7263,80,7265,70,7266,66,7266,0,7173,1,started,
7266,99,7267,1,7364,951688,7366,1,7367,431146,7368,320000,7369,0,7370,9,7377,8,7362,2265600,7364,2265600,7365,960000,7366,0,7363,27,7365,0,7366,0,7366,0,7266,1,started,
7367,99,7368,1,7464,951432,7466,1,7467,659675,7467,320000,7468,0,7468,17,7471,9,7463,2265600,7464,2265600,7465,960000,7467,0,7464,40,7465,0,7466,10,7467,0,7366,1,started,
7467,99,7467,1,7564,948648,7566,1,7566,1084746,7567,320000,7567,0,7568,44,7578,18,7563,2265600,7564,1267200,7565,0,7566,0,7564,60,7565,30,7566,0,7566,0,7467,1,started,
7567,99,7567,1,7665,949284,7671,1,7672,1591259,7674,320000,7677,0,7678,57,7681,26,7664,2265600,7666,1267200,7669,0,7671,0,7665,100,7668,0,7669,0,7671,0,7566,1,started,
7672,99,7673,1,7765,949656,7772,1,7773,2449425,7774,320000,7774,0,7775,76,7777,36,7764,2265600,7765,2265600,7771,0,7772,0,7765,100,7770,54,7772,0,7773,0,7672,1,started,
7773,99,7773,1,7866,950000,7868,1,7869,1766071,7870,320000,7870,0,7871,57,7874,27,7864,2265600,7866,2265600,7867,0,7868,0,7865,11,7867,100,7868,0,7869,0,7773,1,started,
7869,99,7870,1,7966,950364,7967,1,7968,2083910,7968,320000,7969,0,7969,61,7971,29,7964,2265600,7966,2265600,7967,0,7967,0,7965,77,7967,54,7967,0,7968,0,7869,1,started,
7968,99,7968,1,8066,950612,8068,1,8069,1750179,8069,320000,8070,0,8070,59,8073,29,8064,2265600,8066,2265600,8067,0,8068,0,8065,10,8067,100,8068,0,8068,0,7968,1,started,
8069,99,8069,1,8167,952164,8169,1,8170,1509839,8170,320000,8171,0,8172,54,8176,26,8165,1267200,8167,2265600,8168,0,8169,0,8166,18,8168,90,8169,0,8169,0,8069,1,started,
8170,99,8170,1,8268,953280,8270,1,8270,2322290,8271,320000,8271,0,8271,72,8273,33,8266,2265600,8268,2265600,8269,0,8270,0,8267,66,8269,80,8269,0,8270,0,8169,1,started,
8270,99,8270,1,8368,953368,8371,1,8372,204037,8373,320000,8374,0,8375,9,8378,4,8366,2265600,8369,1267200,8370,0,8371,0,8367,10,8370,10,8371,0,8372,0,8270,1,started,
8373,99,8373,1,8468,950320,8470,1,8470,685102,8471,320000,8472,0,8472,31,8474,14,8466,2265600,8468,1267200,8469,0,8470,0,8467,40,8469,11,8469,0,8470,0,8372,1,started,
8471,99,8471,1,8568,950740,8569,1,8570,1624965,8570,320000,8571,0,8571,57,8574,18,8566,1728000,8568,2265600,8569,0,8570,0,8567,22,8569,90,8569,0,8570,0,8470,1,started,
8570,99,8570,1,8668,951360,8669,1,8670,2163370,8670,320000,8670,0,8671,66,8673,33,8667,2265600,8668,2265600,8669,0,8669,0,8667,36,8669,100,8669,0,8670,0,8570,1,started,
8670,99,8670,1,8768,951608,8770,1,8770,1988558,8770,320000,8771,0,8771,66,8773,30,8767,2265600,8768,2265600,8769,0,8770,0,8768,25,8769,100,8769,0,8770,0,8670,1,started,
8770,99,8770,1,8868,952440,8870,1,8871,1940882,8872,320000,8872,0,8873,63,8875,30,8867,2265600,8869,2265600,8869,0,8870,0,8868,22,8869,100,8870,0,8871,0,8770,1,started,
8871,99,8871,1,8969,952688,8971,1,8972,1785007,8973,320000,8973,0,8974,71,8977,33,8967,1267200,8969,2265600,8971,0,8972,0,8969,45,8970,100,8971,0,8972,0,8871,1,started,
8972,99,8972,1,9073,953964,9076,1,9077,1707508,9078,320000,9079,0,9080,60,9086,28,9068,1267200,9074,2265600,9075,0,9077,0,9073,27,9075,100,9076,0,9077,0,8972,1,started,
9078,99,9078,1,9171,954384,9177,1,9178,3577755,9179,320000,9179,0,9180,84,9186,41,9168,2265600,9172,2265600,9175,2265600,9177,0,9171,87,9174,88,9176,50,9178,0,9077,1,started,
9178,99,9178,1,9270,954384,9274,1,9275,796661,9275,320000,9276,0,9277,20,9279,10,9269,2265600,9271,2265600,9273,2265600,9274,0,9270,20,9272,30,9273,0,9274,0,9178,1,started,
