App,Package,Start Time,Duration,Filename
"System",,"May 12, 2020 @ 12:24:01 AM","7 min 19 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
10,100,10,1,6,1027280,9,1,10,473937,10,320000,10,0,11,28,13,1,0,2265600,7,960000,8,0,9,0,6,25,7,34,8,0,9,0,9,0,,
31,100,30,1,136,1027460,138,1,139,906331,139,320000,139,0,140,46,150,17,134,2265600,136,960000,138,0,138,0,135,50,137,50,138,0,138,0,138,0,,
139,100,139,1,237,1027504,239,1,240,383070,240,320000,241,0,241,35,243,10,235,1728000,237,960000,239,0,239,0,236,36,239,30,239,0,240,0,240,0,,
240,100,240,1,336,1024288,338,1,339,892013,340,320000,340,0,341,31,343,13,335,2265600,336,2265600,337,0,338,0,336,36,337,20,338,0,339,0,339,0,,
339,100,339,1,437,1024536,439,1,441,637741,442,320000,443,0,444,19,447,9,435,2265600,437,2265600,438,0,440,0,436,30,438,10,439,0,440,0,441,0,,
441,100,441,1,538,1024784,546,1,546,570365,547,320000,548,0,549,27,553,10,536,2265600,540,960000,545,0,546,0,537,33,544,20,545,0,546,0,546,0,,
547,100,547,1,639,1024768,642,1,644,908484,645,320000,646,0,647,35,651,15,636,2265600,639,960000,641,0,643,0,638,54,641,22,642,0,643,0,644,0,,
644,100,644,1,739,1024768,742,1,744,633933,745,320000,746,0,747,26,750,10,736,2265600,739,960000,741,0,743,0,738,37,741,20,742,0,743,0,743,0,,
744,100,744,1,839,1024768,841,1,842,503528,843,320000,843,0,844,31,848,11,837,2265600,839,960000,841,0,842,0,838,27,840,33,841,0,842,0,842,0,,
842,100,842,1,938,1024768,941,1,942,574173,943,320000,943,0,944,20,946,4,937,2265600,939,2265600,940,0,941,0,938,0,940,36,941,0,942,0,942,0,,
942,100,942,1,1041,1024768,1045,1,1046,272384,1047,320000,1048,0,1049,22,1055,8,1037,1190400,1042,2265600,1044,0,1045,0,1040,30,1044,10,1044,0,1046,0,1046,0,,
