test_id; energy cons (J); time elapsed (ms); cpuloadnormalized (%); memoryusage (KB); gpuload (%)
21;555.9180723636215;425540;23.51;1039410.33;0.00
16;557.8185607111623;425186;23.48;1029096.59;0.00
1;653.0561829667791;402226;25.49;991367.31;0.00
9;554.3607711430034;424040;23.56;1010843.35;0.00
13;560.1866038226447;425601;23.58;1020065.86;0.00
24;565.6321594549871;422439;23.76;1044334.76;0.00
4;591.0949619692789;414836;24.32;1004824.07;0.00
3;644.09857822965;404065;25.31;1004440.67;0.00
14;559.6600220102364;424283;23.59;1022505.56;0.00
23;562.0284621572251;423815;23.62;1041735.29;0.00
19;555.7841919475487;425168;23.57;1035935.29;0.00
6;566.8606623898476;423812;23.65;1002338.44;0.00
11;558.0958737037873;425431;23.56;1015013.01;0.00
8;558.0920934950577;425081;23.56;1007234.78;0.00
12;557.4206524824335;424909;23.45;1017171.58;0.00
25;572.9714608356244;423072;23.75;1046235.86;0.00
5;580.4956980299472;421099;23.89;999277.89;0.00
20;557.7243465485927;423027;23.64;1036296.01;0.00
17;557.575746488861;425380;23.49;1029703.88;0.00
7;564.5936300613105;424966;23.58;1004745.74;0.00
10;555.1873868533055;425885;23.47;1012711.34;0.00
2;653.2412992872413;404559;25.43;1002375.89;0.00
15;556.7855720183136;423455;23.56;1025683.67;0.00
22;558.7422822450001;425589;23.51;1040120.83;0.00
18;553.3204146001303;425950;23.34;1033020.18;0.00
average;572.429827433;421576.56;23.8268;1020659.5272;0
