App,Package,Start Time,Duration,Filename
"System",,"Dec 10, 2019 @ 03:45:49 AM","10 min 41 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,97,0,1,40,1134524,42,1,44,472764,45,200000,46,33,52,43,56,1,38,1267200,40,1574400,42,0,43,0,39,45,41,39,42,0,43,0,44,0,,
44,97,44,1,140,1134800,142,1,143,762773,143,200000,144,33,151,44,154,17,138,1574400,140,1574400,141,0,142,0,139,55,141,50,142,0,142,0,142,0,,
143,97,143,1,240,1131752,242,1,243,798280,243,200000,244,33,245,57,250,18,238,1574400,240,1574400,242,0,242,0,240,53,241,57,242,0,243,0,243,0,,
243,97,243,1,341,1131956,343,1,344,713063,344,200000,345,33,346,50,353,17,339,1574400,341,1574400,343,0,343,0,340,53,342,45,343,0,344,0,344,0,,
344,97,344,1,441,1132104,443,1,445,691759,445,200000,446,33,447,47,452,17,439,1574400,441,1574400,443,0,444,0,440,55,442,40,443,0,444,0,444,0,,
445,97,445,1,541,1132516,544,1,545,714466,546,200000,547,33,548,54,558,17,539,1574400,542,1497600,543,0,544,0,541,50,543,54,544,0,545,0,545,0,,
545,97,546,1,641,1132884,643,1,644,582329,645,200000,646,33,648,60,651,18,640,1574400,642,960000,643,0,644,0,641,66,642,44,643,0,644,0,644,0,,
645,97,645,1,742,1132996,744,1,744,833786,745,200000,746,33,747,52,750,17,740,1574400,742,1574400,743,0,744,0,741,60,743,55,743,0,744,0,744,0,,
745,97,745,1,842,1133360,844,1,845,769874,845,200000,846,33,848,54,851,18,840,1574400,842,1574400,844,0,844,0,842,66,843,40,844,0,845,0,845,0,,
845,97,845,1,893,1133608,895,1,896,940307,897,200000,898,33,899,70,902,21,892,1574400,894,1574400,895,0,896,0,893,80,895,50,895,0,896,0,896,0,,
896,97,896,1,994,1133852,996,1,998,451160,999,200000,1000,41,1001,42,1008,13,991,1574400,994,960000,995,0,997,0,993,50,995,36,996,0,998,0,998,0,,
998,97,999,1,1094,1133976,1097,1,1098,491991,1099,200000,1100,41,1102,47,1106,13,1092,1574400,1095,960000,1096,0,1098,0,1094,54,1096,40,1097,0,1098,0,1098,0,,
