App,Package,Start Time,Duration,Filename
"System",,"Dec 9, 2019 @ 05:09:55 AM","8 min 7 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
10,100,10,1,5,1002528,10,1,10,319350,11,320000,11,0,12,28,14,1,0,960000,6,1958400,9,0,10,0,4,34,8,21,9,0,10,0,10,0,,
47,100,47,1,186,1003132,188,1,189,198517,189,320000,190,0,191,33,194,8,184,960000,186,1497600,188,0,188,0,185,52,187,13,188,0,189,0,189,0,,
189,100,189,1,286,1000344,289,1,289,674407,290,320000,291,0,292,43,295,14,285,1958400,287,1190400,288,0,289,0,286,45,288,41,288,0,289,0,289,0,,
289,100,290,1,337,1000344,340,1,341,94897,343,320000,343,0,345,20,349,4,335,1958400,338,1190400,339,0,341,0,337,0,339,25,340,0,341,0,341,0,,
342,100,342,1,439,1000632,442,1,444,41544,445,320000,445,0,447,16,451,4,436,1958400,439,960000,441,0,443,0,438,0,440,18,442,0,443,0,443,0,,
444,100,444,1,538,1000872,542,1,544,442267,545,320000,546,0,547,22,551,8,536,1958400,539,960000,541,0,543,0,538,36,540,11,541,0,543,0,543,0,,
544,100,544,1,639,1001120,642,1,644,554469,645,320000,646,0,647,35,651,12,636,1958400,639,960000,641,0,643,0,638,44,641,20,642,0,643,0,644,0,,
644,100,644,1,739,1001368,743,1,746,554469,748,320000,749,0,751,26,755,9,737,1958400,740,960000,742,0,743,0,738,44,741,20,742,0,744,0,745,0,,
746,100,746,1,839,1001616,842,1,843,299018,843,320000,844,0,845,25,849,7,837,1958400,839,960000,841,0,842,0,838,20,841,30,841,0,842,0,842,0,,
843,100,843,1,939,1001860,942,1,943,278266,944,320000,944,0,946,15,949,5,937,1958400,940,960000,941,0,942,0,939,22,941,10,942,0,943,0,943,0,,
943,100,943,1,1040,1002108,1044,1,1046,23997,1047,320000,1048,0,1049,10,1065,3,1038,1958400,1041,960000,1043,0,1044,0,1039,0,1042,10,1043,0,1045,0,1045,0,,
1046,100,1046,1,1139,1002060,1141,1,1141,1146274,1142,320000,1142,0,1143,43,1145,19,1138,1958400,1139,1958400,1140,0,1141,0,1139,44,1140,55,1140,0,1141,0,1141,0,,
1141,100,1141,1,1240,1001944,1242,1,1244,149950,1246,320000,1247,0,1249,17,1257,4,1238,960000,1240,1958400,1241,0,1242,0,1239,20,1241,9,1242,0,1243,0,1244,0,,
1244,100,1245,1,1341,1001944,1344,1,1345,587961,1346,320000,1347,0,1348,40,1352,11,1339,1958400,1341,960000,1343,0,1344,0,1340,45,1342,30,1343,0,1345,0,1345,0,,
1346,100,1346,1,1442,1001944,1446,1,1449,100766,1450,320000,1451,0,1453,21,1457,7,1439,960000,1443,960000,1445,0,1447,0,1441,27,1444,18,1446,0,1448,0,1448,0,,
1449,100,1449,1,1542,1001944,1545,1,1547,558856,1548,320000,1548,0,1549,29,1553,8,1540,1958400,1542,960000,1544,0,1546,0,1541,44,1544,22,1545,0,1546,0,1546,0,,
1547,100,1547,1,1643,1001944,1647,1,1649,63478,1650,320000,1651,0,1653,18,1657,6,1640,960000,1644,960000,1646,0,1648,0,1642,10,1645,18,1647,0,1648,0,1649,0,,
1649,100,1650,1,1744,1001944,1747,1,1749,350227,1750,320000,1750,0,1753,22,1759,5,1741,1958400,1745,960000,1746,0,1748,0,1743,25,1746,27,1747,0,1748,0,1748,0,,
1749,100,1749,1,1851,1001944,1867,1,1868,40589,1868,320000,1869,0,1870,34,1872,5,1843,300000,1854,960000,1861,0,1867,0,1848,30,1859,18,1866,0,1867,0,1867,0,,
1868,100,1868,1,1943,1001944,1945,1,1945,610549,1946,320000,1946,0,1947,38,1949,12,1942,1958400,1943,652800,1944,0,1945,0,1943,50,1944,40,1944,0,1945,0,1945,0,,
1945,100,1945,1,2045,1002068,2048,1,2050,67865,2051,320000,2052,0,2054,19,2058,5,2043,960000,2046,960000,2047,0,2049,0,2044,20,2047,10,2048,0,2050,0,2050,0,,
2050,100,2051,1,2145,1002068,2148,1,2150,508238,2151,320000,2152,0,2153,25,2157,8,2143,1958400,2146,960000,2147,0,2149,0,2144,40,2147,20,2148,0,2149,0,2150,0,,
2150,100,2150,1,2246,1002068,2253,1,2255,77143,2256,320000,2257,0,2260,15,2269,5,2243,1036800,2247,960000,2252,0,2254,0,2245,20,2251,10,2252,0,2254,0,2254,0,,
2255,100,2255,1,2345,1002068,2346,1,2347,488498,2347,320000,2348,0,2348,21,2350,8,2343,1958400,2345,960000,2346,0,2346,0,2344,40,2346,11,2346,0,2347,0,2347,0,,
2347,100,2347,1,2446,1002188,2448,1,2449,83757,2450,320000,2451,0,2452,10,2457,4,2444,1190400,2446,960000,2448,0,2449,0,2445,22,2447,0,2448,0,2449,0,2449,0,,
2449,100,2450,1,2545,1002188,2547,1,2548,370727,2548,320000,2548,0,2549,21,2551,6,2544,1958400,2546,960000,2547,0,2547,0,2545,30,2546,10,2547,0,2547,0,2547,0,,
2548,100,2548,1,2648,1002188,2651,1,2653,41051,2654,320000,2655,0,2657,20,2662,6,2645,883200,2648,960000,2650,0,2652,0,2647,22,2650,0,2651,0,2652,0,2652,0,,
2653,100,2653,1,2746,1002308,2749,1,2750,660851,2752,320000,2753,0,2754,22,2756,9,2745,1958400,2747,1958400,2748,0,2749,0,2746,27,2748,30,2749,0,2750,0,2750,0,,
2750,100,2751,1,2847,1002308,2849,1,2850,300200,2851,320000,2851,0,2852,18,2854,5,2845,1958400,2847,960000,2848,0,2849,0,2846,22,2848,20,2849,0,2850,0,2850,0,,
