App,Package,Start Time,Duration,Filename
"System",,"Dec 9, 2019 @ 05:19:04 AM","8 min 16 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,69,1006744,71,1,72,822659,72,320000,72,0,73,32,76,1,68,1958400,69,1958400,70,0,71,0,69,27,70,44,71,0,71,0,71,0,,
72,100,72,1,170,1006944,172,1,173,730197,174,320000,175,0,176,34,178,12,168,1958400,171,1958400,172,0,173,0,169,36,172,27,172,0,173,0,173,0,,
174,100,174,1,270,1003708,273,1,274,249705,274,320000,275,0,276,30,280,9,268,1958400,270,1036800,272,0,273,0,270,12,272,41,272,0,273,0,273,0,,
274,100,274,1,371,1003792,374,1,376,378024,377,320000,377,0,379,21,382,7,369,1958400,371,1036800,373,0,375,0,370,30,373,11,374,0,375,0,375,0,,
376,100,376,1,471,1003792,475,1,477,561640,478,320000,478,0,480,33,483,11,469,1958400,472,960000,474,0,476,0,471,45,474,18,475,0,476,0,476,0,,
477,100,477,1,570,1003916,572,1,573,834216,573,320000,573,0,574,35,577,14,569,1958400,571,1958400,572,0,572,0,570,36,571,36,572,0,572,0,572,0,,
573,100,573,1,671,1003916,673,1,674,764870,675,320000,675,0,676,33,678,13,669,1958400,671,1958400,672,0,673,0,671,30,672,36,673,0,674,0,674,0,,
674,100,675,1,771,1003916,774,1,776,106082,776,320000,777,0,778,5,780,1,770,1958400,772,1958400,773,0,775,0,771,9,773,0,774,0,775,0,775,0,,
776,100,776,1,873,1003916,877,1,878,189010,879,320000,880,0,881,16,884,5,870,960000,873,1958400,876,0,877,0,872,22,875,12,876,0,877,0,878,0,,
878,100,878,1,973,1004048,976,1,977,348793,977,320000,978,0,979,15,981,6,971,1958400,973,1958400,975,0,976,0,972,20,975,10,975,0,976,0,976,0,,
977,100,977,1,1073,1004048,1077,1,1078,183442,1079,320000,1080,0,1081,20,1085,5,1071,960000,1074,1958400,1076,0,1077,0,1073,30,1075,10,1076,0,1078,0,1078,0,,
1079,100,1079,1,1175,1004168,1179,1,1181,253969,1182,320000,1183,0,1185,26,1190,8,1171,960000,1176,1958400,1178,0,1180,0,1173,20,1177,18,1179,0,1180,0,1181,0,,
1182,100,1182,1,1273,1004168,1275,1,1276,338026,1277,320000,1278,0,1278,12,1281,4,1271,1958400,1273,1190400,1275,0,1276,0,1272,22,1274,22,1275,0,1276,0,1276,0,,
1277,100,1277,1,1373,1004168,1375,1,1376,141767,1377,320000,1378,0,1378,10,1381,3,1372,1958400,1374,960000,1375,0,1376,0,1373,10,1374,11,1375,0,1376,0,1376,0,,
1377,100,1377,1,1475,1004292,1479,1,1481,117639,1481,320000,1482,0,1484,5,1490,2,1472,1958400,1475,960000,1478,0,1479,0,1473,10,1477,0,1479,0,1480,0,1480,0,,
1481,100,1481,1,1576,1004412,1579,1,1580,826707,1582,320000,1582,0,1583,47,1592,12,1573,1958400,1576,960000,1578,0,1580,0,1575,63,1578,44,1579,0,1580,0,1580,0,,
1581,100,1581,1,1677,1004412,1681,1,1682,33429,1683,320000,1684,0,1686,28,1688,4,1673,960000,1677,652800,1680,0,1681,0,1675,0,1679,41,1680,0,1682,0,1682,0,,
