App,Package,Start Time,Duration,Filename
"System",,"Jan 27, 2019 @ 08:27:57 AM","4 min 54 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
1,100,0,1,60,995980,61,81,62,1309892,63,320000,63,0,64,47,64,0,58,1958400,60,2265600,61,0,62,0,59,37,60,45,61,0,62,0,62,0,,
62,100,62,1,110,996416,112,81,113,2045257,113,320000,115,0,116,66,119,0,109,1958400,111,2265600,112,0,112,0,110,25,111,100,112,0,113,0,113,0,,
113,100,113,1,209,996324,211,81,212,2233074,212,320000,213,0,213,65,216,32,208,2265600,210,2265600,211,0,211,0,209,30,211,100,211,0,212,0,212,0,,
212,100,212,1,310,994272,311,81,312,1390800,312,320000,313,0,313,38,316,19,308,2265600,310,2265600,311,0,311,0,309,44,310,33,311,0,312,0,312,0,,
312,100,312,1,410,994504,412,81,413,516742,414,320000,414,0,415,11,418,5,409,2265600,410,2265600,411,0,412,0,410,11,411,11,412,0,413,0,413,0,,
413,100,413,1,511,994868,513,81,513,1200096,514,320000,514,0,514,31,516,15,510,2265600,511,2265600,512,0,513,0,511,20,512,45,512,0,513,0,513,0,,
513,100,513,1,611,995340,613,81,613,516742,614,320000,614,0,615,12,617,5,610,2265600,611,2265600,612,0,613,0,611,0,612,22,612,0,613,0,613,0,,
613,100,613,1,712,995556,714,81,714,643877,715,320000,715,0,716,15,719,7,710,2265600,712,2265600,713,0,714,0,711,30,713,0,713,0,714,0,714,0,,
715,100,715,1,813,995680,816,81,818,189053,819,320000,819,0,821,10,824,3,811,2265600,813,960000,815,0,817,0,812,0,815,10,816,0,817,0,817,0,,
818,100,818,1,914,995928,918,81,920,347972,921,320000,922,0,924,14,928,5,911,2265600,915,960000,917,0,919,0,913,10,916,10,918,0,919,0,920,0,,
920,100,921,1,1016,996300,1019,81,1021,1085045,1022,320000,1023,0,1024,33,1028,8,1013,2265600,1016,960000,1018,0,1020,0,1014,55,1018,20,1019,0,1020,0,1020,0,,
1021,100,1021,1,1115,996548,1118,81,1120,640070,1121,320000,1121,0,1123,23,1126,8,1113,2265600,1115,960000,1117,0,1119,0,1114,27,1117,20,1118,0,1119,0,1119,0,,
1120,100,1120,1,1216,996796,1220,81,1221,612673,1222,320000,1223,0,1225,17,1229,7,1214,2265600,1217,960000,1219,0,1220,0,1216,25,1218,22,1219,0,1221,0,1221,0,,
1205,100,1205,1,1328,997164,1355,81,1359,165910,1360,320000,1364,0,1370,42,1375,9,1317,300000,1337,300000,1349,0,1356,0,1324,20,1346,18,1351,0,1357,0,1358,0,,
1221,100,1222,1,1417,997484,1420,81,1422,1503781,1423,320000,1424,0,1425,50,1429,13,1415,960000,1417,2265600,1419,0,1421,0,1416,66,1419,75,1420,0,1421,0,1421,0,,
1359,100,1359,1,1517,1004964,1520,81,1520,1374908,1521,320000,1521,0,1522,38,1525,15,1516,2265600,1518,2265600,1519,0,1520,0,1517,40,1519,36,1519,0,1520,0,1520,0,,
1422,100,1422,1,1617,1008128,1620,81,1621,827369,1622,320000,1623,0,1624,41,1634,19,1615,1267200,1617,2265600,1619,0,1620,0,1616,50,1618,28,1619,0,1621,0,1621,0,,
1521,100,1521,1,1717,1009968,1719,81,1719,2074154,1720,320000,1720,0,1721,60,1723,26,1715,2265600,1717,2265600,1718,0,1719,0,1716,66,1718,54,1718,0,1719,0,1719,0,,
1621,100,1621,1,1818,1009968,1820,81,1821,786905,1821,320000,1822,0,1822,20,1825,9,1816,2265600,1818,2265600,1819,0,1820,0,1817,27,1819,12,1819,0,1820,0,1820,0,,
1719,100,1719,1,1917,1010224,1919,81,1919,1246940,1920,320000,1920,0,1921,50,1923,22,1916,2265600,1918,1497600,1919,0,1919,0,1917,50,1918,45,1919,0,1919,0,1919,0,,
1821,100,1821,1,2018,1010348,2021,81,2022,416838,2022,320000,2023,0,2024,26,2030,8,2017,1267200,2019,1267200,2020,0,2021,0,2018,22,2020,36,2020,0,2021,0,2021,0,,
1920,100,1920,1,2118,1010600,2119,81,2120,1676855,2120,320000,2121,0,2121,50,2123,21,2117,2265600,2118,2265600,2119,0,2120,0,2118,37,2119,58,2119,0,2120,0,2120,0,,
2022,100,2022,1,2218,1011096,2220,81,2221,945825,2223,320000,2225,0,2225,23,2228,11,2217,2265600,2219,2265600,2220,0,2221,0,2218,22,2219,27,2220,0,2221,0,2221,0,,
2120,100,2120,1,2320,1011096,2322,81,2324,458179,2325,320000,2325,0,2326,21,2329,8,2318,2265600,2320,1267200,2322,0,2323,0,2319,11,2321,27,2322,0,2323,0,2323,0,,
2222,100,2222,1,2420,1010972,2422,81,2423,977993,2424,320000,2425,0,2426,40,2431,17,2418,2265600,2420,1267200,2421,0,2422,0,2419,41,2421,37,2422,0,2423,0,2423,0,,
2324,100,2324,1,2521,1011324,2523,81,2523,1091421,2524,320000,2524,0,2525,38,2527,12,2520,1497600,2522,2265600,2522,0,2523,0,2521,33,2522,45,2523,0,2523,0,2523,0,,
2423,100,2424,1,2622,1011196,2623,81,2624,539284,2624,320000,2624,0,2625,20,2627,7,2620,1267200,2622,2265600,2623,0,2623,0,2621,20,2622,18,2623,0,2623,0,2624,0,,
2523,100,2524,1,2723,1011320,2726,81,2727,1077966,2727,320000,2728,0,2728,40,2731,16,2721,2265600,2723,1267200,2725,0,2726,0,2722,50,2724,27,2725,0,2726,0,2726,0,,
2624,100,2624,1,2823,1011444,2825,81,2825,882257,2826,320000,2827,0,2827,22,2829,11,2821,2265600,2823,1267200,2824,0,2825,0,2822,45,2824,0,2824,0,2825,0,2825,0,,
2727,100,2727,1,2926,1011508,2929,81,2930,455588,2931,320000,2932,0,2935,36,2940,10,2923,1267200,2926,1267200,2928,0,2929,0,2925,22,2927,45,2928,0,2930,0,2930,0,,
2826,100,2826,1,3024,1011508,3027,81,3028,866365,3029,320000,3029,0,3030,22,3033,7,3022,2265600,3024,1267200,3026,0,3027,0,3023,44,3025,0,3026,0,3027,0,3028,0,,
2930,100,2931,1,3124,1011508,3126,81,3127,602852,3128,320000,3129,0,3130,22,3135,9,3123,1267200,3124,2265600,3125,0,3126,0,3123,20,3125,22,3126,0,3126,0,3127,0,,
3028,100,3028,1,3226,1011632,3229,81,3230,1359016,3231,320000,3232,0,3232,35,3235,15,3223,2265600,3227,2265600,3228,0,3229,0,3226,55,3228,20,3228,0,3229,0,3230,0,,
3127,100,3127,1,3324,1012692,3326,81,3326,1649062,3327,320000,3328,0,3329,61,3331,28,3323,2265600,3324,1267200,3325,0,3326,0,3324,90,3325,12,3325,0,3326,0,3326,0,,
3230,100,3231,1,3424,1013400,3426,81,3426,1971591,3427,320000,3427,0,3428,75,3430,30,3423,2265600,3425,1267200,3425,0,3426,0,3424,100,3425,50,3426,0,3426,0,3426,0,,
3327,100,3327,1,3526,1013648,3530,81,3531,1899343,3532,320000,3532,0,3534,52,3538,19,3523,2265600,3527,2265600,3530,0,3530,0,3525,9,3528,100,3530,0,3530,0,3531,0,,
3426,100,3426,1,3625,1013896,3626,81,3627,2455562,3628,320000,3628,0,3629,73,3631,36,3624,2265600,3625,2265600,3626,0,3627,0,3624,44,3626,100,3626,0,3627,0,3627,0,,
3532,100,3532,1,3726,1014276,3728,81,3729,1898397,3730,320000,3730,0,3731,63,3734,30,3724,1267200,3726,2265600,3727,0,3729,0,3725,33,3727,100,3728,0,3729,0,3729,0,,
3627,100,3627,1,3825,1014400,3827,81,3828,2280750,3828,320000,3829,0,3829,68,3831,32,3824,2265600,3826,2265600,3826,0,3827,0,3825,33,3826,100,3827,0,3828,0,3828,0,,
3729,100,3729,1,3926,1016280,3929,81,3931,1695792,3932,320000,3932,0,3933,65,3936,28,3925,1267200,3927,2265600,3929,0,3930,0,3926,45,3928,84,3929,0,3930,0,3930,0,,
3828,100,3828,1,4027,1016924,4030,81,4030,611463,4031,320000,4032,0,4033,22,4041,8,4025,1267200,4027,2265600,4029,0,4030,0,4026,22,4029,22,4029,0,4030,0,3944,1,started,
