App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 09:12:03 AM","6 min 39 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
58,100,58,1,52,1595744,56,1,57,3007558,2662747,15,200000,17,39,19,54,35,11,50,2265600,53,2265600,54,0,57,0,51,100,54,88,56,0,57,0,57,0,,
154,100,154,1,152,1595964,153,1,154,1036951,692140,58,200000,60,39,61,100,67,42,150,2265600,152,1958400,153,0,154,0,152,40,153,33,153,0,154,0,154,0,,
255,100,256,1,252,1596428,254,1,255,891033,546222,155,200000,155,39,156,36,158,14,251,2265600,252,1958400,253,0,254,0,252,25,253,41,254,0,255,0,255,0,,
356,100,356,1,352,1596900,355,1,355,417168,72357,256,200000,257,39,257,33,260,14,351,2265600,353,2265600,354,0,355,0,352,25,354,0,354,0,355,0,355,0,,
455,100,455,1,453,1597392,454,1,455,544760,199949,357,200000,357,40,358,14,360,6,451,2265600,453,2265600,454,0,454,0,452,0,454,33,454,0,455,0,455,0,,
555,100,555,1,553,1597764,554,1,555,894384,549573,455,200000,455,40,457,18,459,7,551,2265600,553,2265600,554,0,555,0,552,33,554,22,554,0,555,0,555,0,,
656,100,656,1,653,1598120,655,1,655,1450602,1105791,555,200000,556,40,557,29,559,14,652,2265600,653,2265600,654,0,655,0,653,50,654,40,654,0,655,0,655,0,,
755,100,756,1,753,1598368,755,1,755,767248,422437,657,200000,657,40,658,45,661,22,752,2265600,754,2265600,754,0,755,0,753,25,754,22,755,0,755,0,755,0,,
856,100,856,1,854,1598616,855,1,856,973843,629032,756,200000,756,40,757,23,760,11,852,2265600,854,2265600,855,0,856,0,853,40,855,20,855,0,856,0,856,0,,
960,100,960,1,955,1598860,959,1,960,110710,0,857,200000,857,40,858,28,860,14,953,1267200,955,422400,958,0,959,0,954,20,956,30,959,0,960,0,960,0,,
1058,100,1059,1,1055,1599108,1057,1,1058,1009687,664876,961,200000,962,40,963,33,974,10,1053,1267200,1055,2265600,1056,0,1058,0,1054,60,1056,46,1057,0,1058,0,1058,0,,
1173,100,1173,1,1157,1599356,1163,1,1173,182637,0,1059,200000,1059,40,1060,47,1064,17,1154,960000,1158,960000,1162,0,1170,0,1156,54,1162,20,1163,0,1171,0,1171,0,,
1266,100,1267,1,1257,1599728,1263,1,1266,307661,0,1173,200000,1176,40,1177,45,1190,11,1254,960000,1258,960000,1262,0,1264,0,1256,81,1261,50,1262,0,1265,0,1265,0,,
1362,100,1363,1,1357,1600096,1361,1,1362,311591,0,1269,200000,1272,39,1274,68,1279,13,1355,960000,1358,960000,1360,0,1362,0,1357,72,1360,61,1361,0,1362,0,1362,0,,
1492,100,1492,1,1478,1600460,1490,1,1492,152361,0,1363,200000,1364,39,1366,65,1372,13,1467,300000,1479,960000,1488,0,1490,0,1477,41,1480,61,1489,0,1491,0,1491,0,,
1560,100,1560,1,1557,1599404,1559,1,1559,2689719,2344908,1493,200000,1494,39,1496,57,1507,11,1555,2265600,1557,2265600,1558,0,1559,0,1556,80,1558,88,1558,0,1559,0,1559,0,,
1659,100,1659,1,1657,1599404,1659,1,1659,1291226,946415,1560,200000,1561,39,1561,81,1564,34,1656,2265600,1657,2265600,1658,0,1659,0,1657,50,1658,30,1659,0,1659,0,1659,0,,
1763,100,1763,1,1759,1599404,1762,1,1763,492820,148009,1660,200000,1660,39,1661,35,1663,18,1756,2265600,1759,960000,1761,0,1762,0,1758,27,1761,20,1762,0,1763,0,1763,0,,
1860,100,1860,1,1858,1599404,1859,1,1860,1195874,851063,1764,200000,1764,39,1766,27,1773,10,1856,2265600,1858,2265600,1859,0,1860,0,1857,30,1859,44,1859,0,1860,0,1860,0,,
1973,100,1974,1,1961,1599492,1969,1,1973,73252,0,1860,200000,1861,39,1861,38,1863,18,1957,960000,1962,422400,1966,0,1970,0,1960,22,1965,36,1968,0,1971,0,1972,0,,
2068,100,2068,1,2060,1599492,2063,1,2068,296237,0,1975,200000,1977,39,1980,33,1987,13,2057,960000,2060,960000,2062,0,2064,0,2059,57,2062,69,2063,0,2064,0,2066,0,,
2161,100,2161,1,2159,1599492,2161,1,2161,828785,483974,2071,200000,2072,39,2077,65,2085,12,2158,960000,2159,2265600,2160,0,2161,0,2159,50,2160,44,2160,0,2161,0,2161,0,,
2262,100,2262,1,2259,1599616,2261,1,2262,448454,103643,2162,200000,2162,39,2163,47,2165,16,2258,960000,2260,2265600,2261,0,2261,0,2259,36,2260,22,2261,0,2261,0,2262,0,,
2362,100,2362,1,2360,1600336,2361,1,2362,1762603,1417792,2262,200000,2263,39,2264,30,2267,9,2358,960000,2360,2265600,2361,0,2362,0,2359,70,2361,100,2361,0,2362,0,2362,0,,
2462,100,2462,1,2460,1600788,2462,1,2462,2166197,1821386,2362,200000,2363,41,2364,85,2366,28,2459,2265600,2460,2265600,2461,0,2462,0,2460,55,2461,80,2461,0,2462,0,2462,0,,
2562,100,2563,1,2560,1601136,2562,1,2562,1706488,1361677,2462,200000,2463,41,2463,68,2465,32,2559,960000,2560,2265600,2561,0,2562,0,2560,44,2561,100,2562,0,2562,0,2562,0,,
2663,100,2663,1,2661,1601384,2662,1,2663,1706488,1361677,2563,200000,2563,41,2564,72,2566,31,2659,960000,2661,2265600,2662,0,2662,0,2660,44,2661,100,2662,0,2663,0,2663,0,,
