App,Package,Start Time,Duration,Filename
"System",,"Jan 31, 2019 @ 05:35:09 AM","6 min 32 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
10,100,10,1,2,970992,9,91,10,966457,10,320000,14,0,15,27,15,0,0,2265600,4,2265600,6,0,10,0,1,17,5,32,6,0,10,0,10,0,,
38,100,38,1,140,976396,142,91,142,1864230,143,320000,143,0,144,69,146,0,139,2265600,141,1574400,141,0,142,0,140,76,141,66,142,0,142,0,142,0,,
143,100,143,1,241,977012,246,91,248,265866,248,320000,249,0,249,15,254,6,239,2265600,241,1574400,242,0,247,0,240,0,242,11,243,0,247,0,248,0,,
248,100,248,1,341,974312,342,91,343,1061809,343,320000,344,0,344,18,346,9,340,2265600,341,2265600,342,0,342,0,340,33,342,22,342,0,343,0,343,0,,
343,100,343,1,441,974792,443,91,444,664509,446,320000,446,0,447,14,449,6,440,2265600,442,2265600,443,0,443,0,441,30,442,0,443,0,444,0,444,0,,
444,100,444,1,541,974916,543,91,543,505590,544,320000,544,0,545,11,547,5,540,2265600,542,2265600,543,0,543,0,541,20,542,0,543,0,543,0,543,0,,
544,100,544,1,642,975280,643,91,644,712185,644,320000,645,0,645,16,648,8,640,2265600,642,2265600,643,0,644,0,641,33,643,0,643,0,644,0,644,0,,
644,100,644,1,742,975696,744,91,745,1300188,746,320000,748,0,749,39,751,16,741,2265600,742,2265600,743,0,744,0,741,20,743,50,743,0,745,0,745,0,,
745,100,745,1,842,975944,844,91,844,1236620,845,320000,845,0,845,28,848,14,841,2265600,842,2265600,843,0,844,0,842,36,843,30,843,0,844,0,844,0,,
844,100,844,1,944,976192,946,91,947,263810,948,320000,949,0,949,15,952,7,941,1497600,945,2265600,946,0,947,0,942,12,946,0,946,0,947,0,947,0,,
947,100,947,1,1043,976440,1044,91,1045,934673,1045,320000,1045,0,1046,15,1048,7,1041,2265600,1043,2265600,1044,0,1044,0,1042,27,1044,20,1044,0,1045,0,1045,0,,
1045,100,1045,1,1150,983816,1153,91,1154,1091001,1155,320000,1155,0,1156,43,1158,18,1147,1267200,1150,2265600,1152,0,1153,0,1149,40,1152,46,1153,0,1154,0,1154,0,,
1154,100,1154,1,1244,983616,1246,91,1247,3241283,1248,320000,1248,0,1249,53,1252,31,1242,2265600,1244,2265600,1245,2265600,1246,960000,1243,66,1244,55,1245,63,1247,59,1247,0,,
1247,100,1248,1,1344,987784,1346,91,1348,638876,1349,320000,1349,0,1350,10,1354,10,1342,1958400,1344,1497600,1345,2265600,1347,960000,1344,33,1345,11,1346,0,1347,0,1348,0,,
1348,100,1348,1,1444,992168,1447,91,1449,1957910,1449,320000,1450,0,1450,33,1455,22,1443,1958400,1445,1497600,1446,2265600,1447,2265600,1444,22,1445,11,1447,10,1448,81,1448,0,,
1449,100,1449,1,1549,992552,1554,91,1561,1361165,1563,320000,1564,0,1566,55,1582,26,1544,1267200,1549,2265600,1553,0,1557,0,1546,40,1550,63,1553,0,1559,0,1559,0,,
1561,100,1561,1,1645,1000636,1647,88,1648,2787843,1649,320000,1649,0,1650,66,1659,37,1644,2265600,1645,2265600,1646,2265600,1647,0,1644,76,1646,88,1647,0,1648,0,1648,0,,
1648,100,1648,1,1746,1001032,1749,87,1750,837719,1752,320000,1752,0,1753,20,1758,13,1744,1267200,1746,2265600,1747,960000,1750,0,1745,20,1747,36,1749,0,1750,0,1750,0,,
1751,100,1751,1,1848,1001032,1850,87,1851,1689234,1851,320000,1852,0,1852,31,1855,20,1846,2265600,1848,2265600,1849,2265600,1851,0,1848,40,1849,55,1850,0,1851,0,1851,0,,
1851,100,1851,1,1947,1000920,1951,87,1952,365580,1953,320000,1954,0,1955,7,1959,4,1945,1267200,1948,2265600,1950,0,1951,0,1946,10,1949,9,1950,0,1952,0,1952,0,,
1952,100,1953,1,2047,1000912,2050,87,2051,662907,2052,320000,2053,0,2054,21,2057,7,2045,1267200,2048,2265600,2049,0,2050,0,2046,20,2049,25,2050,0,2051,0,2051,0,,
2051,100,2052,1,2147,1001036,2151,87,2152,321579,2153,320000,2154,0,2155,16,2159,5,2145,1267200,2147,2265600,2150,0,2151,0,2146,33,2149,0,2150,0,2152,0,2152,0,,
2153,100,2153,1,2247,1001160,2249,87,2250,831068,2250,320000,2251,0,2252,23,2255,10,2246,2265600,2247,2265600,2249,0,2249,0,2246,30,2248,11,2249,0,2250,0,2250,0,,
2250,100,2250,1,2349,1001160,2352,87,2354,463661,2355,320000,2355,0,2357,33,2360,10,2346,1267200,2350,1267200,2351,0,2353,0,2348,33,2351,33,2352,0,2353,0,2353,0,,
