App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 02:43:24 AM","8 min 14 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
10,46,10,1,6,1527824,9,1,10,418605,10,200000,10,41,11,35,22,3,0,960000,7,2265600,8,0,9,0,1,45,8,20,9,0,10,0,10,0,,
41,46,41,1,151,1528560,154,1,155,1010593,156,200000,157,41,158,48,161,17,149,960000,151,2265600,152,960000,154,0,150,61,152,50,153,28,155,0,155,0,,
155,46,156,1,251,1529172,254,1,255,1064229,256,200000,257,36,258,34,262,18,250,2265600,252,2265600,253,960000,255,0,251,33,253,27,254,41,255,0,255,0,,
256,46,256,1,354,1526452,358,1,359,834668,360,200000,361,36,362,42,366,22,351,2265600,354,1036800,356,0,358,0,353,44,355,44,357,0,359,0,359,0,,
360,46,360,1,454,1526452,457,1,459,940233,460,200000,460,36,461,30,463,11,452,2265600,454,2265600,455,0,457,0,453,22,455,36,455,0,459,0,459,0,,
459,46,459,1,554,1526696,556,1,557,1018244,557,200000,560,36,561,38,564,19,552,2265600,554,1958400,556,0,556,0,554,36,555,37,556,0,556,0,556,0,,
557,46,557,1,654,1527096,656,1,657,871032,657,200000,657,36,658,35,662,17,653,2265600,655,1190400,656,0,656,0,654,45,655,37,656,0,656,0,656,0,,
657,46,657,1,755,1527032,757,1,758,1192351,759,200000,760,36,761,57,764,21,753,2265600,755,960000,756,0,757,0,754,70,756,28,756,0,758,0,758,0,,
758,46,758,1,856,1527280,859,1,862,931541,863,200000,864,36,865,50,870,17,853,2265600,856,960000,858,0,859,0,855,50,857,54,858,0,860,0,861,0,,
862,46,862,1,957,1527500,960,1,961,992915,963,200000,963,36,965,50,969,17,954,2265600,958,960000,959,0,960,0,957,54,959,53,960,0,961,0,961,0,,
962,46,962,1,1055,1527500,1058,1,1059,645444,1060,200000,1060,36,1061,36,1068,14,1054,2265600,1056,960000,1058,0,1059,0,1055,36,1057,25,1058,0,1059,0,1059,0,,
1059,46,1060,1,1156,1527872,1158,1,1159,933042,1160,200000,1160,36,1161,40,1164,17,1154,2265600,1156,1728000,1157,0,1158,0,1155,30,1157,50,1158,0,1159,0,1159,0,,
1159,46,1159,1,1256,1528240,1257,1,1259,781892,1260,200000,1260,39,1261,38,1263,15,1255,2265600,1256,960000,1257,0,1258,0,1256,45,1257,22,1257,0,1258,0,1258,0,,
1259,46,1259,1,1356,1528488,1358,1,1358,828785,1359,200000,1359,39,1360,44,1363,15,1355,2265600,1356,960000,1357,0,1358,0,1356,44,1357,50,1358,0,1358,0,1358,0,,
