App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 11:30:13 AM","7 min 43 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
45,100,45,1,53,1394232,58,1,45,344,0,45,320000,46,0,46,73,52,4,52,2265600,54,0,58,0,58,0,53,100,57,0,58,0,44,0,44,0,,
59,100,59,1,142,1394528,143,1,59,1591259,1365584,60,320000,60,0,61,100,65,25,140,2265600,142,0,142,0,143,0,141,57,142,0,142,0,59,0,59,0,,
143,100,143,1,242,1394824,244,1,143,907905,682230,144,320000,145,0,146,50,149,12,241,2265600,243,300000,244,0,244,0,242,40,243,16,244,0,143,0,143,0,,
245,100,245,1,343,1395164,345,1,245,637232,411557,245,320000,246,0,246,30,250,10,341,2265600,343,300000,344,0,345,0,342,37,344,0,344,0,245,0,245,0,,
345,100,345,1,443,1395904,444,1,345,590065,364390,346,320000,346,0,347,16,351,9,441,2265600,443,960000,444,0,445,0,442,40,444,18,444,0,345,0,345,0,,
445,100,445,1,543,1396524,545,1,445,677222,451547,445,320000,446,0,446,28,449,11,542,2265600,543,960000,544,0,545,0,543,11,544,33,545,0,445,0,445,0,,
546,100,546,1,643,1396892,645,1,546,249256,23581,547,320000,547,0,548,25,551,8,642,2265600,643,2265600,644,0,645,0,643,27,644,30,644,0,546,0,546,0,,
645,100,645,1,744,1397252,745,1,645,907905,682230,646,320000,646,0,646,26,649,12,742,2265600,744,2265600,745,0,745,0,743,12,744,45,745,0,645,0,645,0,,
746,100,746,1,844,1397500,846,1,746,907905,682230,746,320000,746,0,747,31,749,14,843,1267200,845,2265600,846,0,847,0,844,20,846,25,846,0,745,0,745,0,,
847,100,847,1,945,1397748,948,1,847,485472,259797,848,320000,848,0,849,25,853,10,943,960000,945,2265600,947,0,949,0,944,11,947,0,947,0,847,0,847,0,,
951,100,951,1,1044,1397992,1046,1,950,26190,0,951,320000,953,0,955,5,963,1,1043,2265600,1045,2265600,1045,0,1046,0,1044,44,1045,18,1046,0,950,0,950,0,,
1047,100,1047,1,1145,1398296,1147,1,1046,987364,761689,1047,320000,1048,0,1049,30,1051,14,1143,2265600,1145,2265600,1146,0,1147,0,1144,27,1146,0,1146,0,1046,0,1046,0,,
1148,100,1148,1,1245,1398544,1247,1,1147,431146,205471,1148,320000,1148,0,1149,19,1152,9,1244,2265600,1245,960000,1246,0,1247,0,1245,36,1246,25,1247,0,1147,0,1147,0,,
1247,100,1247,1,1345,1397988,1347,1,1247,629008,403333,1249,320000,1249,0,1250,27,1262,10,1344,2265600,1345,2265600,1346,0,1347,0,1345,100,1346,44,1347,0,1247,0,1247,0,,
1347,100,1347,1,1446,1397988,1448,1,1347,2290506,2064831,1349,320000,1350,0,1352,75,1357,35,1444,2265600,1446,2265600,1447,0,1448,0,1445,36,1447,20,1448,0,1347,0,1347,0,,
