App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 12:05:53 PM","7 min 43 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
101,100,101,1,89,1422292,100,1,101,464370,260409,102,320000,102,0,103,47,105,7,24,1958400,99,0,99,0,100,0,87,40,99,0,100,0,101,0,101,0,,
132,100,132,1,130,1422408,131,1,132,1157832,953871,133,320000,134,0,134,100,136,21,124,1958400,130,0,131,0,132,0,127,100,130,0,131,0,132,0,132,0,,
229,100,229,1,226,1422844,228,1,229,429697,225736,230,320000,230,0,231,28,235,6,224,1958400,226,0,227,0,228,0,226,37,227,0,228,0,229,0,229,0,,
331,100,332,1,326,1423212,329,1,331,470491,266530,332,320000,333,0,334,31,339,9,325,1958400,327,652800,328,0,329,0,326,40,328,8,328,0,330,0,331,0,,
431,100,431,1,427,1423684,429,1,431,488498,284537,432,320000,432,0,434,26,437,9,425,1958400,427,960000,429,0,430,0,426,40,428,11,429,0,430,0,431,0,,
529,100,529,1,527,1424612,528,1,529,787986,584025,529,320000,530,0,531,31,534,12,525,1958400,527,1958400,528,0,529,0,526,38,528,30,528,0,529,0,529,0,,
635,100,636,1,627,1425108,634,1,635,360351,156390,636,320000,637,0,637,22,640,9,625,1958400,627,1958400,633,0,635,0,627,11,630,20,634,0,635,0,635,0,,
730,100,730,1,727,1425464,729,1,730,857332,653371,731,320000,731,0,732,29,735,14,726,1958400,727,1958400,728,0,729,0,727,30,728,44,729,0,730,0,730,0,,
831,100,831,1,828,1425588,830,1,831,637736,433775,832,320000,832,0,833,33,836,12,826,1958400,828,1958400,829,0,830,0,827,45,829,10,830,0,831,0,831,0,,
931,100,931,1,928,1425956,930,1,931,753313,549352,932,320000,932,0,933,30,937,12,926,1958400,928,1958400,929,0,930,0,927,55,929,10,930,0,931,0,931,0,,
1035,100,1035,1,1030,1426204,1033,1,1034,153325,0,1036,320000,1036,0,1037,11,1041,3,1027,1958400,1030,960000,1032,0,1033,0,1029,11,1031,11,1032,0,1034,0,1034,0,,
1131,100,1131,1,1128,1426496,1130,1,1131,431316,227355,1131,320000,1132,0,1132,27,1135,10,1127,883200,1129,1958400,1130,0,1130,0,1128,27,1129,33,1130,0,1131,0,1131,0,,
1231,100,1231,1,1229,1426620,1230,1,1231,408015,204054,1232,320000,1232,0,1233,28,1235,8,1227,960000,1229,1958400,1230,0,1231,0,1228,27,1230,30,1230,0,1231,0,1231,0,,
1336,100,1336,1,1331,1426992,1334,1,1336,153325,0,1337,320000,1338,0,1340,15,1345,2,1329,960000,1331,1958400,1333,0,1335,0,1330,11,1332,11,1334,0,1335,0,1336,0,,
1435,100,1436,1,1431,1427364,1434,1,1435,137586,0,1436,320000,1437,0,1439,21,1442,5,1429,960000,1432,1497600,1434,0,1435,0,1430,30,1433,11,1434,0,1435,0,1435,0,,
1538,100,1539,1,1531,1427552,1535,1,1538,483942,279981,1539,320000,1540,0,1542,35,1546,8,1529,960000,1532,1958400,1534,0,1536,0,1531,30,1534,36,1534,0,1537,0,1538,0,,
1639,100,1639,1,1632,1427800,1638,1,1639,305599,101638,1640,320000,1640,0,1641,27,1644,8,1630,960000,1633,1958400,1637,0,1638,0,1631,33,1634,20,1638,0,1639,0,1639,0,,
1739,100,1740,1,1733,1428140,1737,1,1739,170955,0,1740,320000,1741,0,1743,33,1747,9,1730,960000,1734,960000,1736,0,1738,0,1732,50,1736,27,1737,0,1739,0,1739,0,,
1857,100,1857,1,1845,1428388,1856,1,1857,77622,0,1858,320000,1858,0,1859,43,1863,7,1831,960000,1847,300000,1853,0,1856,0,1837,35,1851,38,1855,0,1856,0,1857,0,,
