App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 12:14:38 PM","7 min 40 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
23,100,23,1,21,1424348,22,1,23,1591259,1247811,24,320000,24,0,25,100,0,5,20,2265600,21,0,22,0,22,0,21,100,22,0,22,0,22,0,22,0,,
128,100,128,1,122,1424636,124,1,128,478821,135373,129,320000,129,0,131,36,27,25,120,2265600,122,0,123,0,124,0,121,30,123,0,123,0,127,0,127,0,,
227,100,227,1,223,1425400,226,1,227,884397,540949,227,320000,228,0,229,47,133,7,221,2265600,223,960000,225,0,226,0,222,50,225,40,226,0,226,0,227,0,,
328,100,328,1,323,1426060,326,1,327,502949,159501,328,320000,329,0,330,16,231,12,321,2265600,324,960000,326,0,327,0,323,30,325,11,326,0,327,0,327,0,,
427,100,427,1,423,1426348,426,1,427,198808,0,428,320000,429,0,430,15,333,7,422,2265600,424,960000,425,0,426,0,423,11,425,10,426,0,427,0,427,0,,
527,100,527,1,523,1427052,526,1,527,258568,0,527,320000,528,0,529,22,432,4,521,2265600,523,960000,525,0,526,0,523,12,524,30,525,0,526,0,526,0,,
626,100,627,1,623,1427300,625,1,626,681609,338161,627,320000,628,0,628,25,531,6,622,2265600,623,960000,624,0,625,0,622,40,624,20,624,0,626,0,626,0,,
727,100,727,1,724,1427548,726,1,727,955580,612132,728,320000,728,0,729,33,631,11,722,2265600,724,2265600,725,0,726,0,723,22,725,38,726,0,727,0,727,0,,
826,100,827,1,823,1427920,825,1,826,748985,405537,827,320000,827,0,828,27,731,13,822,2265600,824,2265600,825,0,825,0,823,22,824,25,825,0,826,0,826,0,,
926,100,926,1,924,1428168,926,1,926,780769,437321,927,320000,927,0,928,21,830,13,922,2265600,924,2265600,925,0,926,0,923,27,925,22,925,0,926,0,926,0,,
1030,100,1030,1,1024,1428292,1028,1,1030,224365,0,1031,320000,1032,0,1033,10,930,9,1023,2265600,1025,1497600,1027,0,1029,0,1024,10,1027,10,1028,0,1029,0,1029,0,,
1131,100,1131,1,1125,1428664,1129,1,1130,280948,0,1131,320000,1132,0,1133,22,1037,5,1123,1497600,1126,1497600,1128,0,1129,0,1124,33,1127,11,1128,0,1129,0,1130,0,,
1229,100,1229,1,1225,1427940,1227,1,1229,1193036,849588,1230,320000,1230,0,1231,52,1137,7,1223,1497600,1225,2265600,1227,0,1228,0,1224,50,1226,55,1227,0,1228,0,1228,0,,
1332,100,1332,1,1326,1428056,1330,1,1332,303640,0,1333,320000,1334,0,1335,15,1235,20,1324,1497600,1327,2265600,1329,0,1331,0,1325,20,1329,11,1330,0,1331,0,1331,0,,
1431,100,1431,1,1427,1428056,1430,1,1431,129280,0,1431,320000,1432,0,1433,30,1339,6,1424,960000,1427,2265600,1429,0,1430,0,1426,58,1429,0,1429,0,1430,0,1431,0,,
1541,100,1541,1,1530,1427996,1535,1,1540,40493,0,1543,320000,1547,0,1551,37,1436,5,1526,300000,1531,960000,1533,0,1537,0,1529,33,1533,18,1534,0,1538,0,1539,0,,
1631,100,1631,1,1627,1427996,1630,1,1631,1495907,1152459,1631,320000,1632,0,1632,35,1561,6,1626,2265600,1628,2265600,1629,0,1630,0,1627,54,1628,40,1629,0,1630,0,1630,0,,
1730,100,1730,1,1727,1428120,1729,1,1730,653633,310185,1731,320000,1731,0,1732,21,1635,15,1726,2265600,1728,2265600,1729,0,1729,0,1727,30,1728,11,1729,0,1730,0,1730,0,,
1831,100,1831,1,1828,1428120,1830,1,1830,574173,230725,1831,320000,1832,0,1832,20,1734,10,1826,2265600,1828,2265600,1829,0,1830,0,1827,0,1829,36,1829,0,1830,0,1830,0,,
1932,100,1932,1,1928,1428244,1931,1,1931,2063,0,1932,320000,1933,0,1934,0,1834,5,1926,2265600,1929,2265600,1930,0,1931,0,1928,0,1929,0,1930,0,1931,0,1931,0,,
