App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 11:57:10 AM","7 min 41 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
108,100,109,1,100,1395292,102,1,108,46435,0,109,320000,110,0,111,56,112,5,27,652800,101,0,101,0,102,0,98,58,101,0,102,0,108,0,108,0,,
130,100,130,1,128,1395540,129,1,130,1591259,1321593,130,320000,132,0,132,100,134,25,127,2265600,129,0,129,0,130,0,128,100,129,0,129,0,130,0,130,0,,
232,100,232,1,229,1395696,231,1,232,637741,368075,232,320000,233,0,235,40,237,10,228,2265600,230,0,231,0,231,0,229,40,231,0,231,0,232,0,232,0,,
338,100,339,1,331,1396316,338,1,338,574173,304507,339,320000,339,0,340,22,342,6,330,2265600,332,2265600,333,0,338,0,331,25,332,11,334,0,338,0,338,0,,
436,100,436,1,432,1396936,434,1,435,1098608,828942,437,320000,438,0,438,31,441,13,430,2265600,432,2265600,434,0,435,0,431,33,433,36,434,0,435,0,435,0,,
534,100,534,1,532,1397608,534,1,534,892013,622347,535,320000,535,0,536,28,538,14,530,2265600,532,2265600,533,0,534,0,532,36,533,20,534,0,534,0,534,0,,
634,100,634,1,632,1398048,634,1,634,526497,256831,635,320000,635,0,636,16,638,8,631,2265600,632,2265600,633,0,634,0,632,11,633,22,633,0,634,0,634,0,,
736,100,736,1,733,1398296,735,1,736,748985,479319,736,320000,737,0,738,21,743,10,731,2265600,733,2265600,734,0,735,0,732,37,734,10,734,0,735,0,736,0,,
835,100,835,1,832,1398200,834,1,835,869043,599377,835,320000,835,0,836,45,838,20,831,2265600,833,960000,834,0,834,0,832,50,833,33,834,0,834,0,834,0,,
935,100,935,1,933,1398324,935,1,935,955580,685914,936,320000,936,0,938,30,940,11,932,2265600,933,2265600,934,0,935,0,933,30,934,30,935,0,935,0,935,0,,
1036,100,1036,1,1033,1398380,1035,1,1036,757651,487985,1037,320000,1037,0,1038,26,1040,13,1032,1958400,1033,2265600,1034,0,1035,0,1033,20,1034,33,1035,0,1035,0,1035,0,,
1138,100,1138,1,1134,1398504,1137,1,1138,2063,0,1139,320000,1139,0,1140,0,1145,4,1132,1958400,1135,2265600,1136,0,1137,0,1133,0,1136,0,1136,0,1137,0,1138,0,,
1240,100,1241,1,1235,1398504,1239,1,1240,618041,348375,1242,320000,1242,0,1244,30,1247,8,1233,960000,1236,2265600,1238,0,1239,0,1234,20,1237,36,1238,0,1240,0,1240,0,,
1342,100,1342,1,1336,1398504,1340,1,1341,109539,0,1343,320000,1344,0,1345,28,1350,7,1333,960000,1337,960000,1339,0,1340,0,1335,40,1338,9,1339,0,1341,0,1341,0,,
1439,100,1440,1,1436,1398628,1438,1,1439,926031,656365,1440,320000,1441,0,1442,38,1445,13,1433,2265600,1436,960000,1438,0,1439,0,1435,54,1437,30,1438,0,1439,0,1439,0,,
1555,100,1556,1,1537,1398628,1545,1,1552,26846,0,1558,320000,1561,0,1564,32,1567,7,1534,422400,1538,960000,1540,0,1546,0,1536,20,1540,10,1543,0,1550,0,1552,0,,
1638,100,1638,1,1636,1398628,1637,1,1638,1384664,1114998,1638,320000,1639,0,1639,21,1642,9,1634,2265600,1636,2265600,1637,0,1637,0,1635,54,1637,33,1637,0,1638,0,1638,0,,
1743,100,1743,1,1737,1398628,1741,1,1742,327599,57933,1743,320000,1744,0,1746,26,1751,9,1735,2265600,1738,960000,1740,0,1741,0,1736,18,1739,18,1740,0,1742,0,1742,0,,
1844,100,1844,1,1838,1398628,1841,1,1843,274109,4443,1845,320000,1846,0,1847,23,1851,8,1835,1497600,1839,960000,1840,0,1842,0,1837,36,1840,20,1841,0,1842,0,1843,0,,
1963,100,1964,1,1947,1398628,1958,1,1963,6853,0,1964,320000,1965,0,1967,47,1972,6,1937,300000,1950,422400,1955,0,1959,0,1941,33,1953,41,1957,0,1961,0,1963,0,,
2043,100,2043,1,2038,1398584,2042,1,2042,941385,671719,2043,320000,2044,0,2045,35,2049,12,2036,2265600,2039,960000,2040,0,2042,0,2038,54,2040,37,2041,0,2042,0,2042,0,,
2145,100,2146,1,2139,1398584,2143,1,2145,41544,0,2146,320000,2147,0,2149,10,2152,3,2137,2265600,2140,960000,2142,0,2144,0,2138,0,2141,18,2143,0,2145,0,2145,0,,
2244,100,2244,1,2240,1398584,2243,1,2244,570365,300699,2244,320000,2245,0,2246,22,2250,8,2238,2265600,2240,960000,2242,0,2243,0,2239,33,2241,20,2242,0,2243,0,2244,0,,
2345,100,2346,1,2340,1399268,2343,1,2345,986409,716743,2346,320000,2347,0,2347,52,2349,13,2338,300000,2340,2265600,2343,0,2345,0,2339,30,2341,62,2343,0,2345,0,2345,0,,
2442,100,2442,1,2440,1399708,2442,1,2442,2465317,2195651,2443,320000,2443,0,2444,78,2446,36,2439,2265600,2440,2265600,2441,0,2442,0,2440,55,2441,100,2441,0,2442,0,2442,0,,
2547,100,2547,1,2542,1400200,2545,1,2547,1750179,1480513,2547,320000,2548,0,2549,55,2555,29,2539,2265600,2542,2265600,2545,0,2545,0,2541,100,2544,10,2545,0,2546,0,2546,0,,
