App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 09:18:59 AM","6 min 30 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
26,100,26,1,16,1451816,24,1,26,2063,0,26,320000,36,0,36,43,38,8,61,2265600,22,0,23,0,25,0,62,100,23,0,23,0,25,0,26,0,,
69,100,69,1,67,1452056,68,1,69,1591259,1341559,69,320000,69,0,70,100,71,25,162,2265600,68,0,68,0,68,0,163,38,68,0,68,0,69,0,69,0,,
167,100,167,1,164,1452356,166,1,167,605957,356257,168,320000,169,0,170,38,172,9,262,2265600,165,0,165,0,166,0,264,44,165,0,166,0,166,0,167,0,,
268,100,268,1,264,1452920,266,1,268,701086,451386,269,320000,269,0,270,28,273,11,363,2265600,265,300000,266,0,267,0,364,37,265,7,266,0,267,0,267,0,,
370,100,371,1,364,1453392,367,1,370,590065,340365,372,320000,372,0,373,17,377,9,463,2265600,365,300000,366,0,367,0,464,11,366,0,367,0,368,0,370,0,,
470,100,470,1,465,1453968,469,1,470,653633,403933,470,320000,471,0,472,25,478,8,563,2265600,465,2265600,467,0,469,0,564,55,466,30,468,0,469,0,469,0,,
566,100,566,1,564,1454424,566,1,566,1352880,1103180,567,320000,567,0,568,35,571,19,663,2265600,565,2265600,565,0,566,0,664,27,565,30,566,0,566,0,566,0,,
668,100,668,1,665,1454916,667,1,668,828445,578745,669,320000,669,0,670,28,672,11,763,2265600,665,2265600,666,0,667,0,764,45,666,25,667,0,667,0,668,0,,
767,100,767,1,765,1455160,766,1,767,1289312,1039612,767,320000,767,0,768,40,771,20,864,2265600,765,2265600,766,0,766,0,865,11,766,36,766,0,767,0,767,0,,
868,100,869,1,865,1455284,867,1,868,748985,499285,869,320000,869,0,870,25,872,11,964,2265600,866,2265600,867,0,868,0,966,10,866,36,867,0,868,0,868,0,,
974,100,975,1,967,1455644,972,1,974,304010,54310,975,320000,976,0,978,5,983,6,1065,1190400,967,2265600,970,0,973,0,1066,22,970,9,972,0,974,0,974,0,,
1073,100,1073,1,1067,1455768,1071,1,1073,114465,0,1074,320000,1075,0,1076,22,1080,2,1165,1190400,1068,960000,1070,0,1072,0,1167,22,1070,14,1071,0,1072,0,1072,0,,
1174,100,1174,1,1167,1456012,1172,1,1174,401596,151896,1175,320000,1176,0,1177,22,1183,7,1265,960000,1169,2265600,1171,0,1173,0,1267,36,1170,20,1172,0,1173,0,1174,0,,
1273,100,1274,1,1267,1456436,1272,1,1273,510108,260408,1274,320000,1275,0,1276,30,1281,7,1366,960000,1268,2265600,1271,0,1272,0,1367,30,1270,27,1271,0,1273,0,1273,0,,
