App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 09:11:30 AM","6 min 28 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
20,100,20,1,45,1423088,46,1,47,1591259,1295882,21,320000,21,0,22,60,28,3,44,2265600,45,0,46,0,46,0,45,100,46,0,46,0,47,0,47,0,,
47,100,47,1,146,1423392,147,1,148,574173,278796,47,320000,47,0,48,100,50,25,144,2265600,146,0,146,0,147,0,145,36,146,0,147,0,147,0,148,0,,
148,100,148,1,246,1423640,249,1,250,715100,419723,149,320000,149,0,150,41,152,10,244,2265600,247,300000,248,0,249,0,246,45,248,66,249,0,250,0,250,0,,
250,100,250,1,347,1424004,349,1,350,385704,90327,251,320000,251,0,252,50,255,11,345,2265600,347,960000,348,0,349,0,346,20,348,30,349,0,350,0,350,0,,
350,100,350,1,446,1424544,448,1,448,780769,485392,351,320000,351,0,352,23,355,7,445,2265600,446,2265600,447,0,448,0,446,22,447,27,447,0,448,0,448,0,,
448,100,448,1,547,1424792,549,1,550,780769,485392,449,320000,450,0,450,30,452,12,545,2265600,547,2265600,548,0,549,0,546,27,548,22,548,0,549,0,550,0,,
550,100,550,1,647,1425028,648,1,649,876121,580744,550,320000,551,0,552,21,554,9,645,2265600,647,2265600,648,0,648,0,646,25,648,30,648,0,649,0,649,0,,
649,100,649,1,747,1425028,749,1,750,653633,358256,649,320000,650,0,651,26,653,13,746,2265600,747,2265600,749,0,750,0,747,30,748,11,749,0,750,0,750,0,,
750,100,751,1,847,1425148,850,1,850,176874,0,751,320000,751,0,752,22,754,10,846,2265600,848,2265600,849,0,850,0,847,11,848,0,849,0,850,0,850,0,,
851,100,851,1,948,1425320,950,1,951,160982,0,851,320000,851,0,852,5,854,2,946,2265600,948,2265600,949,0,950,0,947,10,949,0,950,0,950,0,951,0,,
951,100,951,1,1048,1425568,1050,1,1051,637741,342364,951,320000,952,0,952,5,955,2,1046,2265600,1048,2265600,1050,0,1051,0,1047,20,1049,20,1050,0,1051,0,1051,0,,
1051,100,1052,1,1148,1425916,1151,1,1153,276559,0,1052,320000,1052,0,1053,19,1055,9,1147,1958400,1149,2265600,1151,0,1152,0,1148,10,1150,10,1151,0,1152,0,1153,0,,
1153,100,1153,1,1250,1426164,1254,1,1256,67865,0,1154,320000,1155,0,1156,10,1160,4,1247,960000,1251,2265600,1253,0,1254,0,1249,30,1252,0,1254,0,1255,0,1256,0,,
1256,100,1256,1,1350,1426408,1353,1,1354,142194,0,1257,320000,1258,0,1260,15,1263,3,1348,960000,1351,883200,1352,0,1354,0,1349,55,1352,11,1353,0,1354,0,1354,0,,
1354,100,1355,1,1453,1426656,1458,1,1461,41544,0,1355,320000,1356,0,1357,31,1362,6,1448,960000,1454,883200,1456,0,1459,0,1451,18,1456,0,1457,0,1460,0,1460,0,,
1461,100,1461,1,1552,1426904,1556,1,1558,236757,0,1462,320000,1463,0,1464,18,1469,3,1549,960000,1552,960000,1555,0,1557,0,1551,80,1554,27,1556,0,1558,0,1558,0,,
1559,100,1559,1,1651,1427152,1655,1,1656,633395,338018,1560,320000,1561,0,1562,50,1566,8,1649,2265600,1652,960000,1654,0,1655,0,1651,36,1653,27,1654,0,1655,0,1656,0,,
1656,100,1657,1,1752,1427396,1756,1,1758,148713,0,1657,320000,1658,0,1659,25,1663,10,1750,1190400,1753,960000,1755,0,1757,0,1752,20,1755,33,1756,0,1757,0,1758,0,,
1758,100,1759,1,1852,1427768,1855,1,1856,557784,262407,1760,320000,1761,0,1762,33,1767,8,1850,2265600,1853,960000,1854,0,1855,0,1852,30,1854,36,1855,0,1856,0,1856,0,,
1856,100,1856,1,1954,1428032,1959,1,1960,85412,0,1856,320000,1857,0,1858,27,1862,8,1951,960000,1955,960000,1957,0,1959,0,1953,27,1957,11,1958,0,1960,0,1960,0,,
