App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 12:29:07 AM","6 min 56 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,39,0,1,52,1818680,54,1,55,582796,56,320000,56,0,57,30,62,1,50,2265600,52,1190400,53,0,54,0,51,30,53,28,54,0,55,0,55,0,,
55,39,55,1,152,1818836,153,1,154,319902,154,320000,155,0,155,10,160,3,150,2265600,152,2265600,153,0,153,0,151,0,153,20,153,0,154,0,154,0,,
154,39,154,1,252,1815580,253,1,255,329013,255,320000,255,0,256,17,259,8,250,1958400,252,1574400,253,0,254,0,251,16,253,20,253,0,254,0,254,0,,
255,39,255,1,352,1815648,354,1,354,341836,355,320000,355,0,357,15,359,6,351,2265600,352,960000,353,0,354,0,352,20,353,10,354,0,354,0,354,0,,
355,39,355,1,452,1815564,454,1,454,570365,455,320000,456,0,456,26,459,10,451,2265600,453,960000,453,0,454,0,452,33,453,20,454,0,454,0,454,0,,
455,39,455,1,553,1815664,555,1,555,708468,556,320000,556,0,557,35,559,13,551,2265600,553,960000,554,0,555,0,552,41,554,25,554,0,555,0,555,0,,
555,39,555,1,653,1815620,656,1,657,971469,657,320000,658,0,659,40,661,15,652,1958400,654,2265600,655,0,656,0,653,33,655,37,655,0,656,0,656,0,,
657,39,657,1,753,1815620,755,1,756,622810,756,320000,756,0,757,15,760,6,752,1728000,753,2265600,755,0,755,0,753,11,754,33,755,0,755,0,756,0,,
756,39,756,1,854,1815744,857,1,858,89619,858,320000,859,0,860,10,864,3,852,1728000,855,1497600,856,0,857,0,854,10,856,0,856,0,857,0,858,0,,
858,39,858,1,954,1815744,955,1,956,548431,956,320000,957,0,957,15,960,6,952,2265600,954,960000,955,0,955,0,953,33,955,10,955,0,956,0,956,0,,
956,39,956,1,1056,1815868,1061,1,1063,100005,1064,320000,1066,0,1067,25,1073,9,1053,1036800,1057,960000,1059,0,1061,0,1055,22,1059,18,1060,0,1062,0,1063,0,,
1063,39,1064,1,1155,1815868,1158,1,1159,256566,1160,320000,1160,0,1161,26,1165,2,1153,883200,1156,2265600,1157,0,1159,0,1155,36,1157,12,1158,0,1159,0,1159,0,,
1159,39,1160,1,1256,1815868,1259,1,1260,67865,1261,320000,1262,0,1263,15,1267,3,1254,960000,1257,1036800,1258,0,1260,0,1255,30,1258,0,1259,0,1260,0,1260,0,,
1260,39,1260,1,1355,1815988,1356,1,1357,526497,1357,320000,1358,0,1359,16,1361,7,1354,2265600,1355,1036800,1356,0,1357,0,1355,33,1356,0,1356,0,1357,0,1357,0,,
1357,39,1357,1,1455,1815988,1457,1,1457,399362,1458,320000,1458,0,1459,15,1461,6,1454,2265600,1455,960000,1456,0,1457,0,1455,25,1456,0,1457,0,1457,0,1457,0,,
