App,Package,Start Time,Duration,Filename
"System",,"Nov 21, 2019 @ 11:42:36 PM","6 min 40 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,38,0,1,41,1818348,42,1,43,844337,43,320000,44,0,44,29,46,2,39,2265600,41,2265600,42,0,43,0,40,35,42,18,42,0,43,0,43,0,,
43,38,43,1,141,1818348,143,1,144,26190,144,320000,144,0,145,5,148,1,140,2265600,141,960000,142,0,143,0,141,0,142,11,143,0,143,0,143,0,,
144,38,144,1,241,1815308,243,1,243,490368,244,320000,244,0,245,28,247,9,240,2265600,242,960000,242,0,243,0,241,27,242,27,243,0,243,0,243,0,,
244,38,244,1,342,1815748,344,1,344,319902,345,320000,345,0,346,11,348,5,340,2265600,342,960000,343,0,344,0,341,20,343,0,344,0,344,0,344,0,,
344,38,344,1,442,1815940,444,1,444,2063,445,320000,445,0,446,0,448,0,441,2265600,442,960000,443,0,444,0,442,0,443,0,444,0,444,0,444,0,,
444,38,444,1,542,1816292,545,1,545,796661,546,320000,547,0,547,26,551,6,541,2265600,543,2265600,544,0,545,0,542,0,544,50,544,0,545,0,545,0,,
546,38,546,1,642,1816416,644,1,644,1003256,645,320000,645,0,646,33,648,16,641,2265600,642,2265600,644,0,644,0,642,27,643,36,644,0,644,0,644,0,,
645,38,645,1,743,1816788,746,1,747,548543,748,320000,749,0,750,25,754,11,741,1497600,743,2265600,745,0,747,0,743,11,745,30,746,0,747,0,747,0,,
748,38,748,1,844,1816912,846,1,847,71784,848,320000,849,0,850,5,854,1,842,1497600,844,2265600,845,0,846,0,843,11,845,0,846,0,847,0,847,0,,
847,38,848,1,946,1817160,950,1,952,70058,954,320000,955,0,956,15,963,4,943,960000,946,960000,949,0,951,0,945,11,948,20,950,0,951,0,952,0,,
953,38,953,1,1044,1817408,1045,1,1046,796661,1046,320000,1046,0,1047,22,1051,11,1042,2265600,1044,2265600,1045,0,1045,0,1043,40,1045,10,1045,0,1046,0,1046,0,,
1046,38,1046,1,1144,1817656,1145,1,1146,319902,1146,320000,1147,0,1147,10,1150,4,1143,2265600,1144,2265600,1145,0,1146,0,1143,20,1145,0,1145,0,1146,0,1146,0,,
1146,38,1146,1,1244,1817780,1246,1,1246,319902,1247,320000,1247,0,1248,10,1250,5,1243,2265600,1244,2265600,1245,0,1246,0,1244,20,1245,0,1246,0,1246,0,1246,0,,
1246,38,1246,1,1345,1818148,1347,1,1348,860229,1348,320000,1349,0,1350,30,1352,11,1343,2265600,1345,2265600,1346,0,1347,0,1344,45,1346,9,1347,0,1347,0,1348,0,,
1348,38,1348,1,1446,1818272,1452,1,1453,478821,1453,320000,1454,0,1455,15,1457,7,1444,2265600,1448,960000,1450,0,1452,0,1445,30,1449,0,1450,0,1452,0,1452,0,,
1453,38,1453,1,1545,1818528,1547,1,1548,723243,1549,320000,1550,0,1550,26,1553,8,1544,2265600,1546,960000,1547,0,1548,0,1545,44,1547,10,1547,0,1548,0,1548,0,,
1548,38,1549,1,1646,1818776,1647,1,1648,574173,1648,320000,1649,0,1649,19,1652,8,1644,2265600,1646,2265600,1647,0,1648,0,1645,25,1647,11,1647,0,1648,0,1648,0,,
1648,38,1648,1,1746,1819024,1748,1,1748,182916,1749,320000,1749,0,1749,10,1752,4,1745,2265600,1746,960000,1747,0,1748,0,1746,10,1747,10,1747,0,1748,0,1748,0,,
1748,38,1748,1,1847,1819148,1849,1,1850,201002,1851,320000,1851,0,1852,15,1854,4,1845,2265600,1847,960000,1849,0,1849,0,1846,11,1848,11,1849,0,1850,0,1850,0,,
1850,38,1850,1,1948,1819396,1950,1,1951,454197,1952,320000,1952,0,1953,21,1957,5,1946,960000,1948,2265600,1950,0,1951,0,1947,25,1949,25,1950,0,1951,0,1951,0,,
