App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 01:14:57 AM","6 min 46 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
4,43,4,1,1,1375752,3,1,4,971472,4,320000,4,0,5,29,8,1,0,2265600,2,2265600,3,0,3,0,1,24,2,37,3,0,3,0,3,0,,
29,43,29,1,186,1376440,188,1,189,971472,189,320000,189,0,190,33,192,15,185,2265600,187,2265600,188,0,188,0,186,28,187,33,188,0,188,0,189,0,,
189,43,189,1,237,1376108,239,1,240,717201,240,320000,241,0,241,30,244,14,236,2265600,238,2265600,239,0,239,0,237,20,238,25,239,0,240,0,240,0,,
240,43,240,1,338,1373644,340,1,341,494713,341,320000,343,0,344,5,346,2,336,2265600,338,2265600,339,0,340,0,337,11,339,20,340,0,340,0,341,0,,
341,43,341,1,438,1374248,440,1,440,351686,441,320000,442,0,442,11,444,5,437,2265600,438,2265600,439,0,440,0,438,0,439,22,439,0,440,0,440,0,,
440,43,440,1,538,1374492,540,1,540,876121,541,320000,541,0,542,28,544,13,537,2265600,538,2265600,539,0,540,0,538,22,539,33,540,0,540,0,540,0,,
540,43,540,1,638,1375080,640,1,641,892013,641,320000,641,0,642,30,644,14,637,2265600,639,2265600,640,0,640,0,638,11,639,45,640,0,640,0,640,0,,
641,43,641,1,739,1375204,741,1,742,558281,743,320000,743,0,744,21,746,10,737,2265600,739,2265600,741,0,742,0,738,25,740,10,741,0,742,0,742,0,,
742,43,742,1,840,1375452,843,1,844,373620,845,320000,846,0,847,10,851,5,838,2265600,840,960000,842,0,843,0,839,22,841,10,842,0,844,0,844,0,,
845,43,845,1,941,1375644,944,1,946,565979,947,320000,948,0,949,26,953,10,938,2265600,941,960000,943,0,945,0,940,33,943,18,944,0,945,0,946,0,,
946,43,946,1,1042,1375768,1045,1,1047,134359,1048,320000,1055,0,1057,30,1061,6,1039,1190400,1042,960000,1044,0,1046,0,1041,12,1044,40,1045,0,1047,0,1047,0,,
1047,43,1048,1,1141,1375340,1143,1,1144,923878,1145,320000,1145,0,1146,57,1150,16,1139,960000,1141,2265600,1143,0,1144,0,1140,58,1142,50,1143,0,1144,0,1144,0,,
1144,43,1144,1,1241,1375340,1244,1,1245,26190,1246,320000,1246,0,1247,5,1252,1,1239,960000,1242,2265600,1243,0,1244,0,1241,11,1243,0,1244,0,1245,0,1245,0,,
1245,43,1245,1,1342,1375340,1344,1,1345,203195,1346,320000,1346,0,1347,12,1351,4,1340,960000,1342,2265600,1343,0,1344,0,1341,12,1343,11,1344,0,1345,0,1345,0,,
1345,43,1345,1,1443,1375340,1448,1,1451,52816,1452,320000,1453,0,1454,21,1456,7,1440,960000,1444,652800,1447,0,1449,0,1442,20,1446,9,1448,0,1450,0,1451,0,,
1452,43,1452,1,1542,1375436,1544,1,1545,987364,1546,320000,1546,0,1547,23,1549,8,1541,2265600,1542,2265600,1543,0,1544,0,1542,22,1543,40,1544,0,1545,0,1545,0,,
