App,Package,Start Time,Duration,Filename
"System",,"Jan 27, 2019 @ 07:25:19 AM","4 min 10 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
1,100,0,1,71,998492,73,1,74,628500,75,320000,75,0,76,28,77,0,68,1267200,71,2265600,72,0,73,0,70,20,72,34,72,0,74,0,74,0,,
74,100,74,1,119,998704,121,1,121,1988558,122,320000,122,0,123,60,125,0,118,2265600,119,2265600,120,0,121,0,119,75,120,50,121,0,121,0,121,0,,
121,100,122,1,221,996496,223,1,224,653633,224,320000,225,0,226,25,228,13,218,2265600,221,2265600,222,0,223,0,220,0,222,41,223,0,223,0,224,0,,
224,100,224,1,320,996592,321,1,322,478821,322,320000,323,0,323,15,326,5,318,2265600,320,2265600,321,0,321,0,319,10,321,20,321,0,322,0,322,0,,
322,100,322,1,420,997096,422,1,423,590065,424,320000,424,0,425,19,427,9,419,2265600,421,2265600,422,0,422,0,420,10,421,27,422,0,423,0,423,0,,
423,100,423,1,521,997468,524,1,525,1082716,526,320000,526,0,527,41,529,20,519,2265600,521,2265600,523,0,524,0,520,22,523,46,524,0,525,0,525,0,,
525,100,525,1,621,997700,622,1,623,873228,623,320000,624,0,624,23,627,11,619,1958400,621,2265600,622,0,623,0,620,30,622,33,622,0,623,0,623,0,,
623,100,623,1,721,998072,724,1,724,400805,725,320000,726,0,727,19,730,8,720,1958400,722,2265600,723,0,724,0,721,18,723,12,723,0,724,0,724,0,,
725,100,725,1,822,998320,825,1,826,56898,827,320000,828,0,829,11,833,3,820,960000,823,2265600,824,0,825,0,822,25,824,0,824,0,825,0,825,0,,
826,100,827,1,924,998568,933,1,939,87380,943,320000,946,0,952,17,963,3,921,960000,924,1497600,930,0,934,0,923,10,929,10,931,0,937,0,937,0,,
940,100,940,1,1026,998936,1028,1,1029,1607151,1029,320000,1030,0,1030,42,1032,18,1022,2265600,1026,2265600,1027,0,1028,0,1025,60,1027,41,1027,0,1028,0,1028,0,,
1029,100,1029,1,1124,999060,1126,1,1127,145090,1128,320000,1129,0,1129,11,1133,5,1122,2265600,1124,2265600,1126,0,1127,0,1123,9,1125,0,1126,0,1127,0,1127,0,,
1127,100,1127,1,1223,999448,1225,1,1226,309048,1227,320000,1228,0,1229,25,1232,9,1222,1190400,1224,1574400,1225,0,1226,0,1223,10,1225,38,1225,0,1226,0,1226,0,,
1227,100,1227,1,1330,999696,1332,1,1332,574173,1333,320000,1333,0,1334,16,1336,4,1324,300000,1330,2265600,1331,0,1332,0,1329,0,1331,36,1331,0,1332,0,1332,0,,
1332,100,1332,1,1424,999944,1426,1,1426,570365,1427,320000,1428,0,1429,28,1431,11,1423,960000,1424,2265600,1425,0,1426,0,1424,20,1425,33,1425,0,1426,0,1426,0,,
1427,100,1427,1,1528,1000192,1530,1,1531,319902,1531,320000,1532,0,1533,11,1535,3,1523,960000,1528,2265600,1529,0,1530,0,1525,0,1529,20,1530,0,1530,0,1531,0,,
1531,100,1531,1,1625,1000560,1628,1,1629,812553,1631,320000,1631,0,1632,23,1636,8,1623,2265600,1625,2265600,1627,0,1628,0,1624,41,1626,10,1627,0,1629,0,1629,0,,
1630,100,1630,1,1727,1001172,1731,1,1733,395554,1734,320000,1735,0,1756,28,1760,14,1724,2265600,1727,960000,1729,0,1731,0,1726,22,1729,20,1730,0,1732,0,1732,0,,
1733,100,1733,1,1826,1000476,1829,1,1830,298963,1831,320000,1832,0,1833,31,1837,3,1824,1497600,1827,960000,1828,0,1829,0,1826,33,1828,40,1829,0,1830,0,1830,0,,
1830,100,1831,1,1933,1000476,1942,1,1947,0,1949,320000,1951,0,1955,38,1966,7,1925,300000,1934,300000,1940,0,1944,0,1929,45,1938,25,1941,0,1945,0,1946,0,,
1947,100,1948,1,2030,1000476,2033,1,2035,734251,2036,320000,2037,0,2039,38,2043,9,2026,2265600,2030,960000,2033,0,2034,0,2028,40,2032,44,2033,0,2034,0,2035,0,,
2035,100,2035,1,2128,1000600,2131,1,2133,220742,2134,320000,2135,0,2136,11,2139,4,2126,2265600,2129,960000,2130,0,2132,0,2127,11,2130,20,2131,0,2132,0,2132,0,,
2133,100,2133,1,2233,1000532,2239,1,2241,184571,2244,320000,2245,0,2248,24,2257,7,2228,2265600,2234,960000,2238,0,2241,0,2231,9,2237,18,2239,0,2241,0,2241,0,,
2242,100,2242,1,2329,1000532,2334,1,2336,893171,2337,320000,2338,0,2339,47,2343,10,2327,960000,2330,2265600,2332,0,2335,0,2329,44,2332,50,2334,0,2335,0,2336,0,,
2336,100,2336,1,2429,1000532,2431,1,2432,262984,2433,320000,2434,0,2435,5,2439,2,2427,1267200,2429,2265600,2431,0,2432,0,2428,20,2430,11,2431,0,2432,0,2432,0,,
2433,100,2433,1,2529,1000532,2533,1,2535,96784,2536,320000,2537,0,2538,15,2541,4,2527,1267200,2530,1267200,2532,0,2534,0,2529,22,2531,0,2533,0,2535,0,2535,0,,
2535,100,2536,1,2630,1000656,2633,1,2634,92478,2636,320000,2636,0,2637,15,2641,4,2628,1267200,2630,1267200,2632,0,2633,0,2629,10,2631,11,2632,0,2634,0,2634,0,,
2634,100,2635,1,2729,1000656,2731,1,2732,621219,2733,320000,2733,0,2734,18,2737,6,2728,2265600,2730,1267200,2731,0,2732,0,2729,33,2731,22,2731,0,2732,0,2732,0,,
2732,100,2732,1,2830,1008068,2836,3,2837,242992,2838,320000,2839,0,2840,34,2843,12,2828,1267200,2831,1267200,2834,0,2837,0,2830,25,2834,30,2835,0,2837,0,2837,0,,
2837,100,2838,1,2930,1011036,2931,7,2932,2112181,2932,320000,2932,0,2933,58,2935,29,2928,2265600,2930,2265600,2931,0,2931,0,2929,66,2930,66,2931,0,2931,0,2932,0,,
2932,100,2932,1,3030,1015232,3031,11,3032,663378,3032,320000,3033,0,3033,31,3035,12,3029,1267200,3030,2265600,3031,0,3032,0,3030,27,3031,33,3031,0,3032,0,3032,0,,
3032,100,3032,1,3130,1018348,3132,15,3132,2319391,3133,320000,3134,0,3135,71,3137,32,3129,2265600,3131,2265600,3131,0,3132,0,3130,54,3131,90,3132,0,3132,0,3132,0,,
