App,Package,Start Time,Duration,Filename
"System",,"Nov 21, 2019 @ 10:53:30 PM","6 min 39 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
28,100,29,1,50,1392056,27,1,28,3630,0,29,320000,29,0,30,52,32,3,49,2265600,26,0,27,0,28,0,50,100,27,0,27,0,28,0,28,0,,
52,100,52,1,151,1392060,51,1,52,1591259,1317368,52,320000,53,0,53,100,55,25,149,2265600,50,0,51,0,51,0,150,66,51,0,51,0,51,0,52,0,,
154,100,154,1,251,1392184,153,1,154,1049595,775704,154,320000,155,0,156,64,158,16,249,2265600,151,300000,152,0,153,0,250,11,152,42,153,0,153,0,154,0,,
254,100,254,1,351,1392592,253,1,254,201002,0,255,320000,255,0,256,11,258,3,350,2265600,251,960000,252,0,253,0,351,18,252,11,253,0,253,0,254,0,,
355,100,355,1,451,1392964,354,1,355,605957,332066,356,320000,356,0,357,19,359,8,450,2265600,352,2265600,353,0,354,0,451,12,353,20,354,0,355,0,355,0,,
455,100,455,1,552,1393212,454,1,454,367578,93687,455,320000,456,0,456,11,458,5,550,2265600,452,2265600,453,0,454,0,551,18,453,11,453,0,454,0,454,0,,
555,100,555,1,652,1393212,554,1,555,812553,538662,556,320000,556,0,557,26,559,13,650,2265600,552,2265600,553,0,554,0,651,30,553,33,554,0,555,0,555,0,,
655,100,655,1,752,1393212,653,1,654,1178068,904177,655,320000,656,0,656,35,658,17,751,2265600,652,2265600,653,0,654,0,751,33,653,44,653,0,654,0,654,0,,
755,100,755,1,854,1393212,754,1,755,876121,602230,756,320000,756,0,757,28,759,13,851,1574400,753,2265600,754,0,755,0,853,11,754,22,754,0,755,0,755,0,,
860,100,860,1,954,1393212,858,1,859,143561,0,861,320000,861,0,863,15,867,5,952,960000,855,1497600,857,0,858,0,954,30,856,10,857,0,859,0,859,0,,
959,100,960,1,1055,1393336,958,1,959,496948,223057,960,320000,961,0,962,22,966,8,1052,960000,955,2265600,957,0,958,0,1054,27,956,27,957,0,959,0,959,0,,
1061,100,1061,1,1155,1393336,1059,1,1061,220204,0,1062,320000,1064,0,1065,26,1071,7,1153,960000,1056,2265600,1058,0,1060,0,1155,30,1057,10,1058,0,1060,0,1061,0,,
1161,100,1161,1,1259,1393464,1159,1,1161,174158,0,1162,320000,1163,0,1164,30,1168,6,1254,300000,1156,1036800,1158,0,1160,0,1257,30,1157,40,1159,0,1160,0,1160,0,,
1267,100,1267,1,1357,1393464,1265,1,1267,24059,0,1268,320000,1269,0,1270,35,1275,5,1354,2265600,1260,652800,1264,0,1265,0,1356,44,1263,30,1264,0,1266,0,1266,0,,
