App,Package,Start Time,Duration,Filename
"System",,"Jan 27, 2019 @ 08:19:52 AM","3 min 52 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
6,100,6,1,2,1064828,4,92,6,719253,7,320000,7,0,8,30,11,0,0,1267200,2,2265600,4,0,5,0,2,27,3,26,4,0,5,0,6,0,,
25,100,25,1,164,1065432,167,92,168,893230,168,320000,169,0,170,48,174,0,163,1267200,165,1958400,166,0,167,0,164,56,166,40,166,0,167,0,168,0,,
168,100,168,1,265,1062676,267,92,269,856330,270,320000,270,0,271,36,275,12,263,1267200,265,2265600,267,0,268,0,264,33,266,33,267,0,268,0,269,0,,
269,100,269,1,365,1062960,368,92,370,284535,371,320000,372,0,373,11,378,3,363,1267200,366,2265600,368,0,369,0,365,22,367,0,368,0,369,0,369,0,,
370,100,370,1,465,1063328,468,92,469,284535,469,320000,470,0,471,6,473,3,463,1267200,466,2265600,467,0,468,0,465,22,467,0,467,0,468,0,468,0,,
469,100,469,1,565,1063700,567,92,568,697432,569,320000,569,0,570,33,572,12,564,2265600,565,1497600,567,0,567,0,565,12,566,50,567,0,568,0,568,0,,
568,100,568,1,665,1064056,667,92,668,1127440,669,320000,670,0,670,30,673,15,664,2265600,666,2265600,667,0,668,0,665,18,666,41,667,0,668,0,668,0,,
668,100,669,1,766,1064304,767,92,768,364625,768,320000,768,0,769,5,772,0,764,2265600,766,2265600,767,0,767,0,765,11,767,0,767,0,768,0,768,0,,
768,100,768,1,867,1064552,869,92,870,331895,871,320000,871,0,872,23,876,8,865,1267200,867,1267200,868,0,869,0,866,22,868,11,869,0,869,0,870,0,,
870,100,870,1,967,1064612,969,92,970,478283,971,320000,971,0,972,36,976,10,965,1267200,967,1267200,969,0,969,0,966,22,968,45,969,0,970,0,970,0,,
970,100,970,1,1068,1064736,1071,92,1072,761609,1073,320000,1073,0,1075,21,1078,7,1065,1267200,1068,2265600,1070,0,1071,0,1067,11,1069,33,1070,0,1071,0,1072,0,,
1072,100,1072,1,1167,1064736,1170,92,1172,418951,1173,320000,1173,0,1174,10,1177,2,1166,1267200,1168,2265600,1169,0,1171,0,1167,20,1169,9,1170,0,1171,0,1172,0,,
1172,100,1172,1,1268,1064860,1270,92,1271,336201,1272,320000,1272,0,1273,21,1276,7,1266,1267200,1268,1267200,1269,0,1270,0,1267,12,1269,22,1270,0,1271,0,1271,0,,
1271,100,1271,1,1370,1064860,1375,92,1376,383562,1377,320000,1378,0,1379,20,1384,5,1367,1267200,1371,1267200,1373,0,1375,0,1369,20,1373,25,1374,0,1375,0,1376,0,,
1376,100,1377,1,1469,1064860,1472,92,1474,517032,1475,320000,1475,0,1476,39,1479,11,1467,1267200,1469,1267200,1471,0,1473,0,1468,30,1471,46,1472,0,1473,0,1473,0,,
1474,100,1474,1,1569,1064976,1573,92,1575,349117,1576,320000,1576,0,1578,19,1582,5,1567,1267200,1570,1267200,1572,0,1574,0,1569,10,1572,27,1573,0,1574,0,1574,0,,
1575,100,1575,1,1671,1072260,1676,92,1677,1318143,1678,320000,1679,0,1680,35,1684,19,1667,2265600,1672,2265600,1675,0,1676,0,1671,44,1674,27,1675,0,1677,0,1677,0,,
1677,100,1678,1,1769,1074648,1771,92,1772,1300675,1781,320000,1781,0,1782,55,1791,18,1768,1267200,1770,2265600,1771,0,1772,0,1769,55,1771,55,1771,0,1772,0,1772,0,,
1772,100,1772,1,1869,1078496,1871,92,1872,1537230,1873,320000,1874,0,1875,52,1877,24,1868,2265600,1870,1497600,1871,0,1872,0,1869,80,1870,12,1871,0,1872,0,1872,0,,
1872,100,1873,1,1970,1078528,1971,92,1972,2621284,1972,320000,1972,0,1973,76,1975,34,1969,2265600,1970,2265600,1971,0,1971,0,1969,63,1971,90,1971,0,1972,0,1972,0,,
1972,100,1972,1,2072,1078388,2075,92,2076,804402,2077,320000,2078,0,2079,47,2083,23,2069,1497600,2073,1267200,2074,0,2076,0,2071,63,2074,50,2075,0,2076,0,2076,0,,
2077,100,2077,1,2172,1078388,2176,92,2177,1523478,2178,320000,2178,0,2179,66,2182,27,2170,2265600,2173,1267200,2175,0,2176,0,2171,72,2174,44,2175,0,2176,0,2177,0,,
2177,100,2177,1,2274,1078740,2278,92,2280,718239,2282,320000,2282,0,2284,26,2288,9,2270,1267200,2275,2265600,2277,0,2278,0,2273,12,2276,30,2278,0,2280,0,2280,0,,
2280,100,2280,1,2372,1078740,2374,92,2374,742111,2375,320000,2375,0,2376,26,2379,13,2370,2265600,2372,1267200,2373,0,2374,0,2371,25,2373,36,2373,0,2374,0,2374,0,,
2374,100,2375,1,2472,1078864,2473,92,2474,1429387,2474,320000,2474,0,2475,42,2478,14,2470,2265600,2472,2265600,2473,0,2473,0,2471,20,2472,58,2473,0,2474,0,2474,0,,
2474,100,2474,1,2572,1078988,2574,92,2575,733185,2576,320000,2576,0,2577,33,2580,14,2571,2265600,2573,1267200,2574,0,2575,0,2572,22,2574,45,2574,0,2575,0,2575,0,,
2575,100,2575,1,2673,1079112,2676,92,2679,491199,2681,320000,2681,0,2683,41,2687,12,2671,1267200,2673,1267200,2675,0,2677,0,2672,25,2674,45,2676,0,2678,0,2679,0,,
2679,100,2680,1,2775,1079276,2778,92,2778,870573,2779,320000,2779,0,2780,35,2783,17,2771,1267200,2776,1958400,2777,0,2778,0,2772,40,2777,44,2777,0,2778,0,2778,0,,
2778,100,2779,1,2873,1079372,2875,92,2875,852941,2876,320000,2881,0,2882,27,2887,9,2872,2265600,2873,1958400,2874,0,2875,0,2873,33,2874,12,2874,0,2875,0,2875,0,,
2875,100,2875,1,2974,1079296,2977,92,2978,760979,2979,320000,2979,0,2980,26,2982,12,2972,1267200,2975,2265600,2976,0,2977,0,2974,33,2976,27,2977,0,2978,0,2978,0,,
2978,100,2978,1,3073,1079296,3077,92,3080,1018225,3081,320000,3082,0,3082,40,3084,19,3072,2265600,3074,1267200,3076,0,3079,0,3073,44,3075,30,3076,0,3080,0,3080,0,,
3080,100,3081,1,3174,1079428,3175,92,3176,714248,3176,320000,3177,0,3179,11,3183,5,3173,2265600,3174,1267200,3175,0,3176,0,3174,33,3175,0,3175,0,3176,0,3176,0,,
3176,100,3176,1,3275,1079800,3278,92,3279,1334640,3280,320000,3280,0,3281,45,3283,23,3273,2265600,3276,1728000,3277,0,3278,0,3275,50,3277,40,3278,0,3279,0,3279,0,,
3279,100,3279,1,3375,1081012,3383,92,3384,2668960,3387,320000,3389,0,3389,80,3395,39,3373,2265600,3378,2265600,3382,0,3384,0,3374,90,3381,66,3382,0,3384,0,3384,0,,
3385,100,3386,1,3475,1081844,3476,92,3477,2414689,3477,320000,3478,0,3478,68,3480,31,3474,2265600,3475,2265600,3476,0,3476,0,3474,50,3476,90,3476,0,3477,0,3477,0,,
3477,100,3477,1,3575,1082224,3577,92,3579,2197975,3580,320000,3581,0,3583,72,3589,36,3574,1958400,3575,2265600,3576,0,3578,0,3575,50,3576,90,3577,0,3578,0,3578,0,,
3579,100,3579,1,3675,1082932,3677,92,3680,2811988,3680,320000,3681,0,3682,83,3684,40,3674,2265600,3676,2265600,3676,0,3677,0,3675,75,3676,90,3677,0,3678,0,3678,0,,
3680,100,3680,1,3776,1083180,3777,92,3778,2494149,3779,320000,3780,0,3781,68,3783,36,3774,2265600,3776,2265600,3777,0,3777,0,3775,45,3777,100,3777,0,3778,0,3778,0,,
3779,100,3779,1,3876,1083920,3878,92,3878,2494149,3879,320000,3879,0,3880,71,3882,35,3875,2265600,3876,2265600,3877,0,3878,0,3876,45,3877,100,3877,0,3878,0,3878,0,,
3878,100,3878,1,3976,1085384,3978,92,3979,2525933,3979,320000,3979,0,3980,72,3982,35,3975,2265600,3977,2265600,3977,0,3978,0,3976,57,3977,90,3978,0,3978,0,3978,0,,
3979,100,3979,1,4077,1085928,4079,92,4080,1250654,4081,320000,4081,0,4082,50,4085,24,4075,2265600,4077,1267200,4079,0,4080,0,4077,57,4078,36,4079,0,4080,0,3992,1,started,
