App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 01:57:13 PM","7 min 38 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
4,100,4,1,0,1458060,3,1,4,2719677,2343255,4,200000,7,35,7,70,12,31,99,2265600,1,2265600,2,0,3,0,0,70,2,100,2,0,3,0,4,0,,
104,100,104,1,101,1458388,103,1,103,1797943,1421521,104,200000,105,35,105,54,108,27,199,2265600,101,2265600,102,0,103,0,100,58,102,54,102,0,103,0,103,0,,
203,100,203,1,201,1458416,202,1,203,1130480,754058,203,200000,204,43,204,38,206,18,300,2265600,201,2265600,202,0,203,0,200,50,202,20,202,0,203,0,203,0,,
303,100,303,1,301,1458788,303,1,303,1070564,694142,304,200000,304,43,305,33,307,16,400,2265600,301,2265600,302,0,303,0,301,44,302,22,303,0,303,0,303,0,,
406,100,406,1,402,1458868,405,1,406,1029435,653013,407,200000,407,43,408,42,418,20,501,2265600,403,1190400,405,0,406,0,402,55,404,36,405,0,406,0,406,0,,
506,100,506,1,502,1458992,505,1,505,1071722,695300,506,200000,507,43,508,55,511,21,601,2265600,502,960000,504,0,505,0,502,60,504,44,504,0,505,0,505,0,,
606,100,606,1,602,1459116,605,1,606,877708,501286,606,200000,607,43,607,41,610,15,701,2265600,603,960000,604,0,605,0,602,50,603,28,604,0,605,0,605,0,,
705,100,705,1,703,1459240,704,1,705,716595,340173,706,200000,706,43,707,30,710,12,802,1728000,703,960000,704,0,705,0,702,40,704,27,704,0,705,0,705,0,,
808,100,808,1,803,1459240,806,1,808,477259,100837,808,200000,809,43,810,50,812,15,903,422400,803,960000,805,0,807,0,803,37,805,60,805,0,807,0,807,0,,
930,100,930,1,913,1459240,929,1,929,84471,0,930,200000,931,43,931,65,934,11,1003,2265600,919,652800,928,0,929,0,911,54,928,72,928,0,929,0,929,0,,
