App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 09:50:58 AM","6 min 50 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
0,100,0,1,98,1601412,99,1,0,1741068,1316088,1,200000,1,37,2,83,4,31,97,960000,98,2265600,99,0,100,0,97,44,99,40,99,0,100,0,0,0,,
100,100,100,1,199,1601860,200,1,100,751144,326164,100,200000,101,37,101,40,104,14,197,2265600,199,1958400,200,0,201,0,198,36,200,25,200,0,201,0,100,0,,
201,100,201,1,301,1602432,304,1,201,880009,455029,201,200000,202,37,202,33,206,14,298,2265600,301,960000,303,0,304,0,299,33,302,20,303,0,304,0,201,0,,
305,100,305,1,401,1602804,405,1,305,587258,162278,305,200000,306,37,308,30,312,13,398,2265600,402,960000,404,0,406,0,400,50,403,33,404,0,407,0,305,0,,
408,100,408,1,500,1603448,502,1,407,885936,460956,408,200000,410,37,411,40,415,15,498,2265600,500,2265600,501,0,502,0,499,50,501,41,502,0,502,0,407,0,,
503,100,503,1,600,1603932,602,1,503,1465124,1040144,504,200000,504,43,505,45,507,22,599,2265600,600,2265600,601,0,602,0,600,58,601,22,601,0,602,0,503,0,,
602,100,602,1,702,1604056,706,1,602,1293052,868072,603,200000,603,43,604,42,607,22,700,2265600,703,960000,705,0,706,0,702,44,704,40,705,0,707,0,602,0,,
708,100,708,1,803,1604552,806,1,707,808677,383697,709,200000,709,43,713,42,717,13,800,2265600,803,960000,805,0,806,0,802,33,804,44,805,0,807,0,707,0,,
808,100,808,1,903,1604784,906,1,807,642639,217659,809,200000,809,43,811,41,818,14,901,2265600,904,960000,905,0,911,0,903,50,905,33,906,0,912,0,807,0,,
912,100,913,1,1003,1603956,1006,1,912,888675,463695,913,200000,914,43,918,41,921,16,1001,2265600,1004,1190400,1005,0,1006,0,1003,41,1005,33,1005,0,1007,0,912,0,,
1007,100,1007,1,1104,1604080,1106,1,1007,795807,370827,1007,200000,1008,43,1010,36,1015,16,1102,2265600,1104,960000,1106,0,1107,0,1103,44,1105,40,1106,0,1107,0,1007,0,,
1107,100,1108,1,1205,1604204,1207,1,1107,808677,383697,1108,200000,1109,43,1110,38,1115,13,1202,1497600,1205,960000,1206,0,1208,0,1203,25,1206,40,1207,0,1208,0,1107,0,,
1209,100,1209,1,1304,1604080,1306,1,1209,267888,0,1210,200000,1210,43,1211,36,1215,11,1302,2265600,1305,2265600,1305,0,1306,0,1304,40,1305,40,1306,0,1307,0,1209,0,,
1307,100,1308,1,1405,1604080,1407,1,1307,1293052,868072,1308,200000,1309,43,1309,38,1312,15,1403,1574400,1405,2265600,1406,0,1407,0,1404,41,1406,27,1406,0,1408,0,1307,0,,
1408,100,1408,1,1506,1604080,1509,1,1408,741934,316954,1408,200000,1409,43,1409,36,1412,16,1503,960000,1506,2265600,1508,0,1510,0,1505,60,1508,41,1509,0,1510,0,1408,0,,
1511,100,1512,1,1605,1604072,1606,1,1511,804869,379889,1512,200000,1513,36,1515,51,1518,17,1603,2265600,1605,1190400,1606,0,1606,0,1604,100,1606,60,1606,0,1607,0,1511,0,,
1607,100,1607,1,1705,1604072,1707,1,1607,1830498,1405518,1607,200000,1608,36,1609,81,1611,37,1704,2265600,1706,960000,1706,0,1707,0,1705,36,1706,41,1707,0,1707,0,1607,0,,
1707,100,1708,1,1807,1604072,1810,1,1707,680539,255559,1708,200000,1708,36,1709,39,1711,13,1804,1728000,1807,960000,1809,0,1810,0,1806,33,1808,22,1809,0,1811,0,1707,0,,
1812,100,1812,1,1908,1604192,1914,1,1811,355691,0,1812,200000,1813,36,1815,26,1820,9,1905,960000,1908,960000,1912,0,1914,0,1907,66,1911,72,1912,0,1918,0,1811,0,,
1919,100,1920,1,2007,1604192,2010,1,1919,321188,0,1920,200000,1921,36,1923,76,1927,15,2005,2265600,2008,960000,2009,0,2010,0,2007,50,2009,54,2010,0,2011,0,1919,0,,
2011,100,2011,1,2109,1604192,2113,1,2011,931541,506561,2012,200000,2012,36,2013,45,2019,15,2106,2265600,2110,960000,2112,0,2113,0,2108,10,2111,37,2112,0,2114,0,2011,0,,
2115,100,2115,1,2208,1604316,2211,1,2114,258574,0,2118,200000,2118,36,2119,31,2123,9,2206,1497600,2208,960000,2210,0,2211,0,2207,60,2210,27,2211,0,2212,0,2114,0,,
2212,100,2212,1,2311,1604824,2325,1,2212,458018,33038,2213,200000,2213,36,2214,35,2220,13,2307,883200,2312,652800,2325,0,2326,0,2310,62,2315,75,2325,0,2327,0,2212,0,,
2327,100,2327,1,2408,1605660,2410,1,2327,185753,0,2328,200000,2329,36,2331,76,2339,18,2407,2265600,2408,2265600,2409,960000,2410,0,2408,80,2409,80,2410,22,2411,0,2327,0,,
2411,100,2411,1,2508,1606012,2511,1,2411,2609468,2184488,2411,200000,2412,36,2412,72,2415,38,2507,2265600,2509,2265600,2510,2265600,2511,0,2508,41,2509,20,2511,100,2512,0,2411,0,,
2512,100,2512,1,2610,1606384,2614,1,2512,2577105,2152125,2513,200000,2513,39,2514,55,2519,35,2607,1958400,2610,960000,2612,2265600,2615,0,2609,33,2612,36,2614,100,2616,0,2512,0,,
