App,Package,Start Time,Duration,Filename
"System",,"Nov 21, 2019 @ 11:08:50 PM","6 min 52 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
41,100,42,1,39,1390308,40,1,41,0,0,43,320000,47,0,49,70,54,4,54,2265600,39,0,40,0,41,0,39,73,40,0,40,0,41,0,41,0,,
71,100,72,1,55,1390432,59,1,71,1591259,1460891,72,320000,73,0,74,100,75,25,148,2265600,58,0,58,0,59,0,55,100,58,0,59,0,70,0,71,0,,
151,100,151,1,150,1390784,151,1,151,1050932,920564,152,320000,152,0,152,62,154,15,249,2265600,150,0,150,0,151,0,149,66,150,0,151,0,151,0,151,0,,
253,100,253,1,250,1391412,252,1,253,476434,346066,253,320000,253,0,254,38,256,7,349,2265600,251,300000,252,0,252,0,250,30,251,75,252,0,252,0,252,0,,
354,100,354,1,351,1392188,353,1,354,1098608,968240,354,320000,355,0,356,33,358,13,449,2265600,351,2265600,352,0,353,0,350,33,352,36,352,0,353,0,354,0,,
455,100,455,1,451,1392808,454,1,454,399362,268994,455,320000,456,0,457,10,459,4,550,2265600,452,2265600,453,0,454,0,451,25,453,0,453,0,454,0,454,0,,
554,100,554,1,551,1393056,553,1,554,1273420,1143052,554,320000,555,0,555,38,558,19,650,1958400,552,2265600,553,0,553,0,551,36,552,44,553,0,553,0,553,0,,
654,100,654,1,652,1393348,653,1,654,892010,761642,654,320000,655,0,655,33,658,16,750,1958400,652,2265600,653,0,654,0,651,22,653,40,653,0,654,0,654,0,,
754,100,754,1,752,1393596,753,1,754,384913,254545,754,320000,755,0,755,15,758,6,851,960000,752,2265600,753,0,754,0,751,18,753,11,753,0,754,0,754,0,,
856,100,857,1,853,1393968,855,1,856,341836,211468,857,320000,858,0,859,15,862,6,951,960000,853,2265600,855,0,856,0,852,10,854,20,855,0,856,0,856,0,,
957,100,957,1,953,1394216,956,1,957,115940,0,957,320000,958,0,960,11,964,4,1052,960000,954,1728000,955,0,956,0,953,12,955,10,956,0,957,0,957,0,,
1059,100,1059,1,1054,1394460,1057,1,1059,26190,0,1060,320000,1061,0,1062,10,1067,1,1153,960000,1055,1728000,1056,0,1058,0,1054,11,1056,0,1057,0,1058,0,1058,0,,
1161,100,1162,1,1155,1394832,1159,1,1161,557205,426837,1163,320000,1163,0,1165,29,1170,8,1253,960000,1156,2265600,1158,0,1159,0,1154,14,1157,33,1158,0,1160,0,1161,0,,
1260,100,1261,1,1255,1394320,1258,1,1260,529849,399481,1261,320000,1262,0,1263,36,1267,11,1353,960000,1255,2265600,1257,0,1259,0,1254,45,1257,27,1258,0,1259,0,1260,0,,
