App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 12:10:06 AM","6 min 29 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
63,100,64,1,61,1482520,62,1,63,0,0,64,320000,64,0,65,81,66,6,86,2265600,61,0,62,0,63,0,61,83,62,0,62,0,63,0,63,0,,
89,100,89,1,87,1482640,88,1,89,1591259,1389179,90,320000,90,0,91,100,93,25,186,2265600,87,0,88,0,88,0,87,100,88,0,88,0,88,0,89,0,,
189,100,189,1,187,1483068,188,1,189,637741,435661,190,320000,191,0,191,40,193,10,287,2265600,188,0,188,0,189,0,187,40,188,0,188,0,189,0,189,0,,
290,100,290,1,288,1483472,290,1,290,224550,22470,291,320000,291,0,291,5,294,3,387,2265600,288,960000,289,0,290,0,288,14,289,0,289,0,290,0,290,0,,
390,100,391,1,388,1483932,390,1,390,478821,276741,391,320000,391,0,392,15,394,7,487,2265600,389,960000,389,0,390,0,388,30,389,0,390,0,390,0,390,0,,
491,100,491,1,489,1484796,490,1,491,176874,0,491,320000,492,0,492,5,495,2,588,2265600,489,960000,490,0,491,0,488,11,490,0,490,0,491,0,491,0,,
591,100,591,1,589,1485292,590,1,591,717201,515121,591,320000,592,0,592,26,594,7,688,2265600,589,2265600,590,0,591,0,589,0,590,45,590,0,591,0,591,0,,
692,100,692,1,689,1485656,691,1,692,351686,149606,692,320000,693,0,694,11,696,5,788,1497600,689,2265600,690,0,691,0,689,0,690,22,691,0,691,0,691,0,,
792,100,793,1,790,1485892,792,1,792,846905,644825,793,320000,793,0,794,36,797,16,888,1497600,790,2265600,791,0,792,0,789,33,791,40,791,0,792,0,792,0,,
893,100,893,1,890,1486264,892,1,893,548543,346463,893,320000,894,0,894,21,898,9,989,960000,890,2265600,891,0,892,0,889,11,891,30,892,0,893,0,893,0,,
995,100,995,1,991,1486560,994,1,994,225129,23049,995,320000,996,0,997,20,1001,6,1089,960000,991,2265600,993,0,994,0,990,22,993,11,993,0,994,0,994,0,,
1095,100,1095,1,1091,1486808,1094,1,1095,220204,18124,1095,320000,1096,0,1097,19,1101,5,1190,960000,1092,2265600,1093,0,1094,0,1091,27,1093,10,1093,0,1094,0,1095,0,,
1208,100,1208,1,1193,1487056,1207,1,1208,153326,0,1209,320000,1209,0,1211,14,1217,4,1246,2265600,1194,2265600,1206,0,1207,0,1192,11,1206,8,1207,0,1208,0,1208,0,,
1251,100,1251,1,1247,1486676,1249,1,1250,2385857,2183777,1251,320000,1252,0,1252,75,1255,26,1340,2265600,1248,2265600,1249,0,1250,0,1247,100,1249,50,1249,0,1250,0,1250,0,,
1344,100,1344,1,1341,1486676,1343,1,1344,2063,0,1345,320000,1345,0,1346,5,1349,2,1440,300000,1342,2265600,1343,0,1343,0,1341,0,1342,0,1343,0,1344,0,1344,0,,
1449,100,1449,1,1443,1486780,1447,1,1448,48786,0,1450,320000,1451,0,1452,16,1457,5,1541,2265600,1443,1267200,1445,0,1447,0,1442,20,1444,11,1446,0,1448,0,1448,0,,
1547,100,1547,1,1543,1486780,1546,1,1547,575331,373251,1547,320000,1548,0,1549,40,1553,13,1642,2265600,1543,960000,1545,0,1546,0,1542,30,1545,44,1545,0,1546,0,1547,0,,
1655,100,1655,1,1646,1486780,1652,1,1655,300202,98122,1656,320000,1657,0,1658,13,1662,4,1742,2265600,1647,960000,1651,0,1653,0,1644,16,1649,20,1651,0,1653,0,1654,0,,
1750,100,1750,1,1744,1486904,1748,1,1749,395554,193474,1751,320000,1751,0,1753,16,1757,6,1842,2265600,1745,960000,1747,0,1748,0,1743,22,1746,20,1747,0,1749,0,1749,0,,
1850,100,1850,1,1844,1486904,1848,1,1849,200463,0,1851,320000,1851,0,1853,19,1857,6,1943,1190400,1845,960000,1847,0,1848,0,1844,10,1846,18,1847,0,1849,0,1849,0,,
1959,100,1960,1,1945,1487020,1952,1,1957,135108,0,1962,320000,1965,0,1974,29,1993,7,2043,2265600,1947,300000,1951,0,1953,0,1944,36,1950,20,1952,0,1954,0,1954,0,,
2050,100,2050,1,2046,1487020,2049,1,2050,941923,739843,2051,320000,2051,0,2052,40,2055,11,2143,2265600,2047,960000,2048,0,2049,0,2046,55,2048,30,2049,0,2050,0,2050,0,,
2152,100,2152,1,2146,1487020,2150,1,2152,45931,0,2153,320000,2154,0,2155,10,2160,2,2243,2265600,2147,960000,2149,0,2151,0,2145,0,2149,20,2150,0,2151,0,2152,0,,
2251,100,2251,1,2246,1487144,2249,1,2250,681609,479529,2251,320000,2252,0,2253,30,2257,9,2343,1728000,2246,960000,2248,0,2249,0,2245,40,2247,20,2248,0,2250,0,2250,0,,
2347,100,2347,1,2345,1487920,2346,1,2347,1448534,1246454,2347,320000,2348,0,2348,55,2350,16,2444,2265600,2345,2265600,2346,0,2347,0,2344,20,2346,80,2346,0,2347,0,2347,0,,
2447,100,2447,1,2445,1488536,2446,1,2447,2385857,2183777,2447,320000,2448,0,2448,73,2450,32,2544,1267200,2445,2265600,2446,0,2447,0,2445,50,2446,100,2446,0,2447,0,2447,0,,
2547,100,2547,1,2545,1488744,2547,1,2547,1303943,1101863,2548,320000,2548,0,2549,57,2551,26,2644,2265600,2546,2265600,2546,0,2547,0,2545,44,2546,70,2547,0,2547,0,2547,0,,
2648,100,2648,1,2646,1488992,2647,1,2648,1940882,1738802,2648,320000,2648,0,2649,63,2651,26,2745,2265600,2646,2265600,2647,0,2647,0,2645,100,2646,22,2647,0,2647,0,2647,0,,
2748,100,2748,1,2746,1489364,2747,1,2748,2242830,2040750,2748,320000,2749,0,2749,68,2751,34,2845,2265600,2746,2265600,2747,0,2748,0,2746,100,2747,41,2747,0,2748,0,2748,0,,
2848,100,2848,1,2846,1489960,2848,1,2848,2592453,2390373,2849,320000,2849,0,2850,80,2852,40,2945,2265600,2847,2265600,2847,0,2848,0,2846,100,2847,63,2848,0,2848,0,2848,0,,
2950,100,2950,1,2947,1491772,2949,1,2950,3808519,3606439,2950,320000,2950,0,2951,66,2954,45,3046,2265600,2947,2265600,2948,960000,2949,2265600,2946,80,2948,100,2948,40,2949,54,2950,0,,
3051,100,3051,1,3047,1492516,3049,1,3050,972051,769971,3051,320000,3051,0,3052,20,3056,16,3146,1497600,3047,2265600,3048,960000,3050,960000,3047,18,3048,40,3049,22,3050,0,2993,1,started,
3151,100,3151,1,3147,1492888,3149,1,3151,596219,394139,3151,320000,3151,0,3152,10,3156,8,3247,652800,3148,2265600,3149,2265600,3150,960000,3147,11,3148,11,3149,22,3150,0,3050,1,started,
3298,100,3299,1,3251,1488944,3275,1,3295,18893,0,3299,320000,3301,0,3302,33,3305,5,3347,2265600,3252,0,3254,0,3282,0,3250,22,3253,0,3254,0,3284,0,3150,1,started,
