App,Package,Start Time,Duration,Filename
"System",,"Jan 31, 2019 @ 05:17:56 AM","4 min 31 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW]",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
1,100,0,1,52,1011248,54,82,55,1122699,55,320000,55,0,56,36,57,0,51,2265600,52,2265600,53,0,54,0,52,22,53,38,54,0,54,0,54,0,,
55,100,55,1,102,1011512,103,82,104,566481,104,320000,105,0,105,12,108,0,101,2265600,102,2265600,103,0,104,0,101,25,103,0,103,0,104,0,104,0,,
104,100,104,1,203,1012224,205,82,206,693616,207,320000,208,0,208,20,212,8,201,2265600,203,1958400,204,0,205,0,202,33,204,0,205,0,206,0,206,0,,
206,100,207,1,303,1009316,305,82,306,724083,307,320000,308,0,308,20,312,9,301,2265600,303,1728000,305,0,306,0,302,25,304,18,305,0,306,0,306,0,,
306,100,307,1,404,1009564,407,82,408,368948,409,320000,410,0,411,20,415,7,402,2265600,404,1190400,406,0,407,0,403,10,406,11,406,0,408,0,408,0,,
408,100,409,1,504,1009728,506,82,507,715550,508,320000,508,0,510,11,514,6,502,2265600,504,960000,506,0,507,0,503,33,505,10,506,0,507,0,507,0,,
507,100,508,1,605,1010124,608,82,610,848728,611,320000,612,0,614,35,618,13,602,2265600,605,960000,607,0,609,0,604,40,607,20,608,0,609,0,609,0,,
610,100,610,1,704,1010496,705,82,706,1027348,706,320000,706,0,707,27,709,8,702,2265600,704,2265600,705,0,705,0,703,0,704,54,705,0,705,0,705,0,,
706,100,706,1,804,1010716,805,82,806,804860,806,320000,807,0,807,20,809,10,803,2265600,804,2265600,805,0,805,0,803,10,805,30,805,0,806,0,806,0,,
806,100,806,1,904,1010964,906,82,907,487021,908,320000,908,0,909,10,912,5,903,2265600,905,2265600,906,0,907,0,904,20,905,0,906,0,907,0,907,0,,
907,100,907,1,1005,1011336,1008,82,1009,524155,1011,320000,1011,0,1012,19,1016,7,1003,2265600,1006,1190400,1007,0,1009,0,1005,20,1007,10,1008,0,1009,0,1009,0,,
1010,100,1010,1,1105,1011708,1107,82,1108,534697,1109,320000,1109,0,1111,6,1114,7,1103,2265600,1105,2265600,1106,0,1107,0,1104,12,1106,11,1107,0,1108,0,1108,0,,
1108,100,1108,1,1206,1007088,1208,82,1209,1196278,1209,320000,1210,0,1211,56,1215,19,1204,2265600,1206,1267200,1207,0,1208,0,1205,50,1207,54,1208,0,1208,0,1209,0,,
1209,100,1209,1,1305,1000644,1307,82,1308,1755482,1308,320000,1309,0,1309,55,1312,26,1304,1958400,1305,2265600,1306,0,1307,0,1305,63,1306,54,1307,0,1307,0,1308,0,,
1308,100,1308,1,1406,1005204,1407,82,1408,1313403,1408,320000,1408,0,1409,36,1411,14,1404,2265600,1406,2265600,1407,0,1407,0,1405,50,1406,22,1407,0,1407,0,1407,0,,
1408,100,1408,1,1506,1005908,1507,82,1508,2108001,1508,320000,1509,0,1509,61,1511,30,1504,2265600,1506,2265600,1507,0,1507,0,1505,100,1507,22,1507,0,1508,0,1508,0,,
1508,100,1508,1,1606,1006668,1608,82,1608,979672,1608,320000,1609,0,1609,26,1613,12,1605,2265600,1606,2265600,1607,0,1608,0,1606,40,1607,11,1607,0,1608,0,1608,0,,
1608,100,1608,1,1708,1006916,1711,82,1712,724056,1712,320000,1713,0,1714,28,1718,12,1707,2265600,1709,1574400,1711,0,1711,0,1708,30,1710,11,1711,0,1712,0,1712,0,,
1712,100,1712,1,1809,1006788,1812,82,1813,802785,1814,320000,1815,0,1816,55,1819,17,1807,1497600,1809,1267200,1811,0,1812,0,1808,66,1810,50,1811,0,1812,0,1813,0,,
