App,Package,Start Time,Duration,Filename
"System",,"Nov 22, 2019 @ 12:56:05 AM","6 min 51 sec","myfile.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU Load (Normalized) [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
110,100,110,1,107,1474080,109,1,109,653633,430911,110,320000,110,0,111,41,113,7,44,2265600,107,0,108,0,109,0,107,41,108,0,108,0,109,0,109,0,,
147,100,147,1,146,1474204,147,1,147,1591259,1368537,148,320000,149,0,150,100,154,25,144,2265600,146,0,146,0,147,0,145,100,146,0,146,0,147,0,147,0,,
253,100,253,1,248,1474544,250,1,253,399362,176640,253,320000,254,0,254,25,256,6,245,2265600,248,0,249,0,250,0,247,25,249,0,249,0,252,0,252,0,,
352,100,352,1,347,1475064,350,1,352,669525,446803,353,320000,353,0,354,28,356,8,345,2265600,347,2265600,349,0,351,0,346,33,348,9,350,0,351,0,351,0,,
449,100,450,1,447,1475524,449,1,449,637741,415019,450,320000,450,0,451,20,454,10,445,2265600,447,2265600,448,0,449,0,446,40,448,0,448,0,449,0,449,0,,
550,100,550,1,547,1476228,549,1,549,496948,274226,550,320000,551,0,552,29,554,12,546,2265600,547,960000,549,0,549,0,547,27,548,30,549,0,549,0,549,0,,
651,100,652,1,648,1476352,650,1,651,1019148,796426,652,320000,653,0,653,31,656,12,646,2265600,648,2265600,649,0,650,0,647,20,649,44,650,0,651,0,651,0,,
751,100,751,1,748,1476724,750,1,751,825552,602830,752,320000,752,0,753,30,756,14,746,1958400,748,2265600,749,0,750,0,747,30,749,30,750,0,751,0,751,0,,
851,100,851,1,848,1476968,850,1,851,363993,141271,852,320000,852,0,853,17,855,7,846,1497600,849,2265600,850,0,851,0,848,22,850,14,850,0,851,0,851,0,,
953,100,953,1,949,1477092,951,1,952,193270,0,953,320000,954,0,955,15,959,5,947,1497600,949,1574400,951,0,952,0,948,10,950,18,951,0,952,0,952,0,,
1051,100,1051,1,1048,1477340,1050,1,1051,494713,271991,1051,320000,1051,0,1052,15,1054,7,1047,2265600,1049,2265600,1050,0,1050,0,1048,20,1049,11,1050,0,1050,0,1051,0,,
1151,100,1151,1,1149,1477588,1150,1,1151,204850,0,1151,320000,1151,0,1152,15,1155,6,1147,2265600,1149,960000,1150,0,1150,0,1148,10,1149,20,1150,0,1151,0,1151,0,,
1252,100,1252,1,1249,1477832,1251,1,1252,453080,230358,1253,320000,1253,0,1254,15,1256,6,1248,2265600,1249,960000,1250,0,1251,0,1249,27,1250,10,1251,0,1252,0,1252,0,,
1353,100,1353,1,1350,1478096,1352,1,1353,293027,70305,1353,320000,1354,0,1355,21,1358,7,1348,1190400,1350,2265600,1351,0,1352,0,1349,27,1351,12,1352,0,1353,0,1353,0,,
1455,100,1455,1,1451,1478344,1454,1,1455,45931,0,1455,320000,1456,0,1457,10,1461,2,1448,960000,1452,2265600,1453,0,1454,0,1450,20,1453,0,1453,0,1454,0,1454,0,,
1553,100,1553,1,1551,1478592,1553,1,1553,478821,256099,1554,320000,1554,0,1554,15,1557,7,1550,2265600,1551,2265600,1552,0,1553,0,1550,30,1552,0,1552,0,1553,0,1553,0,,
1655,100,1655,1,1652,1478840,1654,1,1655,68903,0,1655,320000,1656,0,1657,10,1660,3,1650,1190400,1652,2265600,1653,0,1654,0,1651,18,1653,0,1654,0,1655,0,1655,0,,
1761,100,1761,1,1754,1478964,1758,1,1761,107346,0,1762,320000,1763,0,1765,27,1771,6,1751,960000,1754,960000,1756,0,1759,0,1752,30,1756,18,1757,0,1760,0,1760,0,,
